k, ca, no3, nh4
2.392, 1.689, 1.468, 2.012
2.315, 1.675, 1.517, 1.933
2.404, 1.703, 1.399, 2.01
2.458, 1.714, 1.337, 2.055
2.44, 1.691, 1.395, 2.056
2.462, 1.712, 1.367, 2.07
2.491, 1.711, 1.325, 2.089
2.44, 1.704, 1.392, 2.049
2.403, 1.703, 1.4, 2.009
2.361, 1.688, 1.474, 1.983
2.46, 1.706, 1.373, 2.066
2.46, 1.713, 1.334, 2.054
2.14, 1.626, 1.685, 1.762
2.4, 1.676, 1.449, 2.014
2.14, 1.626, 1.668, 1.747
2.402, 1.69, 1.425, 2.011
2.44, 1.71, 1.352, 2.042
2.47, 1.705, 1.373, 2.081
2.49, 1.708, 1.342, 2.097
2.423, 1.707, 1.372, 2.027
2.494, 1.718, 1.333, 2.094
2.44, 1.703, 1.391, 2.047
2.4, 1.691, 1.417, 2.003
2.462, 1.711, 1.365, 2.07
2.48, 1.708, 1.361, 2.066
2.37, 1.664, 1.487, 1.983
2.391, 1.687, 1.464, 2.009
2.42, 1.694, 1.425, 2.018
2.515, 1.712, 1.321, 2.116
2.25, 1.656, 1.582, 1.874
2.322, 1.67, 1.512, 1.937
2.361, 1.687, 1.472, 1.981
2.46, 1.708, 1.372, 2.064
2.389, 1.687, 1.463, 2.012
2.257, 1.654, 1.575, 1.88
2.47, 1.7, 1.373, 2.074
2.392, 1.689, 1.468, 2.012
2.42, 1.686, 1.419, 2.036
2.378, 1.699, 1.426, 1.987
2.471, 1.716, 1.319, 2.063
2.47, 1.707, 1.361, 2.066
2.133, 1.626, 1.689, 1.758
2.403, 1.703, 1.4, 2.008
2.403, 1.69, 1.424, 2.01
2.44, 1.692, 1.397, 2.055
2.515, 1.714, 1.321, 2.117
2.425, 1.698, 1.401, 2.031
2.402, 1.703, 1.401, 2.009
2.458, 1.714, 1.336, 2.056
2.49, 1.707, 1.34, 2.097
2.459, 1.714, 1.337, 2.055
2.43, 1.699, 1.391, 2.027
2.39, 1.69, 1.445, 2.006
2.402, 1.69, 1.427, 2.009
2.4, 1.689, 1.42, 2.001
2.444, 1.701, 1.376, 2.05
2.461, 1.712, 1.365, 2.071
2.462, 1.713, 1.366, 2.071
2.377, 1.698, 1.428, 1.986
2.492, 1.715, 1.332, 2.096
2.32, 1.672, 1.498, 1.929
2.286, 1.659, 1.579, 1.915
2.505, 1.712, 1.332, 2.109
2.121, 1.632, 1.678, 1.731
2.4, 1.675, 1.449, 2.013
2.49, 1.709, 1.351, 2.096
2.42, 1.698, 1.415, 2.031
2.446, 1.704, 1.376, 2.05
2.49, 1.698, 1.333, 2.075
2.423, 1.698, 1.4, 2.031
2.42, 1.687, 1.419, 2.037
2.426, 1.708, 1.372, 2.027
2.46, 1.705, 1.371, 2.064
2.14, 1.615, 1.7, 1.753
2.42, 1.697, 1.414, 2.031
2.42, 1.695, 1.422, 2.019
2.26, 1.655, 1.588, 1.869
2.47, 1.703, 1.371, 2.082
2.424, 1.701, 1.409, 2.036
2.377, 1.697, 1.427, 1.985
2.392, 1.688, 1.463, 2.011
2.182, 1.642, 1.702, 1.812
2.446, 1.706, 1.385, 2.055
2.44, 1.694, 1.396, 2.057
2.422, 1.698, 1.427, 2.041
2.47, 1.708, 1.362, 2.067
2.424, 1.697, 1.403, 2.031
2.471, 1.717, 1.32, 2.066
2.458, 1.714, 1.334, 2.054
2.42, 1.688, 1.42, 2.036
2.43, 1.697, 1.391, 2.025
2.49, 1.698, 1.331, 2.074
2.26, 1.658, 1.581, 1.87
2.31, 1.671, 1.535, 1.919
2.32, 1.674, 1.527, 1.933
2.491, 1.718, 1.332, 2.094
2.133, 1.626, 1.687, 1.755
2.4, 1.693, 1.443, 2.006
2.469, 1.704, 1.371, 2.081
2.42, 1.697, 1.415, 2.029
2.515, 1.713, 1.321, 2.118
2.32, 1.67, 1.513, 1.935
2.513, 1.714, 1.317, 2.118
2.365, 1.684, 1.467, 1.978
2.458, 1.714, 1.337, 2.055
2.299, 1.678, 1.512, 1.913
2.42, 1.699, 1.414, 2.031
2.46, 1.708, 1.372, 2.066
2.441, 1.701, 1.376, 2.05
2.364, 1.684, 1.466, 1.978
2.45, 1.692, 1.394, 2.055
2.442, 1.711, 1.353, 2.041
2.32, 1.672, 1.516, 1.928
2.301, 1.678, 1.51, 1.913
2.183, 1.643, 1.687, 1.801
2.491, 1.712, 1.321, 2.088
2.504, 1.712, 1.334, 2.109
2.44, 1.703, 1.392, 2.047
2.402, 1.694, 1.426, 2.009
2.48, 1.705, 1.356, 2.087
2.481, 1.714, 1.347, 2.083
2.14, 1.614, 1.703, 1.749
2.159, 1.621, 1.674, 1.768
2.478, 1.715, 1.348, 2.084
2.491, 1.709, 1.325, 2.088
2.424, 1.706, 1.376, 2.026
2.49, 1.709, 1.351, 2.096
2.44, 1.702, 1.391, 2.046
2.268, 1.649, 1.577, 1.877
2.36, 1.665, 1.488, 1.983
2.389, 1.687, 1.464, 2.012
2.261, 1.656, 1.573, 1.88
2.39, 1.69, 1.451, 1.995
2.163, 1.621, 1.678, 1.767
2.42, 1.694, 1.426, 2.019
2.14, 1.626, 1.665, 1.752
2.39, 1.692, 1.444, 2.008
2.319, 1.671, 1.513, 1.934
2.31, 1.671, 1.537, 1.92
2.446, 1.707, 1.384, 2.055
2.26, 1.654, 1.581, 1.873
2.49, 1.713, 1.342, 2.091
2.258, 1.656, 1.571, 1.879
2.404, 1.703, 1.395, 2.007
2.515, 1.715, 1.319, 2.117
2.42, 1.696, 1.391, 2.025
2.514, 1.711, 1.318, 2.116
2.353, 1.684, 1.523, 1.975
2.424, 1.698, 1.401, 2.031
2.4, 1.677, 1.449, 2.012
2.299, 1.679, 1.512, 1.914
2.443, 1.712, 1.353, 2.041
2.481, 1.708, 1.336, 2.076
2.451, 1.701, 1.399, 2.065
2.45, 1.693, 1.396, 2.056
2.13, 1.619, 1.698, 1.704
2.489, 1.709, 1.325, 2.086
2.378, 1.698, 1.428, 1.986
2.31, 1.672, 1.536, 1.922
2.39, 1.694, 1.444, 2.007
2.25, 1.654, 1.6, 1.852
2.363, 1.689, 1.474, 1.982
2.482, 1.711, 1.338, 2.078
2.14, 1.626, 1.687, 1.761
2.47, 1.699, 1.375, 2.074
2.441, 1.711, 1.354, 2.041
2.441, 1.71, 1.353, 2.041
2.44, 1.692, 1.395, 2.055
2.26, 1.648, 1.563, 1.866
2.49, 1.708, 1.346, 2.08
2.4, 1.69, 1.418, 2.001
2.514, 1.715, 1.32, 2.117
2.393, 1.689, 1.466, 2.012
2.479, 1.708, 1.336, 2.078
2.446, 1.703, 1.376, 2.051
2.48, 1.711, 1.337, 2.078
2.402, 1.69, 1.425, 2.01
2.42, 1.698, 1.414, 2.03
2.44, 1.693, 1.396, 2.055
2.163, 1.621, 1.679, 1.767
2.514, 1.714, 1.322, 2.118
2.401, 1.691, 1.425, 2.009
2.44, 1.694, 1.396, 2.055
2.49, 1.711, 1.322, 2.087
2.31, 1.673, 1.535, 1.92
2.505, 1.712, 1.333, 2.107
2.505, 1.712, 1.333, 2.11
2.3, 1.678, 1.513, 1.913
2.39, 1.692, 1.453, 1.997
2.49, 1.712, 1.337, 2.089
2.363, 1.689, 1.474, 1.983
2.39, 1.691, 1.444, 2.007
2.49, 1.708, 1.351, 2.095
2.515, 1.716, 1.321, 2.116
2.4, 1.675, 1.449, 2.012
2.347, 1.69, 1.464, 1.957
2.462, 1.706, 1.354, 2.064
2.46, 1.706, 1.373, 2.065
2.48, 1.703, 1.36, 2.087
2.39, 1.694, 1.445, 2.006
2.36, 1.684, 1.489, 1.963
2.491, 1.712, 1.324, 2.088
2.39, 1.691, 1.446, 2.008
2.394, 1.691, 1.466, 2.017
2.515, 1.714, 1.319, 2.118
2.422, 1.698, 1.427, 2.042
2.423, 1.699, 1.401, 2.031
2.403, 1.702, 1.399, 2.01
2.14, 1.625, 1.663, 1.752
2.491, 1.712, 1.323, 2.089
2.361, 1.689, 1.472, 1.982
2.444, 1.702, 1.376, 2.049
2.346, 1.689, 1.464, 1.957
2.48, 1.708, 1.337, 2.078
2.32, 1.672, 1.526, 1.932
2.49, 1.712, 1.324, 2.089
2.312, 1.673, 1.516, 1.934
2.505, 1.714, 1.331, 2.107
2.4, 1.676, 1.45, 2.013
2.14, 1.625, 1.665, 1.752
2.423, 1.703, 1.409, 2.034
2.442, 1.711, 1.352, 2.042
2.32, 1.674, 1.52, 1.923
2.14, 1.616, 1.7, 1.752
2.425, 1.708, 1.373, 2.027
2.46, 1.713, 1.336, 2.055
2.348, 1.678, 1.517, 1.972
2.44, 1.703, 1.395, 2.051
2.346, 1.689, 1.464, 1.957
2.158, 1.62, 1.672, 1.767
2.26, 1.651, 1.561, 1.867
2.46, 1.703, 1.38, 2.055
2.45, 1.694, 1.397, 2.056
2.401, 1.69, 1.424, 2.008
2.442, 1.711, 1.351, 2.042
2.44, 1.694, 1.397, 2.057
2.44, 1.693, 1.396, 2.055
2.345, 1.689, 1.464, 1.957
2.43, 1.698, 1.388, 2.027
2.49, 1.709, 1.347, 2.08
2.471, 1.715, 1.321, 2.066
2.441, 1.711, 1.352, 2.041
2.48, 1.709, 1.337, 2.078
2.31, 1.673, 1.537, 1.923
2.348, 1.674, 1.515, 1.969
2.14, 1.615, 1.701, 1.751
2.14, 1.625, 1.663, 1.753
2.424, 1.697, 1.401, 2.031
2.358, 1.689, 1.472, 1.98
2.358, 1.689, 1.472, 1.981
2.491, 1.712, 1.323, 2.089
2.515, 1.713, 1.321, 2.116
2.48, 1.709, 1.355, 2.079
2.133, 1.626, 1.689, 1.758
2.31, 1.671, 1.538, 1.918
2.422, 1.697, 1.427, 2.041
2.36, 1.683, 1.489, 1.963
2.159, 1.62, 1.671, 1.768
2.423, 1.699, 1.401, 2.031
2.44, 1.692, 1.394, 2.056
2.446, 1.703, 1.376, 2.049
2.47, 1.695, 1.347, 2.063
2.424, 1.708, 1.373, 2.026
2.44, 1.704, 1.391, 2.048
2.388, 1.689, 1.463, 2.012
2.491, 1.708, 1.353, 2.096
2.49, 1.714, 1.342, 2.091
2.32, 1.674, 1.52, 1.924
2.25, 1.655, 1.581, 1.875
2.323, 1.67, 1.513, 1.936
2.369, 1.677, 1.472, 1.978
2.14, 1.614, 1.702, 1.75
2.514, 1.713, 1.32, 2.118
2.179, 1.64, 1.686, 1.8
2.48, 1.701, 1.327, 2.066
2.47, 1.698, 1.372, 2.072
2.309, 1.675, 1.533, 1.937
2.397, 1.699, 1.442, 2.011
2.179, 1.639, 1.683, 1.801
2.424, 1.699, 1.399, 2.031
2.44, 1.701, 1.392, 2.047
2.157, 1.62, 1.673, 1.769
2.259, 1.656, 1.575, 1.878
2.49, 1.712, 1.342, 2.092
2.441, 1.712, 1.353, 2.04
2.48, 1.709, 1.356, 2.079
2.424, 1.697, 1.4, 2.032
2.44, 1.7, 1.367, 2.043
2.42, 1.696, 1.39, 2.027
2.134, 1.626, 1.689, 1.756
2.48, 1.708, 1.356, 2.08
2.49, 1.697, 1.332, 2.075
2.49, 1.708, 1.346, 2.079
2.42, 1.697, 1.389, 2.027
2.36, 1.665, 1.488, 1.982
2.478, 1.716, 1.349, 2.085
2.4, 1.675, 1.452, 2.012
2.408, 1.705, 1.398, 2.006
2.25, 1.654, 1.6, 1.853
2.444, 1.701, 1.377, 2.051
2.471, 1.715, 1.318, 2.065
2.4, 1.678, 1.448, 2.013
2.366, 1.679, 1.464, 1.976
2.46, 1.704, 1.381, 2.055
2.345, 1.689, 1.46, 1.957
2.42, 1.695, 1.425, 2.017
2.46, 1.705, 1.373, 2.065
2.365, 1.681, 1.469, 1.977
2.422, 1.698, 1.401, 2.031
2.469, 1.705, 1.371, 2.078
2.122, 1.64, 1.665, 1.719
2.26, 1.656, 1.577, 1.88
2.26, 1.647, 1.566, 1.868
2.39, 1.692, 1.453, 1.996
2.462, 1.708, 1.356, 2.066
2.25, 1.654, 1.602, 1.846
2.32, 1.67, 1.497, 1.929
2.25, 1.653, 1.6, 1.852
2.44, 1.692, 1.395, 2.055
2.44, 1.694, 1.397, 2.056
2.47, 1.695, 1.346, 2.064
2.14, 1.626, 1.665, 1.753
2.402, 1.69, 1.428, 2.009
2.4, 1.675, 1.45, 2.012
2.424, 1.703, 1.411, 2.037
2.45, 1.694, 1.397, 2.056
2.47, 1.698, 1.373, 2.074
2.36, 1.665, 1.487, 1.982
2.36, 1.684, 1.488, 1.963
2.471, 1.706, 1.373, 2.081
2.358, 1.688, 1.474, 1.981
2.424, 1.708, 1.375, 2.026
2.46, 1.705, 1.381, 2.055
2.25, 1.654, 1.599, 1.853
2.393, 1.69, 1.464, 2.011
2.42, 1.688, 1.42, 2.036
2.446, 1.702, 1.375, 2.048
2.36, 1.665, 1.488, 1.982
2.37, 1.664, 1.484, 1.983
2.505, 1.712, 1.332, 2.108
2.237, 1.662, 1.573, 1.849
2.37, 1.683, 1.453, 1.972
2.461, 1.706, 1.357, 2.066
2.25, 1.656, 1.581, 1.873
2.49, 1.709, 1.324, 2.089
2.446, 1.701, 1.376, 2.049
2.32, 1.674, 1.527, 1.934
2.48, 1.71, 1.354, 2.079
2.4, 1.677, 1.45, 2.014
2.49, 1.708, 1.342, 2.097
2.403, 1.703, 1.4, 2.009
2.48, 1.708, 1.336, 2.077
2.32, 1.671, 1.494, 1.931
2.424, 1.696, 1.399, 2.032
2.43, 1.697, 1.389, 2.025
2.46, 1.698, 1.373, 2.073
2.389, 1.688, 1.465, 2.011
2.298, 1.68, 1.511, 1.913
2.424, 1.698, 1.401, 2.031
2.471, 1.715, 1.32, 2.066
2.286, 1.658, 1.577, 1.913
2.133, 1.626, 1.69, 1.755
2.513, 1.713, 1.32, 2.116
2.43, 1.699, 1.389, 2.027
2.177, 1.64, 1.682, 1.802
2.14, 1.625, 1.69, 1.758
2.318, 1.67, 1.515, 1.935
2.44, 1.693, 1.395, 2.056
2.31, 1.672, 1.534, 1.921
2.36, 1.664, 1.488, 1.983
2.44, 1.695, 1.395, 2.056
2.16, 1.622, 1.673, 1.767
2.4, 1.69, 1.42, 2.002
2.44, 1.694, 1.395, 2.055
2.49, 1.709, 1.34, 2.096
2.48, 1.701, 1.328, 2.067
2.18, 1.643, 1.686, 1.802
2.461, 1.712, 1.366, 2.072
2.37, 1.684, 1.452, 1.972
2.4, 1.69, 1.417, 2.002
2.491, 1.712, 1.325, 2.087
2.36, 1.682, 1.477, 1.972
2.26, 1.649, 1.563, 1.867
2.42, 1.684, 1.419, 2.036
2.163, 1.621, 1.678, 1.766
2.443, 1.709, 1.354, 2.041
2.489, 1.71, 1.352, 2.096
2.398, 1.695, 1.438, 2.01
2.258, 1.655, 1.575, 1.879
2.48, 1.707, 1.361, 2.064
2.515, 1.712, 1.318, 2.114
2.352, 1.683, 1.524, 1.968
2.44, 1.695, 1.396, 2.055
2.36, 1.664, 1.488, 1.983
2.493, 1.717, 1.332, 2.097
2.47, 1.695, 1.345, 2.063
2.45, 1.701, 1.399, 2.064
2.46, 1.707, 1.373, 2.064
2.37, 1.664, 1.486, 1.982
2.424, 1.707, 1.374, 2.027
2.46, 1.707, 1.374, 2.065
2.48, 1.704, 1.357, 2.086
2.312, 1.675, 1.518, 1.939
2.133, 1.627, 1.694, 1.754
2.25, 1.654, 1.581, 1.88
2.424, 1.708, 1.373, 2.028
2.26, 1.647, 1.563, 1.866
2.43, 1.698, 1.389, 2.025
2.514, 1.713, 1.32, 2.116
2.492, 1.718, 1.334, 2.096
2.391, 1.686, 1.463, 2.012
2.398, 1.694, 1.438, 2.012
2.42, 1.695, 1.426, 2.018
2.504, 1.714, 1.337, 2.108
2.424, 1.696, 1.4, 2.03
2.235, 1.662, 1.573, 1.849
2.25, 1.654, 1.601, 1.847
2.4, 1.677, 1.45, 2.013
2.26, 1.648, 1.562, 1.866
2.471, 1.715, 1.32, 2.064
2.491, 1.712, 1.325, 2.088
2.36, 1.684, 1.478, 1.975
2.445, 1.701, 1.375, 2.05
2.515, 1.712, 1.319, 2.116
2.44, 1.695, 1.395, 2.055
2.39, 1.692, 1.455, 1.996
2.46, 1.698, 1.348, 2.055
2.42, 1.697, 1.391, 2.025
2.446, 1.708, 1.384, 2.056
2.132, 1.625, 1.689, 1.755
2.44, 1.703, 1.365, 2.044
2.49, 1.709, 1.344, 2.08
2.462, 1.707, 1.356, 2.064
2.14, 1.625, 1.663, 1.752
2.462, 1.706, 1.355, 2.066
2.4, 1.69, 1.419, 2.003
2.446, 1.703, 1.376, 2.049
2.42, 1.687, 1.418, 2.036
2.49, 1.709, 1.348, 2.08
2.32, 1.671, 1.493, 1.929
2.515, 1.715, 1.32, 2.116
2.393, 1.695, 1.444, 2.011
2.133, 1.626, 1.688, 1.755
2.378, 1.699, 1.425, 1.987
2.463, 1.707, 1.354, 2.065
2.515, 1.714, 1.317, 2.115
2.423, 1.697, 1.401, 2.032
2.394, 1.694, 1.435, 2.011
2.39, 1.692, 1.453, 1.996
2.43, 1.695, 1.39, 2.025
2.32, 1.671, 1.519, 1.932
2.42, 1.697, 1.414, 2.03
2.362, 1.689, 1.473, 1.981
2.49, 1.712, 1.34, 2.091
2.42, 1.686, 1.421, 2.037
2.424, 1.698, 1.401, 2.031
2.44, 1.694, 1.395, 2.056
2.424, 1.698, 1.4, 2.031
2.515, 1.712, 1.319, 2.116
2.247, 1.655, 1.581, 1.88
2.491, 1.719, 1.332, 2.095
2.491, 1.708, 1.352, 2.097
2.469, 1.705, 1.37, 2.081
2.402, 1.694, 1.428, 2.01
2.49, 1.708, 1.342, 2.096
2.179, 1.64, 1.683, 1.802
2.48, 1.708, 1.357, 2.078
2.37, 1.683, 1.454, 1.971
2.446, 1.7, 1.374, 2.049
2.14, 1.618, 1.698, 1.756
2.42, 1.685, 1.418, 2.037
2.402, 1.692, 1.424, 2.01
2.377, 1.698, 1.425, 1.987
2.362, 1.688, 1.473, 1.982
2.48, 1.709, 1.338, 2.078
2.26, 1.65, 1.563, 1.866
2.376, 1.699, 1.425, 1.986
2.42, 1.686, 1.42, 2.037
2.31, 1.673, 1.536, 1.918
2.133, 1.625, 1.688, 1.755
2.377, 1.697, 1.427, 1.985
2.4, 1.689, 1.417, 2.003
2.251, 1.656, 1.578, 1.879
2.44, 1.703, 1.401, 2.04
2.49, 1.709, 1.351, 2.097
2.319, 1.671, 1.516, 1.934
2.514, 1.714, 1.318, 2.115
2.446, 1.703, 1.375, 2.049
2.248, 1.658, 1.581, 1.881
2.468, 1.707, 1.371, 2.08
2.46, 1.698, 1.346, 2.056
2.447, 1.703, 1.376, 2.049
2.161, 1.622, 1.673, 1.767
2.4, 1.675, 1.451, 2.013
2.49, 1.709, 1.351, 2.095
2.235, 1.661, 1.574, 1.849
2.444, 1.703, 1.375, 2.05
2.424, 1.699, 1.4, 2.03
2.44, 1.702, 1.391, 2.05
2.42, 1.686, 1.419, 2.036
2.458, 1.714, 1.337, 2.055
2.44, 1.695, 1.395, 2.057
2.26, 1.656, 1.583, 1.874
2.285, 1.659, 1.577, 1.912
2.42, 1.696, 1.424, 2.017
2.313, 1.674, 1.519, 1.939
2.42, 1.686, 1.42, 2.037
2.42, 1.695, 1.425, 2.02
2.48, 1.708, 1.355, 2.079
2.47, 1.694, 1.345, 2.063
2.15, 1.626, 1.668, 1.744
2.47, 1.708, 1.361, 2.065
2.48, 1.708, 1.361, 2.068
2.48, 1.704, 1.356, 2.085
2.44, 1.703, 1.392, 2.05
2.48, 1.711, 1.355, 2.079
2.45, 1.694, 1.395, 2.055
2.32, 1.673, 1.527, 1.934
2.479, 1.709, 1.338, 2.077
2.322, 1.67, 1.51, 1.934
2.42, 1.687, 1.419, 2.036
2.286, 1.66, 1.58, 1.913
2.253, 1.654, 1.576, 1.879
2.36, 1.666, 1.489, 1.983
2.462, 1.707, 1.353, 2.065
2.423, 1.703, 1.411, 2.036
2.44, 1.703, 1.402, 2.039
2.31, 1.672, 1.535, 1.921
2.44, 1.693, 1.395, 2.055
2.32, 1.67, 1.526, 1.933
2.424, 1.701, 1.41, 2.036
2.402, 1.703, 1.398, 2.008
2.515, 1.712, 1.32, 2.116
2.345, 1.689, 1.464, 1.958
2.4, 1.678, 1.449, 2.012
2.14, 1.625, 1.664, 1.75
2.157, 1.617, 1.688, 1.766
2.514, 1.711, 1.317, 2.116
2.394, 1.69, 1.466, 2.011
2.441, 1.712, 1.352, 2.042
2.37, 1.684, 1.454, 1.972
2.461, 1.713, 1.367, 2.071
2.44, 1.694, 1.396, 2.056
2.514, 1.713, 1.321, 2.117
2.346, 1.688, 1.463, 1.957
2.49, 1.708, 1.341, 2.098
2.403, 1.69, 1.424, 2.009
2.515, 1.714, 1.322, 2.118
2.39, 1.692, 1.446, 2.006
2.45, 1.695, 1.395, 2.055
2.402, 1.705, 1.401, 2.01
2.471, 1.716, 1.321, 2.066
2.404, 1.703, 1.399, 2.009
2.315, 1.675, 1.517, 1.937
2.25, 1.654, 1.607, 1.837
2.25, 1.654, 1.599, 1.849
2.185, 1.642, 1.692, 1.8
2.4, 1.689, 1.417, 2.001
