k, ca, no3, nh4
2.4, 1.676, 1.449, 2.014
2.49, 1.709, 1.351, 2.096
2.49, 1.708, 1.343, 2.097
2.493, 1.718, 1.332, 2.096
2.47, 1.694, 1.345, 2.062
2.47, 1.702, 1.376, 2.073
2.36, 1.683, 1.478, 1.973
2.44, 1.695, 1.395, 2.057
2.13, 1.62, 1.71, 1.72
2.49, 1.709, 1.345, 2.079
2.4, 1.69, 1.42, 2.001
2.471, 1.717, 1.32, 2.065
2.458, 1.715, 1.332, 2.054
2.286, 1.66, 1.576, 1.912
2.323, 1.671, 1.512, 1.935
2.446, 1.708, 1.384, 2.055
2.48, 1.709, 1.356, 2.08
2.48, 1.703, 1.358, 2.085
2.452, 1.7, 1.401, 2.064
2.402, 1.703, 1.399, 2.007
2.235, 1.662, 1.575, 1.848
2.25, 1.654, 1.606, 1.84
2.49, 1.699, 1.33, 2.074
2.49, 1.697, 1.331, 2.074
2.47, 1.698, 1.373, 2.072
2.44, 1.703, 1.401, 2.038
2.14, 1.625, 1.664, 1.753
2.392, 1.687, 1.465, 2.012
2.44, 1.693, 1.394, 2.055
2.44, 1.693, 1.397, 2.057
2.43, 1.697, 1.391, 2.027
2.134, 1.625, 1.689, 1.755
2.422, 1.698, 1.401, 2.031
2.461, 1.705, 1.353, 2.063
2.513, 1.711, 1.317, 2.114
2.378, 1.696, 1.427, 1.987
2.256, 1.656, 1.576, 1.88
2.36, 1.664, 1.488, 1.98
2.44, 1.694, 1.396, 2.056
2.162, 1.62, 1.68, 1.764
2.26, 1.655, 1.588, 1.869
2.32, 1.671, 1.498, 1.931
2.47, 1.697, 1.374, 2.073
2.37, 1.681, 1.452, 1.971
2.32, 1.672, 1.533, 1.921
2.37, 1.681, 1.454, 1.971
2.358, 1.688, 1.474, 1.982
2.46, 1.705, 1.379, 2.052
2.4, 1.678, 1.45, 2.012
2.424, 1.696, 1.4, 2.03
2.133, 1.627, 1.69, 1.756
2.491, 1.713, 1.354, 2.099
2.42, 1.684, 1.42, 2.036
2.36, 1.684, 1.478, 1.974
2.49, 1.708, 1.347, 2.079
2.42, 1.687, 1.418, 2.036
2.26, 1.654, 1.586, 1.87
2.31, 1.675, 1.518, 1.938
2.44, 1.704, 1.403, 2.04
2.515, 1.714, 1.32, 2.119
2.462, 1.711, 1.366, 2.07
2.47, 1.708, 1.362, 2.067
2.397, 1.695, 1.439, 2.011
2.44, 1.703, 1.402, 2.039
2.121, 1.635, 1.672, 1.724
2.181, 1.641, 1.686, 1.799
2.301, 1.678, 1.51, 1.913
2.421, 1.699, 1.428, 2.041
2.422, 1.697, 1.402, 2.031
2.513, 1.712, 1.32, 2.116
2.26, 1.656, 1.592, 1.869
2.49, 1.698, 1.332, 2.074
2.462, 1.708, 1.355, 2.064
2.4, 1.679, 1.45, 2.014
2.514, 1.714, 1.321, 2.115
2.133, 1.626, 1.688, 1.757
2.32, 1.67, 1.496, 1.929
2.46, 1.706, 1.372, 2.066
2.347, 1.689, 1.463, 1.958
2.424, 1.699, 1.4, 2.031
2.48, 1.704, 1.356, 2.085
2.285, 1.659, 1.579, 1.913
2.424, 1.698, 1.4, 2.031
2.515, 1.714, 1.321, 2.117
2.36, 1.664, 1.488, 1.983
2.12, 1.635, 1.678, 1.729
2.46, 1.703, 1.371, 2.075
2.46, 1.705, 1.371, 2.066
2.491, 1.713, 1.323, 2.088
2.377, 1.698, 1.428, 1.984
2.43, 1.695, 1.389, 2.026
2.389, 1.689, 1.465, 2.01
2.358, 1.688, 1.474, 1.981
2.36, 1.665, 1.486, 1.983
2.504, 1.714, 1.337, 2.108
2.14, 1.626, 1.683, 1.763
2.14, 1.625, 1.665, 1.753
2.504, 1.714, 1.331, 2.109
2.348, 1.677, 1.517, 1.968
2.424, 1.708, 1.374, 2.028
2.471, 1.716, 1.321, 2.064
2.39, 1.69, 1.446, 2.006
2.425, 1.703, 1.41, 2.037
2.47, 1.699, 1.372, 2.072
2.365, 1.681, 1.466, 1.978
2.281, 1.659, 1.581, 1.913
2.365, 1.682, 1.467, 1.978
2.185, 1.643, 1.692, 1.799
2.472, 1.715, 1.317, 2.064
2.46, 1.707, 1.372, 2.066
2.47, 1.693, 1.345, 2.063
2.392, 1.688, 1.467, 2.012
2.424, 1.706, 1.375, 2.025
2.15, 1.626, 1.673, 1.744
2.3, 1.678, 1.514, 1.914
2.492, 1.709, 1.35, 2.098
2.424, 1.696, 1.4, 2.03
2.491, 1.711, 1.323, 2.089
2.321, 1.672, 1.513, 1.937
2.179, 1.642, 1.684, 1.802
2.463, 1.712, 1.366, 2.07
2.422, 1.698, 1.401, 2.031
2.492, 1.714, 1.322, 2.088
2.451, 1.7, 1.401, 2.064
2.492, 1.712, 1.324, 2.089
2.49, 1.697, 1.332, 2.074
2.424, 1.699, 1.401, 2.031
2.46, 1.703, 1.377, 2.055
2.322, 1.673, 1.511, 1.935
2.462, 1.708, 1.356, 2.066
2.31, 1.675, 1.519, 1.937
2.36, 1.683, 1.48, 1.976
2.255, 1.656, 1.576, 1.879
2.263, 1.653, 1.571, 1.875
2.4, 1.676, 1.449, 2.012
2.43, 1.697, 1.391, 2.026
2.404, 1.703, 1.398, 2.007
2.4, 1.676, 1.449, 2.012
2.514, 1.714, 1.321, 2.116
2.48, 1.703, 1.357, 2.086
2.187, 1.645, 1.692, 1.8
2.381, 1.698, 1.433, 1.982
2.44, 1.703, 1.391, 2.048
2.442, 1.71, 1.352, 2.04
2.43, 1.697, 1.391, 2.025
2.46, 1.704, 1.371, 2.079
2.36, 1.665, 1.488, 1.983
2.398, 1.693, 1.43, 2.011
2.47, 1.707, 1.362, 2.066
2.26, 1.647, 1.566, 1.868
2.469, 1.703, 1.374, 2.08
2.424, 1.698, 1.4, 2.031
2.44, 1.694, 1.396, 2.055
2.25, 1.655, 1.581, 1.874
2.462, 1.707, 1.354, 2.065
2.26, 1.656, 1.581, 1.873
2.42, 1.695, 1.389, 2.027
2.25, 1.656, 1.606, 1.841
2.462, 1.708, 1.356, 2.064
2.37, 1.683, 1.453, 1.972
2.392, 1.689, 1.467, 2.012
2.32, 1.672, 1.516, 1.929
2.49, 1.698, 1.333, 2.075
2.47, 1.699, 1.373, 2.075
2.395, 1.694, 1.441, 2.011
2.46, 1.714, 1.336, 2.056
2.46, 1.706, 1.37, 2.064
2.46, 1.703, 1.38, 2.055
2.365, 1.681, 1.467, 1.978
2.39, 1.693, 1.444, 2.006
2.375, 1.698, 1.427, 1.985
2.286, 1.66, 1.581, 1.914
2.491, 1.717, 1.333, 2.094
2.441, 1.701, 1.375, 2.05
2.346, 1.689, 1.464, 1.957
2.402, 1.69, 1.427, 2.009
2.312, 1.675, 1.517, 1.937
2.445, 1.702, 1.375, 2.05
2.504, 1.712, 1.332, 2.107
2.31, 1.671, 1.533, 1.923
2.129, 1.641, 1.662, 1.712
2.39, 1.692, 1.446, 2.006
2.42, 1.686, 1.419, 2.037
2.14, 1.626, 1.661, 1.752
2.398, 1.691, 1.43, 2.011
2.49, 1.708, 1.342, 2.099
2.13, 1.621, 1.702, 1.714
2.46, 1.705, 1.38, 2.056
2.179, 1.64, 1.681, 1.802
2.42, 1.687, 1.42, 2.036
2.43, 1.697, 1.39, 2.026
2.48, 1.714, 1.351, 2.085
2.402, 1.692, 1.426, 2.012
2.48, 1.709, 1.354, 2.08
2.4, 1.675, 1.449, 2.014
2.42, 1.696, 1.425, 2.019
2.4, 1.689, 1.418, 2.003
2.14, 1.626, 1.685, 1.758
2.444, 1.703, 1.376, 2.05
2.354, 1.69, 1.478, 1.983
2.46, 1.7, 1.346, 2.054
2.31, 1.673, 1.536, 1.918
2.235, 1.661, 1.576, 1.851
2.515, 1.714, 1.319, 2.117
2.287, 1.66, 1.576, 1.912
2.44, 1.703, 1.394, 2.047
2.36, 1.663, 1.487, 1.98
2.13, 1.625, 1.686, 1.761
2.44, 1.702, 1.403, 2.04
2.15, 1.626, 1.675, 1.742
2.25, 1.655, 1.606, 1.844
2.37, 1.665, 1.488, 1.983
2.4, 1.678, 1.449, 2.011
2.48, 1.704, 1.357, 2.086
2.132, 1.625, 1.69, 1.753
2.32, 1.672, 1.524, 1.932
2.515, 1.713, 1.318, 2.116
2.44, 1.703, 1.37, 2.044
2.42, 1.686, 1.421, 2.038
2.49, 1.71, 1.347, 2.081
2.491, 1.718, 1.332, 2.094
2.158, 1.62, 1.668, 1.766
2.259, 1.656, 1.576, 1.879
2.32, 1.669, 1.523, 1.932
2.515, 1.712, 1.32, 2.118
2.441, 1.712, 1.351, 2.041
2.32, 1.671, 1.536, 1.922
2.355, 1.69, 1.474, 1.98
2.395, 1.697, 1.441, 2.011
2.39, 1.69, 1.451, 1.994
2.421, 1.698, 1.428, 2.041
2.133, 1.626, 1.689, 1.757
2.14, 1.616, 1.703, 1.752
2.31, 1.671, 1.537, 1.919
2.491, 1.713, 1.323, 2.089
2.403, 1.705, 1.398, 2.008
2.504, 1.713, 1.332, 2.107
2.25, 1.656, 1.608, 1.838
2.47, 1.706, 1.36, 2.064
2.133, 1.625, 1.687, 1.757
2.4, 1.679, 1.45, 2.014
2.493, 1.711, 1.324, 2.089
2.251, 1.656, 1.58, 1.879
2.48, 1.708, 1.354, 2.08
2.134, 1.626, 1.689, 1.755
2.462, 1.712, 1.367, 2.071
2.392, 1.689, 1.464, 2.012
2.39, 1.689, 1.444, 2.008
2.48, 1.703, 1.357, 2.086
2.423, 1.699, 1.404, 2.031
2.25, 1.655, 1.601, 1.852
2.309, 1.676, 1.529, 1.938
2.458, 1.715, 1.337, 2.055
2.361, 1.687, 1.473, 1.981
2.462, 1.712, 1.366, 2.071
2.459, 1.714, 1.337, 2.056
2.133, 1.627, 1.689, 1.756
2.47, 1.695, 1.345, 2.063
2.514, 1.714, 1.317, 2.116
2.32, 1.672, 1.512, 1.937
2.44, 1.692, 1.394, 2.055
2.504, 1.712, 1.335, 2.108
2.26, 1.654, 1.587, 1.868
2.397, 1.691, 1.429, 2.01
2.321, 1.671, 1.513, 1.934
2.14, 1.624, 1.665, 1.747
2.44, 1.694, 1.395, 2.056
2.403, 1.69, 1.426, 2.01
2.451, 1.7, 1.398, 2.063
2.14, 1.625, 1.687, 1.761
2.42, 1.686, 1.421, 2.035
2.515, 1.712, 1.319, 2.116
2.14, 1.626, 1.67, 1.744
2.442, 1.712, 1.352, 2.042
2.4, 1.678, 1.45, 2.012
2.444, 1.702, 1.373, 2.049
2.39, 1.689, 1.446, 2.006
2.422, 1.698, 1.402, 2.032
2.44, 1.703, 1.39, 2.049
2.403, 1.703, 1.4, 2.01
2.4, 1.678, 1.449, 2.012
2.31, 1.673, 1.537, 1.918
2.364, 1.683, 1.467, 1.976
2.32, 1.673, 1.518, 1.935
2.251, 1.655, 1.58, 1.88
2.479, 1.71, 1.339, 2.077
2.14, 1.626, 1.664, 1.752
2.378, 1.698, 1.427, 1.986
2.422, 1.698, 1.402, 2.031
2.44, 1.703, 1.401, 2.038
2.26, 1.654, 1.589, 1.87
2.48, 1.703, 1.357, 2.085
2.443, 1.71, 1.354, 2.041
2.46, 1.705, 1.38, 2.055
2.491, 1.712, 1.323, 2.088
2.49, 1.698, 1.332, 2.075
2.14, 1.626, 1.664, 1.75
2.301, 1.678, 1.512, 1.913
2.4, 1.689, 1.419, 2.002
2.133, 1.626, 1.687, 1.755
2.36, 1.684, 1.479, 1.973
2.471, 1.716, 1.32, 2.066
2.31, 1.673, 1.537, 1.918
2.423, 1.697, 1.401, 2.031
2.47, 1.693, 1.345, 2.065
2.36, 1.683, 1.477, 1.975
2.377, 1.697, 1.428, 1.987
2.4, 1.676, 1.448, 2.012
2.515, 1.715, 1.319, 2.116
2.463, 1.707, 1.355, 2.064
2.46, 1.707, 1.373, 2.064
2.422, 1.696, 1.43, 2.042
2.39, 1.692, 1.445, 2.004
2.445, 1.703, 1.374, 2.051
2.46, 1.706, 1.375, 2.065
2.44, 1.703, 1.392, 2.049
2.31, 1.673, 1.537, 1.923
2.49, 1.708, 1.346, 2.079
2.47, 1.694, 1.347, 2.064
2.16, 1.625, 1.678, 1.768
2.48, 1.71, 1.337, 2.078
2.25, 1.656, 1.581, 1.87
2.47, 1.695, 1.347, 2.063
2.31, 1.671, 1.536, 1.921
2.491, 1.717, 1.333, 2.095
2.479, 1.708, 1.337, 2.076
2.309, 1.675, 1.527, 1.938
2.422, 1.697, 1.4, 2.032
2.422, 1.698, 1.4, 2.031
2.492, 1.709, 1.324, 2.088
2.25, 1.655, 1.599, 1.851
2.505, 1.712, 1.332, 2.107
2.403, 1.703, 1.4, 2.01
2.49, 1.714, 1.341, 2.089
2.515, 1.712, 1.318, 2.116
2.48, 1.704, 1.358, 2.089
2.25, 1.655, 1.582, 1.874
2.441, 1.711, 1.354, 2.042
2.13, 1.625, 1.684, 1.761
2.43, 1.697, 1.391, 2.027
2.32, 1.672, 1.521, 1.928
2.35, 1.68, 1.519, 1.975
2.179, 1.643, 1.684, 1.799
2.44, 1.693, 1.396, 2.054
2.47, 1.706, 1.374, 2.081
2.447, 1.708, 1.386, 2.055
2.25, 1.654, 1.603, 1.844
2.32, 1.674, 1.527, 1.932
2.177, 1.639, 1.681, 1.8
2.491, 1.717, 1.332, 2.094
2.401, 1.69, 1.427, 2.01
2.368, 1.679, 1.471, 1.978
2.25, 1.654, 1.606, 1.84
2.14, 1.625, 1.671, 1.742
2.44, 1.703, 1.402, 2.039
2.32, 1.67, 1.494, 1.929
2.403, 1.703, 1.397, 2.008
2.26, 1.65, 1.567, 1.867
2.235, 1.662, 1.572, 1.849
2.48, 1.703, 1.356, 2.085
2.32, 1.674, 1.523, 1.925
2.15, 1.626, 1.67, 1.743
2.377, 1.697, 1.425, 1.986
2.42, 1.687, 1.419, 2.036
2.314, 1.674, 1.519, 1.939
2.405, 1.703, 1.398, 2.008
2.31, 1.675, 1.522, 1.939
2.514, 1.714, 1.32, 2.118
2.315, 1.672, 1.517, 1.935
2.471, 1.716, 1.32, 2.065
2.46, 1.698, 1.348, 2.055
2.49, 1.714, 1.338, 2.089
2.47, 1.694, 1.347, 2.063
2.32, 1.672, 1.519, 1.924
2.491, 1.716, 1.333, 2.095
2.452, 1.7, 1.401, 2.064
2.47, 1.699, 1.374, 2.072
2.44, 1.704, 1.369, 2.045
2.322, 1.673, 1.513, 1.938
2.422, 1.696, 1.427, 2.04
2.177, 1.639, 1.683, 1.8
2.265, 1.654, 1.573, 1.875
2.133, 1.627, 1.689, 1.756
2.162, 1.622, 1.679, 1.767
2.493, 1.718, 1.332, 2.094
2.491, 1.712, 1.324, 2.089
2.403, 1.703, 1.4, 2.008
2.37, 1.665, 1.489, 1.981
2.31, 1.671, 1.535, 1.922
2.471, 1.705, 1.372, 2.081
2.49, 1.713, 1.34, 2.09
2.44, 1.695, 1.397, 2.056
2.26, 1.655, 1.584, 1.874
2.479, 1.714, 1.348, 2.083
2.47, 1.716, 1.32, 2.066
2.46, 1.704, 1.373, 2.066
2.25, 1.654, 1.601, 1.853
2.425, 1.698, 1.4, 2.031
2.442, 1.711, 1.352, 2.041
2.49, 1.709, 1.339, 2.098
2.49, 1.709, 1.348, 2.079
2.49, 1.711, 1.326, 2.089
2.395, 1.689, 1.467, 2.017
2.37, 1.684, 1.453, 1.972
2.499, 1.706, 1.356, 2.099
2.4, 1.679, 1.45, 2.014
2.133, 1.628, 1.69, 1.752
2.48, 1.704, 1.356, 2.085
2.49, 1.708, 1.351, 2.097
2.134, 1.626, 1.687, 1.758
2.49, 1.712, 1.325, 2.089
2.42, 1.683, 1.417, 2.036
2.32, 1.673, 1.537, 1.918
2.444, 1.701, 1.375, 2.05
2.26, 1.654, 1.581, 1.875
2.445, 1.703, 1.375, 2.051
2.505, 1.713, 1.333, 2.107
2.49, 1.708, 1.341, 2.099
2.402, 1.703, 1.397, 2.009
2.44, 1.703, 1.393, 2.049
2.515, 1.713, 1.317, 2.114
2.286, 1.659, 1.581, 1.915
2.478, 1.715, 1.349, 2.085
2.42, 1.694, 1.426, 2.02
2.49, 1.709, 1.351, 2.096
2.493, 1.716, 1.332, 2.095
2.514, 1.714, 1.319, 2.119
2.515, 1.713, 1.318, 2.116
2.42, 1.695, 1.425, 2.02
2.49, 1.707, 1.342, 2.099
2.43, 1.695, 1.389, 2.024
2.458, 1.714, 1.336, 2.055
2.135, 1.626, 1.689, 1.758
2.479, 1.714, 1.348, 2.084
2.48, 1.702, 1.356, 2.086
2.473, 1.714, 1.32, 2.064
2.42, 1.698, 1.414, 2.03
2.39, 1.694, 1.455, 1.995
2.14, 1.615, 1.701, 1.753
2.44, 1.689, 1.395, 2.056
2.39, 1.69, 1.452, 1.994
2.48, 1.703, 1.356, 2.086
2.14, 1.615, 1.705, 1.748
2.44, 1.702, 1.392, 2.049
2.47, 1.698, 1.375, 2.072
2.134, 1.625, 1.687, 1.756
2.14, 1.612, 1.709, 1.747
2.238, 1.665, 1.576, 1.85
2.44, 1.702, 1.367, 2.044
2.309, 1.675, 1.528, 1.937
2.42, 1.698, 1.415, 2.03
2.4, 1.69, 1.416, 2.001
2.48, 1.703, 1.358, 2.085
2.47, 1.699, 1.376, 2.073
2.402, 1.691, 1.425, 2.009
2.46, 1.706, 1.371, 2.065
2.42, 1.697, 1.414, 2.029
2.446, 1.708, 1.386, 2.054
2.443, 1.702, 1.375, 2.05
2.133, 1.627, 1.689, 1.758
2.4, 1.691, 1.417, 2.001
2.32, 1.672, 1.522, 1.934
2.42, 1.687, 1.42, 2.038
2.515, 1.713, 1.318, 2.115
2.515, 1.716, 1.317, 2.118
2.36, 1.665, 1.488, 1.981
2.513, 1.711, 1.319, 2.115
2.48, 1.701, 1.328, 2.067
2.364, 1.683, 1.464, 1.977
2.32, 1.671, 1.518, 1.934
2.423, 1.701, 1.409, 2.035
2.39, 1.69, 1.453, 1.997
2.46, 1.706, 1.372, 2.064
2.14, 1.625, 1.664, 1.753
2.404, 1.702, 1.4, 2.009
2.133, 1.625, 1.692, 1.754
2.32, 1.67, 1.497, 1.93
2.492, 1.711, 1.322, 2.089
2.12, 1.634, 1.679, 1.733
2.32, 1.67, 1.497, 1.932
2.5, 1.708, 1.341, 2.097
2.25, 1.654, 1.601, 1.846
2.403, 1.702, 1.4, 2.009
2.25, 1.656, 1.607, 1.835
2.43, 1.698, 1.391, 2.026
2.48, 1.703, 1.358, 2.085
2.25, 1.655, 1.579, 1.873
2.471, 1.717, 1.318, 2.065
2.491, 1.717, 1.331, 2.095
2.515, 1.716, 1.32, 2.119
2.392, 1.69, 1.465, 2.011
2.401, 1.703, 1.4, 2.009
2.424, 1.703, 1.41, 2.035
2.514, 1.713, 1.321, 2.114
2.47, 1.698, 1.375, 2.074
2.444, 1.703, 1.375, 2.051
2.42, 1.698, 1.416, 2.03
2.473, 1.716, 1.321, 2.066
2.42, 1.685, 1.417, 2.037
2.46, 1.706, 1.38, 2.053
2.446, 1.705, 1.375, 2.05
2.422, 1.698, 1.4, 2.032
2.25, 1.652, 1.6, 1.849
2.446, 1.703, 1.376, 2.049
2.46, 1.706, 1.38, 2.052
2.42, 1.7, 1.414, 2.028
2.37, 1.681, 1.453, 1.972
2.493, 1.712, 1.325, 2.089
2.25, 1.657, 1.611, 1.835
2.42, 1.696, 1.389, 2.025
2.515, 1.717, 1.319, 2.118
2.46, 1.705, 1.371, 2.066
2.47, 1.704, 1.373, 2.081
2.458, 1.715, 1.336, 2.055
2.39, 1.69, 1.452, 1.994
2.44, 1.703, 1.392, 2.05
2.424, 1.702, 1.41, 2.036
2.423, 1.703, 1.409, 2.036
2.47, 1.708, 1.361, 2.067
2.134, 1.625, 1.688, 1.757
2.44, 1.701, 1.393, 2.05
2.367, 1.679, 1.468, 1.978
2.468, 1.705, 1.372, 2.08
2.49, 1.708, 1.34, 2.097
2.442, 1.714, 1.352, 2.042
2.443, 1.703, 1.372, 2.049
2.46, 1.705, 1.378, 2.055
2.421, 1.697, 1.428, 2.042
2.48, 1.711, 1.356, 2.079
2.46, 1.698, 1.345, 2.056
2.26, 1.656, 1.59, 1.869
2.423, 1.698, 1.399, 2.031
2.426, 1.699, 1.4, 2.031
2.423, 1.701, 1.409, 2.036
2.42, 1.698, 1.413, 2.029
2.378, 1.699, 1.427, 1.986
2.403, 1.691, 1.426, 2.01
2.346, 1.689, 1.464, 1.957
2.473, 1.715, 1.319, 2.064
2.423, 1.701, 1.411, 2.037
2.48, 1.709, 1.358, 2.079
2.47, 1.695, 1.345, 2.063
2.43, 1.698, 1.389, 2.027
2.444, 1.701, 1.375, 2.05
2.442, 1.711, 1.351, 2.041
2.44, 1.692, 1.396, 2.056
2.481, 1.714, 1.348, 2.084
2.48, 1.708, 1.352, 2.079
2.513, 1.714, 1.32, 2.118
2.43, 1.698, 1.391, 2.027
2.14, 1.624, 1.664, 1.75
2.44, 1.695, 1.395, 2.056
2.446, 1.7, 1.375, 2.049
2.12, 1.632, 1.678, 1.733
2.443, 1.71, 1.353, 2.04
2.443, 1.712, 1.353, 2.041
2.13, 1.628, 1.689, 1.758
2.43, 1.697, 1.389, 2.027
2.135, 1.625, 1.687, 1.758
2.48, 1.71, 1.355, 2.08
2.354, 1.689, 1.474, 1.982
2.479, 1.711, 1.337, 2.078
2.42, 1.695, 1.425, 2.021
2.504, 1.712, 1.333, 2.107
2.403, 1.701, 1.399, 2.01
2.449, 1.7, 1.399, 2.063
2.49, 1.714, 1.339, 2.09
2.493, 1.711, 1.325, 2.089
2.44, 1.703, 1.393, 2.049
2.366, 1.679, 1.468, 1.978
2.392, 1.688, 1.464, 2.011
2.44, 1.703, 1.393, 2.05
2.471, 1.717, 1.322, 2.064
2.504, 1.714, 1.334, 2.11
2.237, 1.662, 1.574, 1.847
2.4, 1.679, 1.45, 2.014
2.479, 1.71, 1.337, 2.078
2.36, 1.665, 1.489, 1.979
2.32, 1.675, 1.538, 1.919
2.46, 1.706, 1.375, 2.066
2.397, 1.695, 1.44, 2.012
2.4, 1.676, 1.453, 2.014
2.187, 1.643, 1.699, 1.804
2.121, 1.636, 1.678, 1.73
2.515, 1.716, 1.319, 2.116
2.48, 1.701, 1.326, 2.065
2.4, 1.691, 1.416, 2.001
2.424, 1.699, 1.4, 2.031
2.44, 1.703, 1.367, 2.045
2.37, 1.665, 1.488, 1.983
2.359, 1.688, 1.473, 1.98
2.162, 1.62, 1.685, 1.766
2.182, 1.642, 1.687, 1.8
2.132, 1.626, 1.687, 1.756
2.442, 1.711, 1.351, 2.041
2.133, 1.628, 1.689, 1.756
2.471, 1.716, 1.32, 2.065
2.47, 1.706, 1.361, 2.065
2.424, 1.7, 1.4, 2.031
2.25, 1.654, 1.581, 1.881
2.13, 1.621, 1.704, 1.716
2.469, 1.705, 1.371, 2.08
2.377, 1.698, 1.428, 1.986
2.322, 1.669, 1.511, 1.935
2.346, 1.69, 1.464, 1.957
2.425, 1.708, 1.376, 2.026
2.44, 1.703, 1.39, 2.046
2.44, 1.693, 1.396, 2.055
2.42, 1.689, 1.42, 2.035
2.491, 1.712, 1.325, 2.089
2.26, 1.654, 1.59, 1.871
2.515, 1.711, 1.319, 2.117
2.134, 1.624, 1.689, 1.755
2.42, 1.698, 1.414, 2.031
2.46, 1.705, 1.371, 2.064
2.44, 1.694, 1.395, 2.055
2.13, 1.621, 1.708, 1.722
2.44, 1.694, 1.395, 2.055
2.49, 1.709, 1.339, 2.098
2.46, 1.706, 1.373, 2.064
2.124, 1.639, 1.669, 1.722
2.36, 1.684, 1.478, 1.977
2.403, 1.704, 1.4, 2.009
2.49, 1.708, 1.341, 2.097
2.377, 1.698, 1.428, 1.986
2.46, 1.708, 1.373, 2.066
2.267, 1.65, 1.574, 1.876
2.178, 1.641, 1.683, 1.801
2.458, 1.714, 1.336, 2.056
2.44, 1.693, 1.395, 2.055
2.446, 1.701, 1.376, 2.051
2.256, 1.656, 1.576, 1.88
2.358, 1.689, 1.474, 1.983
2.444, 1.701, 1.376, 2.05
2.47, 1.703, 1.362, 2.086
2.44, 1.704, 1.402, 2.037
2.515, 1.714, 1.321, 2.118
2.462, 1.712, 1.366, 2.07
2.237, 1.664, 1.575, 1.849
2.377, 1.698, 1.427, 1.986
2.119, 1.635, 1.679, 1.728
2.491, 1.716, 1.331, 2.094
2.47, 1.708, 1.362, 2.065
2.36, 1.683, 1.478, 1.975
2.44, 1.69, 1.395, 2.055
2.37, 1.665, 1.485, 1.981
2.365, 1.682, 1.469, 1.976
2.4, 1.69, 1.417, 2.001
2.43, 1.695, 1.389, 2.025
2.402, 1.689, 1.425, 2.009
2.3, 1.68, 1.513, 1.913
2.46, 1.705, 1.377, 2.053
2.393, 1.692, 1.466, 2.011
2.286, 1.659, 1.577, 1.911
2.445, 1.703, 1.376, 2.048
2.493, 1.718, 1.332, 2.095
2.47, 1.704, 1.372, 2.08
2.397, 1.695, 1.44, 2.013
2.49, 1.713, 1.339, 2.09
2.46, 1.708, 1.372, 2.064
2.43, 1.697, 1.391, 2.026
2.422, 1.699, 1.425, 2.041
2.46, 1.705, 1.381, 2.056
2.4, 1.678, 1.449, 2.013
2.42, 1.686, 1.419, 2.036
2.422, 1.703, 1.413, 2.036
2.322, 1.671, 1.513, 1.935
2.42, 1.685, 1.419, 2.035
2.44, 1.701, 1.391, 2.05
2.237, 1.665, 1.572, 1.848
2.322, 1.672, 1.513, 1.937
2.4, 1.676, 1.449, 2.013
2.14, 1.625, 1.667, 1.752
2.482, 1.714, 1.351, 2.085
2.49, 1.709, 1.341, 2.098
2.31, 1.672, 1.535, 1.918
2.44, 1.703, 1.401, 2.04
2.32, 1.672, 1.521, 1.924
2.37, 1.664, 1.487, 1.981
2.491, 1.712, 1.321, 2.087
2.36, 1.682, 1.488, 1.964
2.32, 1.672, 1.526, 1.934
2.4, 1.676, 1.448, 2.015
2.442, 1.709, 1.351, 2.04
2.515, 1.714, 1.318, 2.117
2.31, 1.673, 1.538, 1.918
2.446, 1.709, 1.385, 2.056
2.3, 1.679, 1.511, 1.913
2.459, 1.714, 1.336, 2.055
2.26, 1.647, 1.565, 1.868
2.48, 1.704, 1.356, 2.085
2.14, 1.614, 1.705, 1.747
2.46, 1.707, 1.372, 2.065
2.32, 1.67, 1.496, 1.93
2.425, 1.706, 1.376, 2.028
2.49, 1.708, 1.338, 2.099
2.47, 1.699, 1.375, 2.074
2.48, 1.703, 1.356, 2.085
2.178, 1.639, 1.683, 1.803
2.44, 1.693, 1.396, 2.056
2.26, 1.654, 1.58, 1.872
2.515, 1.712, 1.32, 2.116
2.31, 1.672, 1.538, 1.918
2.25, 1.654, 1.581, 1.873
2.446, 1.707, 1.386, 2.056
2.48, 1.709, 1.356, 2.08
2.481, 1.709, 1.338, 2.077
2.47, 1.698, 1.375, 2.071
2.48, 1.703, 1.356, 2.086
2.407, 1.706, 1.398, 2.006
2.491, 1.712, 1.325, 2.086
2.25, 1.653, 1.602, 1.852
2.423, 1.698, 1.4, 2.031
2.424, 1.698, 1.4, 2.031
2.48, 1.702, 1.357, 2.086
2.47, 1.707, 1.362, 2.08
2.133, 1.626, 1.687, 1.756
2.422, 1.697, 1.426, 2.041
2.445, 1.703, 1.375, 2.047
2.133, 1.625, 1.689, 1.755
2.26, 1.655, 1.582, 1.874
2.36, 1.665, 1.486, 1.982
2.462, 1.713, 1.367, 2.072
2.48, 1.704, 1.358, 2.086
2.446, 1.701, 1.376, 2.049
2.26, 1.648, 1.562, 1.867
2.44, 1.701, 1.393, 2.049
2.48, 1.713, 1.348, 2.084
2.458, 1.714, 1.336, 2.053
2.32, 1.671, 1.513, 1.935
2.46, 1.716, 1.332, 2.054
2.45, 1.694, 1.396, 2.056
2.355, 1.689, 1.478, 1.981
2.49, 1.708, 1.351, 2.094
2.45, 1.693, 1.395, 2.055
2.39, 1.69, 1.452, 1.995
