# ['﻿k', 'ca', 'no3', 'nh4']
2.449766349792480469e+01, 0.000000000000000000e+00, 1.151028060913085938e+01, 2.748869132995605469e+01
2.022312927246093750e+01, 0.000000000000000000e+00, 1.428676605224609375e+01, 3.163345527648925781e+01
2.333921051025390625e+01, 0.000000000000000000e+00, 1.365525054931640625e+01, 2.955101203918457031e+01
2.469918060302734375e+01, 0.000000000000000000e+00, 1.142060470581054688e+01, 2.738058853149414062e+01
2.196669960021972656e+01, 0.000000000000000000e+00, 1.342671489715576172e+01, 3.081874084472656250e+01
2.400377273559570312e+01, 0.000000000000000000e+00, 1.352509689331054688e+01, 2.950206947326660156e+01
2.043792343139648438e+01, 0.000000000000000000e+00, 1.406504631042480469e+01, 3.163317680358886719e+01
2.525046920776367188e+01, 0.000000000000000000e+00, 1.199046421051025391e+01, 2.825737762451171875e+01
2.395768356323242188e+01, 0.000000000000000000e+00, 1.334524917602539062e+01, 2.882405853271484375e+01
2.402214241027832031e+01, 0.000000000000000000e+00, 1.333431053161621094e+01, 2.882426834106445312e+01
1.962251472473144531e+01, 0.000000000000000000e+00, 1.428122138977050781e+01, 3.155446052551269531e+01
2.014662551879882812e+01, 0.000000000000000000e+00, 1.433024883270263672e+01, 3.167450523376464844e+01
1.958079147338867188e+01, 0.000000000000000000e+00, 1.419930171966552734e+01, 3.118608283996582031e+01
2.448785972595214844e+01, 0.000000000000000000e+00, 1.136946105957031250e+01, 2.743644905090332031e+01
2.017401695251464844e+01, 0.000000000000000000e+00, 1.426471996307373047e+01, 3.160376739501953125e+01
2.075064468383789062e+01, 0.000000000000000000e+00, 1.398601818084716797e+01, 3.090116500854492188e+01
2.190782546997070312e+01, 0.000000000000000000e+00, 1.341307544708251953e+01, 3.081072807312011719e+01
2.087209320068359375e+01, 0.000000000000000000e+00, 1.394249248504638672e+01, 3.146075248718261719e+01
2.154137992858886719e+01, 0.000000000000000000e+00, 1.361149501800537109e+01, 3.036219596862792969e+01
2.304978179931640625e+01, 0.000000000000000000e+00, 1.369661235809326172e+01, 2.933312606811523438e+01
2.133496475219726562e+01, 0.000000000000000000e+00, 1.383835220336914062e+01, 3.039273643493652344e+01
2.093635177612304688e+01, 0.000000000000000000e+00, 1.397098350524902344e+01, 3.101640319824218750e+01
2.452635574340820312e+01, 0.000000000000000000e+00, 1.155248737335205078e+01, 2.750947761535644531e+01
1.947964859008789062e+01, 0.000000000000000000e+00, 1.433802700042724609e+01, 3.204196929931640625e+01
2.085997390747070312e+01, 0.000000000000000000e+00, 1.391594314575195312e+01, 3.146687698364257812e+01
2.154600906372070312e+01, 0.000000000000000000e+00, 1.376504898071289062e+01, 3.089342498779296875e+01
2.209251594543457031e+01, 0.000000000000000000e+00, 1.365536880493164062e+01, 3.071422004699707031e+01
2.385577201843261719e+01, 0.000000000000000000e+00, 1.330132007598876953e+01, 2.871749305725097656e+01
1.989927673339843750e+01, 0.000000000000000000e+00, 1.428301525115966797e+01, 3.183619308471679688e+01
2.428481674194335938e+01, 0.000000000000000000e+00, 1.306812286376953125e+01, 2.850715637207031250e+01
2.425086402893066406e+01, 0.000000000000000000e+00, 1.319793033599853516e+01, 2.875162315368652344e+01
1.952875709533691406e+01, 0.000000000000000000e+00, 1.434211063385009766e+01, 3.209523010253906250e+01
2.183204078674316406e+01, 0.000000000000000000e+00, 1.370902347564697266e+01, 3.116009140014648438e+01
2.275116348266601562e+01, 0.000000000000000000e+00, 1.369728469848632812e+01, 3.063713455200195312e+01
2.086782836914062500e+01, 0.000000000000000000e+00, 1.404879474639892578e+01, 3.130761909484863281e+01
2.141792869567871094e+01, 0.000000000000000000e+00, 1.381728744506835938e+01, 3.091036796569824219e+01
2.069934463500976562e+01, 0.000000000000000000e+00, 1.396131896972656250e+01, 3.085665702819824219e+01
