# ['﻿k', 'ca', 'no3', 'nh4']
1.260642814636230469e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.167659759521484375e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.372792816162109375e+01
6.190434455871582031e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.306794738769531250e+01
1.318723964691162109e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.174866485595703125e+01
3.408344268798828125e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.321003913879394531e+01
7.654994964599609375e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.298295402526855469e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.365033912658691406e+01
1.268228721618652344e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.226950263977050781e+01
8.218605041503906250e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.261465263366699219e+01
8.359369277954101562e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.262279129028320312e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.371162414550781250e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.379676246643066406e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345855140686035156e+01
1.346703243255615234e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.175474548339843750e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.370417594909667969e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.327598190307617188e+01
3.311725616455078125e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.319053077697753906e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.353056716918945312e+01
2.299566268920898438e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.310979461669921875e+01
5.718214035034179688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.295980453491210938e+01
1.307394146919250488e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.312357139587402344e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.332693290710449219e+01
1.256035041809082031e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.168208312988281250e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.400492858886718750e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.352024078369140625e+01
1.504812359809875488e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.332994079589843750e+01
3.164632797241210938e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.336891365051269531e+01
8.157867431640625000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.253984642028808594e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.391665649414062500e+01
9.400301933288574219e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.242452621459960938e+01
9.056879043579101562e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.257438850402832031e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.405106353759765625e+01
2.039806365966796875e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.348283767700195312e+01
4.651612281799316406e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345985984802246094e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.350978279113769531e+01
1.053339123725891113e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.331687927246093750e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.324086189270019531e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.408694839477539062e+01
1.256512451171875000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.172502708435058594e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.392605400085449219e+01
6.233339309692382812e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307522583007812500e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.332481956481933594e+01
1.321467971801757812e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.177715110778808594e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.336795997619628906e+01
8.795476913452148438e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.259196281433105469e+01
2.114362716674804688e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.349663734436035156e+01
5.831181526184082031e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.317867279052734375e+01
3.106010437011718750e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.332851409912109375e+01
8.664208412170410156e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.258683967590332031e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.353018760681152344e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345945549011230469e+01
8.328611373901367188e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.264071273803710938e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.350572013854980469e+01
1.318723964691162109e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.174866485595703125e+01
1.323054122924804688e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.174973487854003906e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.346989059448242188e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.404840087890625000e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.372463798522949219e+01
3.138615608215332031e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.334929656982421875e+01
8.397539138793945312e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.262450599670410156e+01
6.054459571838378906e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.308955001831054688e+01
3.442307412624359131e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.334478378295898438e+01
1.316588592529296875e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.174121093750000000e+01
4.636277198791503906e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345256042480468750e+01
1.254257583618164062e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.168507766723632812e+01
7.854982376098632812e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.303105926513671875e+01
1.363573265075683594e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.166046142578125000e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.345250701904296875e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.364113426208496094e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.334852218627929688e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.354673194885253906e+01
1.307243466377258301e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.314527893066406250e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.349646949768066406e+01
1.253538322448730469e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.170616340637207031e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.354257202148437500e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.371886634826660156e+01
1.323833084106445312e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.175677490234375000e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.362568855285644531e+01
1.341041660308837891e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.173668861389160156e+01
5.573839187622070312e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307942008972167969e+01
3.217997550964355469e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.328962516784667969e+01
4.758249282836914062e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.296537971496582031e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.334471130371093750e+01
5.476274490356445312e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307819557189941406e+01
7.006455659866333008e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.324636077880859375e+01
1.275438308715820312e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.225134468078613281e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.408721542358398438e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.393871879577636719e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.329914855957031250e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.407907485961914062e+01
4.711361825466156006e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.310107040405273438e+01
4.707280099391937256e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.310048294067382812e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.336009597778320312e+01
2.347503662109375000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.313786506652832031e+01
5.559037208557128906e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.307803535461425781e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.391000747680664062e+01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.391352272033691406e+01
1.288047504425048828e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.147668647766113281e+01
