# ['﻿k', 'ca', 'no3', 'nh4']
5.801423192024230957e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.079589366912841797e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.338086605072021484e+00, 0.000000000000000000e+00
1.177768945693969727e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.673902034759521484e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.058162212371826172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.490828990936279297e+00, 0.000000000000000000e+00
1.665137261152267456e-01, 0.000000000000000000e+00, 2.886822223663330078e-01, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.861685991287231445e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.791289567947387695e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.134288072586059570e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.816245317459106445e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.600505113601684570e+00, 0.000000000000000000e+00
1.447161912918090820e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.041774272918701172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.893828868865966797e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.694436550140380859e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.363536357879638672e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.190099239349365234e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.795733928680419922e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.223414897918701172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.869906902313232422e+00, 0.000000000000000000e+00
4.812100231647491455e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 2.336993455886840820e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.338469982147216797e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.986258983612060547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.118216991424560547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.888760805130004883e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.225455522537231445e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.102986574172973633e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.326468706130981445e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 2.332701921463012695e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.927295207977294922e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.655957698822021484e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.539676189422607422e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.964309215545654297e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.882583141326904297e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 2.303843736648559570e+00, 0.000000000000000000e+00
5.474913716316223145e-01, 0.000000000000000000e+00, 7.536627352237701416e-02, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.464900255203247070e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.339675426483154297e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.852004528045654297e+00, 0.000000000000000000e+00
1.159607172012329102e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.604300975799560547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.575934648513793945e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.886020183563232422e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.472301006317138672e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.100547313690185547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.612918138504028320e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.323611736297607422e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.862327098846435547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.842791795730590820e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.299403667449951172e+00, 0.000000000000000000e+00
1.177768945693969727e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.291886568069458008e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.850669384002685547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 2.764479875564575195e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.355922222137451172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.125617504119873047e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.750718355178833008e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.408896923065185547e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.903129100799560547e+00, 0.000000000000000000e+00
1.162338495254516602e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.658969402313232422e+00, 0.000000000000000000e+00
4.816448986530303955e-01, 0.000000000000000000e+00, 2.252890169620513916e-02, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 3.950259447097778320e+00, 0.000000000000000000e+00
2.276974916458129883e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.866694927215576172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.445628643035888672e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.976207256317138672e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.348903179168701172e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 6.258044719696044922e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.313113689422607422e+00, 0.000000000000000000e+00
5.467913746833801270e-01, 0.000000000000000000e+00, 1.095574051141738892e-01, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 5.165717601776123047e+00, 0.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 4.039329051971435547e+00, 0.000000000000000000e+00
