# ['﻿k', 'ca', 'no3', 'nh4']
1.765626716613769531e+01, 0.000000000000000000e+00, 1.722656822204589844e+01, 2.358770370483398438e+01
2.108655738830566406e+01, 0.000000000000000000e+00, 1.836201667785644531e+01, 2.725695037841796875e+01
1.954144859313964844e+01, 0.000000000000000000e+00, 1.754406166076660156e+01, 2.612488937377929688e+01
1.768816566467285156e+01, 0.000000000000000000e+00, 1.720836067199707031e+01, 2.333473014831542969e+01
2.007319450378417969e+01, 0.000000000000000000e+00, 1.738712120056152344e+01, 2.691910171508789062e+01
1.941031837463378906e+01, 0.000000000000000000e+00, 1.755048179626464844e+01, 2.610881233215332031e+01
2.100200843811035156e+01, 0.000000000000000000e+00, 1.806838035583496094e+01, 2.739504814147949219e+01
1.822978782653808594e+01, 0.000000000000000000e+00, 1.765851020812988281e+01, 2.428420257568359375e+01
1.896699523925781250e+01, 0.000000000000000000e+00, 1.743869018554687500e+01, 2.547743034362792969e+01
1.896770286560058594e+01, 0.000000000000000000e+00, 1.746504020690917969e+01, 2.546509742736816406e+01
2.078376579284667969e+01, 0.000000000000000000e+00, 1.831832313537597656e+01, 2.693018341064453125e+01
2.108841514587402344e+01, 0.000000000000000000e+00, 1.838092994689941406e+01, 2.720324516296386719e+01
2.060866928100585938e+01, 0.000000000000000000e+00, 1.819204139709472656e+01, 2.676314544677734375e+01
1.759981536865234375e+01, 0.000000000000000000e+00, 1.719476509094238281e+01, 2.336095619201660156e+01
2.104327201843261719e+01, 0.000000000000000000e+00, 1.833938407897949219e+01, 2.723420715332031250e+01
2.065022850036621094e+01, 0.000000000000000000e+00, 1.775954246520996094e+01, 2.701632499694824219e+01
2.006883811950683594e+01, 0.000000000000000000e+00, 1.737772560119628906e+01, 2.690130805969238281e+01
2.094520759582519531e+01, 0.000000000000000000e+00, 1.776489448547363281e+01, 2.744709587097167969e+01
1.997741127014160156e+01, 0.000000000000000000e+00, 1.749874305725097656e+01, 2.661680030822753906e+01
1.954713439941406250e+01, 0.000000000000000000e+00, 1.749366760253906250e+01, 2.588235664367675781e+01
2.021071243286132812e+01, 0.000000000000000000e+00, 1.757094192504882812e+01, 2.666424751281738281e+01
2.069246482849121094e+01, 0.000000000000000000e+00, 1.773295211791992188e+01, 2.713016891479492188e+01
1.769194984436035156e+01, 0.000000000000000000e+00, 1.722934150695800781e+01, 2.361856079101562500e+01
2.082735633850097656e+01, 0.000000000000000000e+00, 1.847286033630371094e+01, 2.721430969238281250e+01
2.091854476928710938e+01, 0.000000000000000000e+00, 1.774089050292968750e+01, 2.745897865295410156e+01
2.039572334289550781e+01, 0.000000000000000000e+00, 1.760481452941894531e+01, 2.707598495483398438e+01
2.028433227539062500e+01, 0.000000000000000000e+00, 1.761117744445800781e+01, 2.682381248474121094e+01
1.886641883850097656e+01, 0.000000000000000000e+00, 1.739575386047363281e+01, 2.539366722106933594e+01
2.097191238403320312e+01, 0.000000000000000000e+00, 1.838104057312011719e+01, 2.724328041076660156e+01
1.860829162597656250e+01, 0.000000000000000000e+00, 1.759161186218261719e+01, 2.510384941101074219e+01
1.886795997619628906e+01, 0.000000000000000000e+00, 1.755495262145996094e+01, 2.534460067749023438e+01
2.086598968505859375e+01, 0.000000000000000000e+00, 1.847977638244628906e+01, 2.725885963439941406e+01
2.045606040954589844e+01, 0.000000000000000000e+00, 1.765419960021972656e+01, 2.728156089782714844e+01
2.012738227844238281e+01, 0.000000000000000000e+00, 1.760046005249023438e+01, 2.689130592346191406e+01
2.096517944335937500e+01, 0.000000000000000000e+00, 1.784866905212402344e+01, 2.731425285339355469e+01
2.043293571472167969e+01, 0.000000000000000000e+00, 1.761017036437988281e+01, 2.711262321472167969e+01
2.060341835021972656e+01, 0.000000000000000000e+00, 1.773409461975097656e+01, 2.698451805114746094e+01
2.088964843750000000e+01, 0.000000000000000000e+00, 1.848714637756347656e+01, 2.729292869567871094e+01
1.770838737487792969e+01, 0.000000000000000000e+00, 1.726202201843261719e+01, 2.360604858398437500e+01
2.106991577148437500e+01, 0.000000000000000000e+00, 1.839480400085449219e+01, 2.738555908203125000e+01
1.953864097595214844e+01, 0.000000000000000000e+00, 1.755822181701660156e+01, 2.611654472351074219e+01
2.067919731140136719e+01, 0.000000000000000000e+00, 1.771903228759765625e+01, 2.714264106750488281e+01
1.772410011291503906e+01, 0.000000000000000000e+00, 1.722623825073242188e+01, 2.337053871154785156e+01
2.064581108093261719e+01, 0.000000000000000000e+00, 1.757258605957031250e+01, 2.744474411010742188e+01
