# '﻿k', 'ca', 'no3', 'nh4'
3.947528079152107239e-03, 9.672646992839872837e-04, 5.990614183247089386e-03, 5.064089782536029816e-04
2.696855552494525909e-02, 6.763597484678030014e-03, 4.019265249371528625e-02, 3.439011750742793083e-03
1.071633212268352509e-02, 2.695847535505890846e-03, 1.644836179912090302e-02, 1.359490677714347839e-03
3.941689617931842804e-03, 9.646044927649199963e-04, 5.999240092933177948e-03, 5.030396860092878342e-04
1.227754447609186172e-02, 3.387085860595107079e-03, 1.957504637539386749e-02, 1.655626343563199043e-03
7.172205368988215923e-04, 1.855919952504336834e-03, 1.116564776748418808e-02, 9.156298474408686161e-04
2.425345033407211304e-02, 6.399272941052913666e-03, 3.610412031412124634e-02, 3.185572801157832146e-03
4.004484508186578751e-03, 9.732568287290632725e-04, 5.955819506198167801e-03, 5.142667214386165142e-04
7.495248573832213879e-04, 1.859101001173257828e-03, 1.109261345118284225e-02, 9.098527370952069759e-04
7.498654304072260857e-04, 1.856856048107147217e-03, 1.109152752906084061e-02, 9.087790385819971561e-04
2.813036926090717316e-02, 7.482700981199741364e-03, 4.366333782672882080e-02, 3.561097895726561546e-03
2.697591111063957214e-02, 6.744608748704195023e-03, 4.079680889844894409e-02, 3.539976431056857109e-03
2.671154402196407318e-02, 7.060832343995571136e-03, 4.171311110258102417e-02, 3.534259507432579994e-03
3.963196650147438049e-03, 9.622554644010961056e-04, 6.003450602293014526e-03, 5.024867714382708073e-04
2.719893865287303925e-02, 6.835688836872577667e-03, 4.048686847090721130e-02, 3.486375790089368820e-03
1.942887343466281891e-02, 5.142710171639919281e-03, 2.986557595431804657e-02, 2.660099184140563011e-03
1.251743827015161514e-02, 3.422738052904605865e-03, 1.993080973625183105e-02, 1.680960995145142078e-03
2.142129838466644287e-02, 5.667606834322214127e-03, 3.265164420008659363e-02, 2.903776010498404503e-03
1.319489534944295883e-02, 3.497955622151494026e-03, 2.008773572742938995e-02, 1.724716741591691971e-03
1.041245833039283752e-02, 2.690061228349804878e-03, 1.621641777455806732e-02, 1.359480083920061588e-03
1.578210480511188507e-02, 4.217228852212429047e-03, 2.457587979733943939e-02, 2.111576963216066360e-03
1.900382712483406067e-02, 5.020351614803075790e-03, 2.935011312365531921e-02, 2.590545220300555229e-03
3.944839816540479660e-03, 9.673435124568641186e-04, 5.991197656840085983e-03, 5.062206764705479145e-04
3.223615512251853943e-02, 7.710587698966264725e-03, 4.474496841430664062e-02, 3.467711852863430977e-03
2.137387171387672424e-02, 5.652098450809717178e-03, 3.274740278720855713e-02, 2.897580852732062340e-03
1.561735384166240692e-02, 4.180283751338720322e-03, 2.418093010783195496e-02, 2.072264207527041435e-03
1.292517222464084625e-02, 3.471760777756571770e-03, 2.009150013327598572e-02, 1.724225352518260479e-03
7.494300953112542629e-04, 1.862216624431312084e-03, 1.108296774327754974e-02, 9.109384263865649700e-04
2.731556072831153870e-02, 7.210611365735530853e-03, 4.171155765652656555e-02, 3.525186562910676003e-03
7.492938311770558357e-04, 1.830115215852856636e-03, 1.105795055627822876e-02, 9.085439960472285748e-04
7.473106961697340012e-04, 1.835609204135835171e-03, 1.104456838220357895e-02, 9.072339162230491638e-04
3.048835322260856628e-02, 7.332106120884418488e-03, 4.465694352984428406e-02, 3.381183138117194176e-03
1.308865472674369812e-02, 3.506766865029931068e-03, 2.042596414685249329e-02, 1.727570663206279278e-03
1.007408928126096725e-02, 2.665054984390735626e-03, 1.593508571386337280e-02, 1.309721497818827629e-03
2.161233127117156982e-02, 5.669987760484218597e-03, 3.269105404615402222e-02, 2.908654278144240379e-03
1.617718301713466644e-02, 4.277321975678205490e-03, 2.510039508342742920e-02, 2.157715149223804474e-03
1.905137300491333008e-02, 5.053546745330095291e-03, 2.931204624474048615e-02, 2.619922393932938576e-03
2.945585176348686218e-02, 7.064403034746646881e-03, 4.455321282148361206e-02, 3.300326177850365639e-03
3.948807250708341599e-03, 9.674142929725348949e-04, 5.985994823276996613e-03, 5.057840025983750820e-04
2.431496605277061462e-02, 6.296623963862657547e-03, 3.815737739205360413e-02, 3.124648705124855042e-03
1.073773670941591263e-02, 2.701387042179703712e-03, 1.647345349192619324e-02, 1.363129820674657822e-03
1.882626302540302277e-02, 4.985376261174678802e-03, 2.910703606903553009e-02, 2.568917814642190933e-03
3.942983690649271011e-03, 9.644068777561187744e-04, 5.996849387884140015e-03, 5.029261810705065727e-04
1.841489225625991821e-02, 4.834800027310848236e-03, 2.841101586818695068e-02, 2.471825806424021721e-03
7.577485521323978901e-04, 1.855706330388784409e-03, 1.110074110329151154e-02, 9.128681267611682415e-04
1.282689813524484634e-02, 3.427501535043120384e-03, 2.004223689436912537e-02, 1.689397031441330910e-03
1.067864801734685898e-02, 2.766329562291502953e-03, 1.653679832816123962e-02, 1.384655828587710857e-03
1.294986903667449951e-02, 3.481323830783367157e-03, 2.011781185865402222e-02, 1.726097660139203072e-03
7.413265993818640709e-04, 1.840694574639201164e-03, 1.105516590178012848e-02, 9.033851674757897854e-04
2.174958772957324982e-02, 5.687830969691276550e-03, 3.241604194045066833e-02, 2.903543645516037941e-03
1.896366477012634277e-02, 5.037590861320495605e-03, 2.926637046039104462e-02, 2.563104731962084770e-03
7.524989196099340916e-04, 1.857429044321179390e-03, 1.109415851533412933e-02, 9.107274236157536507e-04
2.150124311447143555e-02, 5.677567794919013977e-03, 3.278525918722152710e-02, 2.917687175795435905e-03
3.941689617931842804e-03, 9.646044927649199963e-04, 5.999240092933177948e-03, 5.030396860092878342e-04
3.944196272641420364e-03, 9.644295787438750267e-04, 5.998789798468351364e-03, 5.028687301091849804e-04
2.141730114817619324e-02, 5.694582592695951462e-03, 3.272175416350364685e-02, 2.941313898190855980e-03
2.898692525923252106e-02, 7.434868253767490387e-03, 4.391054809093475342e-02, 3.384879557415843010e-03
2.295957133173942566e-02, 5.935772787779569626e-03, 3.362199664115905762e-02, 2.972376300022006035e-03
1.297413464635610580e-02, 3.497489495202898979e-03, 2.015493065118789673e-02, 1.731586293317377567e-03
7.418688037432730198e-04, 1.850140164606273174e-03, 1.106935646384954453e-02, 9.037617710418999195e-04
1.068801339715719223e-02, 2.735738642513751984e-03, 1.631504297256469727e-02, 1.386926043778657913e-03
1.878369785845279694e-02, 4.918012768030166626e-03, 2.907564863562583923e-02, 2.514422405511140823e-03
3.940614406019449234e-03, 9.647581027820706367e-04, 5.999917164444923401e-03, 5.030476604588329792e-04
1.011573988944292068e-02, 2.678914228454232216e-03, 1.599146053194999695e-02, 1.316943555139005184e-03
3.944775555282831192e-03, 9.674810571596026421e-04, 5.990697070956230164e-03, 5.061392439529299736e-04
7.160587119869887829e-04, 1.846064347773790359e-03, 1.110346801578998566e-02, 9.099195012822747231e-04
4.019244108349084854e-03, 9.587219101376831532e-04, 6.022763904184103012e-03, 4.998773219995200634e-04
1.924990303814411163e-02, 5.116612650454044342e-03, 2.970734238624572754e-02, 2.609285525977611542e-03
2.473306097090244293e-02, 6.439439021050930023e-03, 3.659063950181007385e-02, 3.200366860255599022e-03
2.418775483965873718e-02, 6.117610726505517960e-03, 3.574669361114501953e-02, 3.122398396953940392e-03
2.132100239396095276e-02, 5.582118406891822815e-03, 3.188200667500495911e-02, 2.854343270882964134e-03
1.586048491299152374e-02, 4.243069328367710114e-03, 2.471834979951381683e-02, 2.128185937181115150e-03
2.124710194766521454e-02, 5.634788423776626587e-03, 3.265559673309326172e-02, 2.883953973650932312e-03
3.946281969547271729e-03, 9.676933987066149712e-04, 5.988202523440122604e-03, 5.057105445303022861e-04
2.446052059531211853e-02, 6.566193886101245880e-03, 3.693396970629692078e-02, 3.253681818023324013e-03
2.700655721127986908e-02, 6.782431155443191528e-03, 4.017571732401847839e-02, 3.441846929490566254e-03
3.946037963032722473e-03, 9.643267258070409298e-04, 5.997527856379747391e-03, 5.029555177316069603e-04
2.406140603125095367e-02, 6.291317287832498550e-03, 3.620951995253562927e-02, 3.128168871626257896e-03
3.966273739933967590e-03, 9.620671626180410385e-04, 6.003239657729864120e-03, 5.038208910264074802e-04
1.053105853497982025e-02, 2.767277648672461510e-03, 1.649325713515281677e-02, 1.376361353322863579e-03
1.296123769134283066e-02, 3.434186801314353943e-03, 2.007545344531536102e-02, 1.712488126941025257e-03
