# '﻿k', 'ca', 'no3', 'nh4'
4.041695501655340195e-03, 9.418552508577704430e-04, 5.784070584923028946e-03, 4.946797853335738182e-04
2.822237275540828705e-02, 6.833391729742288589e-03, 4.181500896811485291e-02, 3.502727020531892776e-03
1.034226827323436737e-02, 2.691487316042184830e-03, 1.601417176425457001e-02, 1.317420275881886482e-03
4.016465041786432266e-03, 9.425696916878223419e-04, 5.782237276434898376e-03, 4.974735202267765999e-04
1.304726675152778625e-02, 3.347285557538270950e-03, 1.992157474160194397e-02, 1.727115246467292309e-03
7.675880915485322475e-04, 1.901968731544911861e-03, 1.118653919547796249e-02, 9.380024857819080353e-04
2.562616206705570221e-02, 6.370326969772577286e-03, 3.861320391297340393e-02, 3.217002609744668007e-03
3.993699792772531509e-03, 9.476564009673893452e-04, 5.777938291430473328e-03, 4.968111752532422543e-04
7.204082212410867214e-04, 1.858768402598798275e-03, 1.112321857362985611e-02, 9.095842833630740643e-04
7.184638525359332561e-04, 1.856757327914237976e-03, 1.112084742635488510e-02, 9.087669895961880684e-04
3.042939491569995880e-02, 7.532776333391666412e-03, 4.472062364220619202e-02, 3.525142557919025421e-03
2.788334712386131287e-02, 6.698728539049625397e-03, 4.208303987979888916e-02, 3.483124077320098877e-03
2.826697751879692078e-02, 6.919969804584980011e-03, 4.324359819293022156e-02, 3.363652853295207024e-03
4.021710716187953949e-03, 9.411247447133064270e-04, 5.787064787000417709e-03, 4.995915805920958519e-04
2.832025848329067230e-02, 6.891080178320407867e-03, 4.197282716631889343e-02, 3.531485795974731445e-03
2.004179358482360840e-02, 5.056892987340688705e-03, 3.048441372811794281e-02, 2.572813304141163826e-03
1.322449836879968643e-02, 3.381306072697043419e-03, 2.006164938211441040e-02, 1.746326917782425880e-03
2.189139463007450104e-02, 5.497436970472335815e-03, 3.296693041920661926e-02, 2.794706262648105621e-03
1.406286098062992096e-02, 3.570273751392960548e-03, 2.155354246497154236e-02, 1.797290053218603134e-03
1.058483123779296875e-02, 2.737995469942688942e-03, 1.619550772011280060e-02, 1.347435638308525085e-03
1.626067422330379486e-02, 4.221279174089431763e-03, 2.490674331784248352e-02, 2.113577444106340408e-03
1.984687894582748413e-02, 4.956387914717197418e-03, 3.007316589355468750e-02, 2.517843851819634438e-03
4.039630759507417679e-03, 9.423667215742170811e-04, 5.786789581179618835e-03, 4.947345587424933910e-04
3.864226117730140686e-02, 7.399626076221466064e-03, 4.480950906872749329e-02, 3.102408256381750107e-03
2.170497924089431763e-02, 5.467287730425596237e-03, 3.272813558578491211e-02, 2.771642059087753296e-03
1.638934202492237091e-02, 4.170322790741920471e-03, 2.495292574167251587e-02, 2.101687947288155556e-03
1.363261323422193527e-02, 3.515143878757953644e-03, 2.104878611862659454e-02, 1.772123621776700020e-03
7.168346201069653034e-04, 1.858904724940657616e-03, 1.113433018326759338e-02, 9.074943372979760170e-04
2.981724403798580170e-02, 7.401078939437866211e-03, 4.394156485795974731e-02, 3.538492834195494652e-03
7.194921490736305714e-04, 1.841449062339961529e-03, 1.111431140452623367e-02, 9.029511711560189724e-04
7.271441863849759102e-04, 1.844748971052467823e-03, 1.110509037971496582e-02, 9.074809495359659195e-04
3.416079655289649963e-02, 7.786908186972141266e-03, 4.480601102113723755e-02, 3.469891147688031197e-03
1.441001147031784058e-02, 3.626383608207106590e-03, 2.197794429957866669e-02, 1.827683416195213795e-03
1.073972042649984360e-02, 2.776207868009805679e-03, 1.647852919995784760e-02, 1.371193211525678635e-03
2.222121506929397583e-02, 5.594078917056322098e-03, 3.340139240026473999e-02, 2.848746255040168762e-03
1.706224866211414337e-02, 4.327605478465557098e-03, 2.585077472031116486e-02, 2.170126885175704956e-03
1.969262212514877319e-02, 4.973581526428461075e-03, 2.993642166256904602e-02, 2.528477925807237625e-03
3.242880851030349731e-02, 7.958215661346912384e-03, 4.479676857590675354e-02, 3.619984257966279984e-03
4.032633267343044281e-03, 9.438517154194414616e-04, 5.779096391052007675e-03, 4.945529508404433727e-04
2.815520577132701874e-02, 6.858340464532375336e-03, 4.193715006113052368e-02, 3.298429772257804871e-03
1.034868974238634109e-02, 2.694194437935948372e-03, 1.602643914520740509e-02, 1.318719703704118729e-03
1.967973634600639343e-02, 4.908504430204629898e-03, 2.984376996755599976e-02, 2.496591536328196526e-03
4.014985170215368271e-03, 9.426671895198523998e-04, 5.781895481050014496e-03, 4.975215997546911240e-04
1.900408416986465454e-02, 4.824724048376083374e-03, 2.896282263100147247e-02, 2.418502932414412498e-03
7.239845581352710724e-04, 1.859973068349063396e-03, 1.112753525376319885e-02, 9.081006282940506935e-04
1.404500473290681839e-02, 3.552922280505299568e-03, 2.141732536256313324e-02, 1.783006126061081886e-03
1.049808878451585770e-02, 2.723810495808720589e-03, 1.596174761652946472e-02, 1.338843489065766335e-03
1.368747465312480927e-02, 3.521671518683433533e-03, 2.116070687770843506e-02, 1.771803130395710468e-03
7.227773312479257584e-04, 1.848084968514740467e-03, 1.110442634671926498e-02, 9.062229655683040619e-04
2.289589308202266693e-02, 5.813164636492729187e-03, 3.466063737869262695e-02, 2.967941341921687126e-03
