# '﻿k', 'ca', 'no3', 'nh4'
3.680721390992403030e-03, 1.102953683584928513e-03, 6.984765641391277313e-03, 5.230446113273501396e-04
2.719925157725811005e-02, 6.682385224848985672e-03, 3.989565372467041016e-02, 3.343060147017240524e-03
1.094605401158332825e-02, 2.664874773472547531e-03, 1.603541895747184753e-02, 1.410455210134387016e-03
3.700110828503966331e-03, 1.099429442547261715e-03, 6.970036774873733521e-03, 5.221778992563486099e-04
1.259027700871229172e-02, 3.001122968271374702e-03, 1.930969394743442535e-02, 1.558521063998341560e-03
7.723315502516925335e-04, 1.802117680199444294e-03, 1.230236515402793884e-02, 9.803733555600047112e-04
2.635564096271991730e-02, 7.245079148560762405e-03, 3.637494146823883057e-02, 3.285865997895598412e-03
3.756669349968433380e-03, 1.094880863092839718e-03, 6.940667983144521713e-03, 5.175238475203514099e-04
8.016017964109778404e-04, 1.793558825738728046e-03, 1.207695715129375458e-02, 9.776864899322390556e-04
7.914858288131654263e-04, 1.784131978638470173e-03, 1.202067174017429352e-02, 9.688698919489979744e-04
2.344229631125926971e-02, 6.732440553605556488e-03, 4.322679713368415833e-02, 3.183974418789148331e-03
2.701562829315662384e-02, 6.699876859784126282e-03, 4.053585603833198547e-02, 3.338901791721582413e-03
2.661020681262016296e-02, 7.804442197084426880e-03, 4.237677901983261108e-02, 3.336166730150580406e-03
3.758667269721627235e-03, 1.104493392631411552e-03, 6.976304110139608383e-03, 5.147688789293169975e-04
2.691983431577682495e-02, 6.702722515910863876e-03, 3.984153270721435547e-02, 3.314496483653783798e-03
2.213024906814098358e-02, 5.190091673284769058e-03, 3.030741773545742035e-02, 2.460987307131290436e-03
1.277341786772012711e-02, 3.054911969229578972e-03, 1.929543726146221161e-02, 1.551997382193803787e-03
2.445584721863269806e-02, 5.987640470266342163e-03, 3.479022532701492310e-02, 3.008851082995533943e-03
1.358406338840723038e-02, 3.042563097551465034e-03, 1.951124891638755798e-02, 1.559788361191749573e-03
1.114878989756107330e-02, 2.598371123895049095e-03, 1.614605076611042023e-02, 1.467853900976479053e-03
1.596423052251338959e-02, 3.870240645483136177e-03, 2.396864257752895355e-02, 1.955513143911957741e-03
2.225053310394287109e-02, 5.221430212259292603e-03, 3.036410361528396606e-02, 2.634618896991014481e-03
3.677892964333295822e-03, 1.101508736610412598e-03, 6.979660131037235260e-03, 5.235146381892263889e-04
2.537984773516654968e-02, 6.977921351790428162e-03, 4.422280192375183105e-02, 2.876809332519769669e-03
2.459049969911575317e-02, 6.008889991790056229e-03, 3.478844836354255676e-02, 3.025971585884690285e-03
1.571399904787540436e-02, 3.709122305735945702e-03, 2.363873273134231567e-02, 1.947811688296496868e-03
1.347793359309434891e-02, 3.059684764593839645e-03, 2.006367407739162445e-02, 1.561429584398865700e-03
7.699104025959968567e-04, 1.779144047759473324e-03, 1.198610570281744003e-02, 9.700570954009890556e-04
2.442343533039093018e-02, 6.591459270566701889e-03, 4.112740978598594666e-02, 3.343535587191581726e-03
6.955075659789144993e-04, 1.767722074873745441e-03, 1.185206975787878036e-02, 9.441455476917326450e-04
7.076921756379306316e-04, 1.748040318489074707e-03, 1.173134334385395050e-02, 9.330547181889414787e-04
2.480004355311393738e-02, 6.807813886553049088e-03, 4.403808712959289551e-02, 2.855251310393214226e-03
1.413577608764171600e-02, 3.187713678926229477e-03, 2.159228175878524780e-02, 1.663610921241343021e-03
1.065527833998203278e-02, 2.494580345228314400e-03, 1.629201136529445648e-02, 1.349725993350148201e-03
2.457794919610023499e-02, 5.887846462428569794e-03, 3.469619899988174438e-02, 2.916875295341014862e-03
1.691844873130321503e-02, 3.972431644797325134e-03, 2.467187866568565369e-02, 2.152127679437398911e-03
2.203844301402568817e-02, 5.188899114727973938e-03, 3.006836026906967163e-02, 2.443475648760795593e-03
2.484059520065784454e-02, 6.766323000192642212e-03, 4.394439235329627991e-02, 2.812547842040657997e-03
3.656166605651378632e-03, 1.109158154577016830e-03, 7.029824424535036087e-03, 5.266583175398409367e-04
2.500547282397747040e-02, 6.496776361018419266e-03, 3.877852857112884521e-02, 3.273358102887868881e-03
1.105656754225492477e-02, 2.680264413356781006e-03, 1.609202288091182709e-02, 1.416809274815022945e-03
2.212774939835071564e-02, 5.164326634258031845e-03, 3.015553206205368042e-02, 2.623765729367733002e-03
3.692669561132788658e-03, 1.101499306969344616e-03, 6.979683879762887955e-03, 5.225464701652526855e-04
2.079697512090206146e-02, 4.962759092450141907e-03, 2.998360246419906616e-02, 2.575814025476574898e-03
7.583414553664624691e-04, 1.790463225916028023e-03, 1.203507184982299805e-02, 9.691957384347915649e-04
1.398444268852472305e-02, 3.104058792814612389e-03, 2.123397029936313629e-02, 1.631020801141858101e-03
1.109493710100650787e-02, 2.591699128970503807e-03, 1.606576330959796906e-02, 1.426277565769851208e-03
1.341850496828556061e-02, 3.041385207325220108e-03, 1.992493309080600739e-02, 1.551553956232964993e-03
7.388400263153016567e-04, 1.742634456604719162e-03, 1.178014837205410004e-02, 9.336476214230060577e-04
2.417222782969474792e-02, 6.096913944929838181e-03, 3.496454656124114990e-02, 3.115701256319880486e-03
2.174183912575244904e-02, 5.133174825459718704e-03, 3.100498765707015991e-02, 2.729438012465834618e-03
8.206959464587271214e-04, 1.808279426768422127e-03, 1.216123532503843307e-02, 9.856483666226267815e-04
2.425459027290344238e-02, 5.915434099733829498e-03, 3.442837670445442200e-02, 3.023117780685424805e-03
3.700110828503966331e-03, 1.099429442547261715e-03, 6.970036774873733521e-03, 5.221778992563486099e-04
3.698833985254168510e-03, 1.101575442589819431e-03, 6.984280887991189957e-03, 5.227855290286242962e-04
2.460058778524398804e-02, 5.712791346013545990e-03, 3.393683582544326782e-02, 3.032973269000649452e-03
2.252043597400188446e-02, 6.244304124265909195e-03, 4.278377816081047058e-02, 3.042973112314939499e-03
2.463970519602298737e-02, 6.704437546432018280e-03, 3.322418034076690674e-02, 2.912246622145175934e-03
1.351461652666330338e-02, 3.064588643610477448e-03, 2.009622752666473389e-02, 1.566963735967874527e-03
7.753777317702770233e-04, 1.761313294991850853e-03, 1.188815478235483170e-02, 9.514797711744904518e-04
1.147544849663972855e-02, 2.672148868441581726e-03, 1.636148616671562195e-02, 1.444200519472360611e-03
2.068879641592502594e-02, 4.865324124693870544e-03, 3.035633452236652374e-02, 2.573483623564243317e-03
3.701113630086183548e-03, 1.098745618946850300e-03, 6.967639550566673279e-03, 5.222606705501675606e-04
1.071108970791101456e-02, 2.493525389581918716e-03, 1.634471677243709564e-02, 1.351464772596955299e-03
3.674329956993460655e-03, 1.102484879083931446e-03, 6.987740751355886459e-03, 5.242064362391829491e-04
7.441991474479436874e-04, 1.786239212378859520e-03, 1.200396567583084106e-02, 9.756179060786962509e-04
3.739367472007870674e-03, 1.107761287130415440e-03, 7.010368630290031433e-03, 5.196846323087811470e-04
2.212427183985710144e-02, 5.239019636064767838e-03, 3.129539638757705688e-02, 2.721006050705909729e-03
2.666191756725311279e-02, 7.375462446361780167e-03, 3.648120164871215820e-02, 3.399916691705584526e-03
2.498436346650123596e-02, 6.551680155098438263e-03, 3.726509958505630493e-02, 3.279841737821698189e-03
2.409441210329532623e-02, 6.087890360504388809e-03, 3.515433892607688904e-02, 3.123258473351597786e-03
1.607674360275268555e-02, 3.923194948583841324e-03, 2.420916967093944550e-02, 1.990808872506022453e-03
2.435815893113613129e-02, 5.938337184488773346e-03, 3.451040387153625488e-02, 3.017849288880825043e-03
3.660565707832574844e-03, 1.107284449972212315e-03, 7.023097947239875793e-03, 5.267477827146649361e-04
2.666589990258216858e-02, 6.852604914456605911e-03, 3.751599416136741638e-02, 3.297170391306281090e-03
2.693187445402145386e-02, 6.669016089290380478e-03, 3.962301462888717651e-02, 3.325588768348097801e-03
3.696319414302706718e-03, 1.102884183637797832e-03, 6.990196648985147476e-03, 5.228576483204960823e-04
2.619043923914432526e-02, 7.029288914054632187e-03, 3.693869709968566895e-02, 3.429384669288992882e-03
3.733548801392316818e-03, 1.101523404940962791e-03, 6.953257136046886444e-03, 5.157330306246876717e-04
1.152568776160478592e-02, 2.634283620864152908e-03, 1.649788394570350647e-02, 1.481138868257403374e-03
1.316208671778440475e-02, 3.012016182765364647e-03, 1.950732432305812836e-02, 1.529480447061359882e-03
1.097714528441429138e-02, 2.500170608982443810e-03, 1.566829904913902283e-02, 1.395028200931847095e-03
2.243122272193431854e-02, 5.934530869126319885e-03, 3.313584253191947937e-02, 2.816315274685621262e-03
1.132326945662498474e-02, 2.610285766422748566e-03, 1.640642620623111725e-02, 1.459435210563242435e-03
1.751073077321052551e-02, 4.253324121236801147e-03, 2.565530687570571899e-02, 2.231511753052473068e-03
3.738624975085258484e-03, 1.084716874174773693e-03, 6.848669145256280899e-03, 5.117561086080968380e-04
2.278039604425430298e-02, 6.262999027967453003e-03, 4.259755462408065796e-02, 3.019354538992047310e-03
