# '﻿k', 'ca', 'no3', 'nh4'
5.382523406296968460e-03, 1.065515913069248199e-03, 5.971984937787055969e-03, 5.398431094363331795e-04
2.648994326591491699e-02, 7.679474540054798126e-03, 4.052092507481575012e-02, 2.324729692190885544e-03
9.897579438984394073e-03, 2.447789302095770836e-03, 1.540671475231647491e-02, 1.357741304673254490e-03
5.710040684789419174e-03, 1.030011801049113274e-03, 5.841462872922420502e-03, 5.221738829277455807e-04
1.435779500752687454e-02, 3.517105709761381149e-03, 2.100879140198230743e-02, 1.589874504134058952e-03
8.459478267468512058e-04, 1.823986880481243134e-03, 1.142776105552911758e-02, 9.127933881245553493e-04
2.554830722510814667e-02, 5.968527402728796005e-03, 3.656655922532081604e-02, 2.195684472098946571e-03
5.819884594529867172e-03, 1.037631882354617119e-03, 6.218139082193374634e-03, 5.766238900832831860e-04
8.684620261192321777e-04, 1.861634314991533756e-03, 1.165409293025732040e-02, 9.793771896511316299e-04
8.455511997453868389e-04, 1.872032065875828266e-03, 1.163119729608297348e-02, 9.804508881643414497e-04
3.318931534886360168e-02, 1.169564388692378998e-02, 4.365374892950057983e-02, 1.939769717864692211e-03
2.620870247483253479e-02, 1.020333077758550644e-02, 4.121839627623558044e-02, 1.997730461880564690e-03
3.285029903054237366e-02, 7.425250485539436340e-03, 4.241585731506347656e-02, 3.446856047958135605e-03
6.124404259026050568e-03, 1.006264938041567802e-03, 5.698107182979583740e-03, 4.851754638366401196e-04
2.730208449065685272e-02, 7.333154324442148209e-03, 4.077309742569923401e-02, 2.403867896646261215e-03
2.252793870866298676e-02, 5.571229383349418640e-03, 3.298101946711540222e-02, 2.798860892653465271e-03
1.455022953450679779e-02, 3.588510444387793541e-03, 2.151982672512531281e-02, 1.637317473068833351e-03
2.171859145164489746e-02, 5.114850122481584549e-03, 3.405341133475303650e-02, 2.196199959143996239e-03
1.503466069698333740e-02, 3.887915285304188728e-03, 2.206661924719810486e-02, 1.653655199334025383e-03
1.075843349099159241e-02, 2.496304456144571304e-03, 1.532033085823059082e-02, 1.333074294961988926e-03
1.771534234285354614e-02, 4.112184047698974609e-03, 2.508838474750518799e-02, 1.738768303766846657e-03
2.193043380975723267e-02, 5.171622149646282196e-03, 3.140752390027046204e-02, 2.542586997151374817e-03
5.358831491321325302e-03, 1.064906944520771503e-03, 5.975029431283473969e-03, 5.408113356679677963e-04
3.543221578001976013e-02, 1.821078732609748840e-02, 4.415675625205039978e-02, 1.180987572297453880e-03
2.178848534822463989e-02, 5.216829944401979446e-03, 3.390571475028991699e-02, 2.215406391769647598e-03
1.748337596654891968e-02, 4.147108644247055054e-03, 2.434149757027626038e-02, 1.651224680244922638e-03
1.416566316038370132e-02, 3.828144865110516548e-03, 2.117670886218547821e-02, 1.623195130378007889e-03
8.477973751723766327e-04, 1.875980990007519722e-03, 1.161530427634716034e-02, 9.746871073730289936e-04
2.854448743164539337e-02, 1.375174429267644882e-02, 4.213494434952735901e-02, 1.427637063898146152e-03
8.774188463576138020e-04, 1.847578794695436954e-03, 1.118719112128019333e-02, 9.294516639783978462e-04
7.663074065931141376e-04, 1.858964795246720314e-03, 1.139765605330467224e-02, 9.342085104435682297e-04
3.515332564711570740e-02, 1.823964156210422516e-02, 4.404272884130477905e-02, 1.177622238174080849e-03
1.406078692525625229e-02, 3.292459063231945038e-03, 2.058710530400276184e-02, 1.468334579840302467e-03
1.088936533778905869e-02, 2.927489345893263817e-03, 1.478858850896358490e-02, 1.230551162734627724e-03
2.185915410518646240e-02, 4.944219253957271576e-03, 3.433460742235183716e-02, 2.194211585447192192e-03
1.887154020369052887e-02, 4.359600134193897247e-03, 2.634851820766925812e-02, 1.811039750464260578e-03
2.235043048858642578e-02, 5.469409748911857605e-03, 3.239176049828529358e-02, 2.761037088930606842e-03
3.545109555125236511e-02, 1.869508810341358185e-02, 4.399689286947250366e-02, 1.166632864624261856e-03
5.245386622846126556e-03, 1.069848076440393925e-03, 6.029050797224044800e-03, 5.484981229528784752e-04
2.465496398508548737e-02, 1.057445071637630463e-02, 4.046839848160743713e-02, 1.461590640246868134e-03
9.948799386620521545e-03, 2.462082542479038239e-03, 1.554511114954948425e-02, 1.361157395876944065e-03
2.191941440105438232e-02, 5.110098514705896378e-03, 3.122005052864551544e-02, 2.487723017111420631e-03
5.680882371962070465e-03, 1.029569772072136402e-03, 5.860777106136083603e-03, 5.236749420873820782e-04
2.193117327988147736e-02, 4.440020304173231125e-03, 3.079602308571338654e-02, 2.259755041450262070e-03
7.963374955579638481e-04, 1.963823568075895309e-03, 1.165222655981779099e-02, 1.011451822705566883e-03
1.371713541448116302e-02, 3.299507545307278633e-03, 2.024231478571891785e-02, 1.488680019974708557e-03
1.063357666134834290e-02, 2.485065488144755363e-03, 1.525371056050062180e-02, 1.309554558247327805e-03
1.412484422326087952e-02, 3.781559411436319351e-03, 2.116800658404827118e-02, 1.628455473110079765e-03
7.807795773260295391e-04, 1.841470482759177685e-03, 1.151180826127529144e-02, 9.452993399463593960e-04
2.293944172561168671e-02, 5.032303743064403534e-03, 3.453827276825904846e-02, 2.338153542950749397e-03
2.147412113845348358e-02, 4.856954794377088547e-03, 3.114755824208259583e-02, 2.340645296499133110e-03
8.524781442247331142e-04, 1.878143055364489555e-03, 1.169193163514137268e-02, 9.976379806175827980e-04
2.222703024744987488e-02, 5.393546074628829956e-03, 3.455189988017082214e-02, 2.399846911430358887e-03
5.710040684789419174e-03, 1.030011801049113274e-03, 5.841462872922420502e-03, 5.221738829277455807e-04
5.716682877391576767e-03, 1.030691550113260746e-03, 5.847783293575048447e-03, 5.236361757852137089e-04
2.183006145060062408e-02, 5.290761124342679977e-03, 3.339799866080284119e-02, 2.559991786256432533e-03
2.944041416049003601e-02, 1.621585898101329803e-02, 4.311710968613624573e-02, 1.022363663651049137e-03
2.430466935038566589e-02, 5.889771040529012680e-03, 3.658125177025794983e-02, 2.092509530484676361e-03
1.420208718627691269e-02, 3.822939470410346985e-03, 2.122787013649940491e-02, 1.627376419492065907e-03
8.608927601017057896e-04, 1.830091117881238461e-03, 1.153439655900001526e-02, 9.488422656431794167e-04
1.056147739291191101e-02, 2.456004964187741280e-03, 1.591388508677482605e-02, 1.375486608594655991e-03
2.250220254063606262e-02, 4.628543276339769363e-03, 3.039797581732273102e-02, 2.071400173008441925e-03
5.704304669052362442e-03, 1.031404710374772549e-03, 5.840793717652559280e-03, 5.225985660217702389e-04
1.100305095314979553e-02, 2.929046517238020897e-03, 1.485725957900285721e-02, 1.234341063536703587e-03
5.334001500159502029e-03, 1.066532102413475513e-03, 5.984664894640445709e-03, 5.426101270131766796e-04
7.569793378934264183e-04, 1.774635631591081619e-03, 1.130536291748285294e-02, 8.911258191801607609e-04
5.984415300190448761e-03, 1.040012924931943417e-03, 5.806344561278820038e-03, 5.169603391550481319e-04
2.177358791232109070e-02, 5.096873734146356583e-03, 3.146264702081680298e-02, 2.363498788326978683e-03
2.567922696471214294e-02, 6.111402530223131180e-03, 3.690914064645767212e-02, 2.274641068652272224e-03
2.676030434668064117e-02, 6.514496169984340668e-03, 3.876398503780364990e-02, 3.531692782416939735e-03
2.275120280683040619e-02, 4.900750704109668732e-03, 3.420323133468627930e-02, 2.247458323836326599e-03
1.809769682586193085e-02, 4.267417360097169876e-03, 2.562741376459598541e-02, 1.775546348653733730e-03
2.220563404262065887e-02, 5.452622193843126297e-03, 3.407429903745651245e-02, 2.365066669881343842e-03
5.256609991192817688e-03, 1.071126083843410015e-03, 6.021226756274700165e-03, 5.487558664754033089e-04
2.493445947766304016e-02, 5.757676903158426285e-03, 3.685660287737846375e-02, 2.626029308885335922e-03
2.690383046865463257e-02, 7.423356641083955765e-03, 4.058796167373657227e-02, 2.372614573687314987e-03
5.706532392650842667e-03, 1.031357911415398121e-03, 5.859066732227802277e-03, 5.246244254522025585e-04
2.499553933739662170e-02, 5.738416220992803574e-03, 3.713641315698623657e-02, 2.370286965742707253e-03
5.950252059847116470e-03, 1.017690985463559628e-03, 5.767548922449350357e-03, 4.994419869035482407e-04
1.127895154058933258e-02, 2.511455211788415909e-03, 1.589025929570198059e-02, 1.419341191649436951e-03
1.407439261674880981e-02, 3.733662422746419907e-03, 2.089817076921463013e-02, 1.599636627361178398e-03
1.108526531606912613e-02, 2.670609159395098686e-03, 1.507526077330112457e-02, 1.374336890876293182e-03
2.488408051431179047e-02, 5.572883877903223038e-03, 3.628961369395256042e-02, 2.939997240900993347e-03
1.100343093276023865e-02, 2.502384828403592110e-03, 1.554844249039888382e-02, 1.394210848957300186e-03
1.900450326502323151e-02, 4.283940419554710388e-03, 2.650971710681915283e-02, 1.873493078164756298e-03
6.078698672354221344e-03, 1.057675457559525967e-03, 6.186052225530147552e-03, 5.994038074277341366e-04
2.865874394774436951e-02, 1.506428048014640808e-02, 4.295874014496803284e-02, 9.605914819985628128e-04
2.795769833028316498e-02, 1.438986696302890778e-02, 4.200278222560882568e-02, 1.315163448452949524e-03
2.736305259168148041e-02, 6.682297214865684509e-03, 3.903816640377044678e-02, 3.542647464200854301e-03
