# '﻿k', 'ca', 'no3', 'nh4'
3.865971229970455170e-03, 1.074960106052458286e-03, 5.170570220798254013e-03, 3.798691614065319300e-04
2.466895990073680878e-02, 5.531318485736846924e-03, 4.039338976144790649e-02, 6.087424699217081070e-03
3.744357964023947716e-03, 2.468959894031286240e-03, 1.495703402906656265e-02, 1.716288854368031025e-03
4.039224702864885330e-03, 1.034604385495185852e-03, 5.498716142028570175e-03, 3.461265587247908115e-04
1.378437224775552750e-02, 3.739199135452508926e-03, 1.850545406341552734e-02, 2.046426059678196907e-03
6.992107955738902092e-04, 1.997599611058831215e-03, 1.043034996837377548e-02, 1.313152257353067398e-03
2.048063278198242188e-02, 4.694436676800251007e-03, 3.576817736029624939e-02, 9.770831093192100525e-03
3.978606313467025757e-03, 1.115452032536268234e-03, 5.734722130000591278e-03, 4.008262767456471920e-04
6.063668406568467617e-04, 1.826404011808335781e-03, 1.038070116192102432e-02, 1.081550493836402893e-03
6.135141011327505112e-04, 1.822432386688888073e-03, 1.040730625391006470e-02, 1.056079636327922344e-03
3.814873471856117249e-02, 8.598429150879383087e-03, 4.409907385706901550e-02, 7.379133719950914383e-03
2.676462382078170776e-02, 6.756805349141359329e-03, 4.178442433476448059e-02, 5.202568601816892624e-03
3.179876878857612610e-02, 1.110760215669870377e-02, 4.227403923869132996e-02, 5.746015813201665878e-03
4.336155019700527191e-03, 9.707154822535812855e-04, 5.062894895672798157e-03, 2.981855359394103289e-04
2.477233111858367920e-02, 5.858373362571001053e-03, 4.068142175674438477e-02, 6.082791835069656372e-03
1.755882054567337036e-02, 5.137205123901367188e-03, 2.660111524164676666e-02, 5.605130922049283981e-03
1.363806985318660736e-02, 3.751073963940143585e-03, 1.852306723594665527e-02, 2.002550056204199791e-03
2.051977254450321198e-02, 6.251139100641012192e-03, 3.070571832358837128e-02, 1.988332532346248627e-02
1.262917462736368179e-02, 4.077997989952564240e-03, 1.897841691970825195e-02, 2.144701313227415085e-03
5.744772963225841522e-03, 2.383299404755234718e-03, 1.509374100714921951e-02, 1.692039892077445984e-03
1.452641002833843231e-02, 6.138080265372991562e-03, 2.275355905294418335e-02, 2.256515203043818474e-03
1.580093987286090851e-02, 4.317679442465305328e-03, 2.587386779487133026e-02, 4.726284649223089218e-03
3.785429522395133972e-03, 1.061405404470860958e-03, 5.228596273809671402e-03, 3.880367439705878496e-04
4.480594396591186523e-02, 4.480990394949913025e-02, 4.428792744874954224e-02, 4.480998590588569641e-02
2.045644260942935944e-02, 6.311197765171527863e-03, 3.048082813620567322e-02, 1.935992203652858734e-02
1.479276176542043686e-02, 5.498846992850303650e-03, 2.275066077709197998e-02, 4.165836609899997711e-03
1.413270086050033569e-02, 4.345778375864028931e-03, 1.919445581734180450e-02, 2.086267806589603424e-03
5.705689545720815659e-04, 1.740671345032751560e-03, 1.015704497694969177e-02, 1.036539440974593163e-03
3.382803127169609070e-02, 6.810794584453105927e-03, 4.340607300400733948e-02, 4.950596019625663757e-03
7.612914778292179108e-04, 1.613342203199863434e-03, 1.010979339480400085e-02, 1.126378658227622509e-03
5.928441532887518406e-04, 1.801701029762625694e-03, 1.013561710715293884e-02, 9.846107568591833115e-04
4.480377212166786194e-02, 4.480986669659614563e-02, 4.416812211275100708e-02, 4.480998218059539795e-02
1.432746648788452148e-02, 4.780873190611600876e-03, 2.093331888318061829e-02, 3.029439598321914673e-03
1.147675421088933945e-02, 2.038358710706233978e-03, 1.790813542902469635e-02, 2.185440389439463615e-03
1.960540190339088440e-02, 6.138470489531755447e-03, 3.159938752651214600e-02, 1.325722225010395050e-02
1.580296456813812256e-02, 4.821421578526496887e-03, 2.440723590552806854e-02, 5.479163955897092819e-03
1.791034825146198273e-02, 5.446684546768665314e-03, 2.598849311470985413e-02, 5.762559361755847931e-03
4.480575025081634521e-02, 4.480995982885360718e-02, 4.417173936963081360e-02, 4.480999708175659180e-02
3.737018443644046783e-03, 1.070378231815993786e-03, 5.298963282257318497e-03, 3.932436229661107063e-04
2.823476307094097137e-02, 5.583921447396278381e-03, 4.201624169945716858e-02, 3.946437034755945206e-03
3.888498991727828979e-03, 2.460644114762544632e-03, 1.498655788600444794e-02, 1.726358081214129925e-03
1.565906032919883728e-02, 4.342468921095132828e-03, 2.553674019873142242e-02, 4.752032924443483353e-03
4.018052946776151657e-03, 1.040461589582264423e-03, 5.539634265005588531e-03, 3.505722561385482550e-04
1.701912470161914825e-02, 4.810716491192579269e-03, 2.373610995709896088e-02, 7.977739907801151276e-03
6.124016945250332355e-04, 1.782322418875992298e-03, 1.034181471914052963e-02, 1.019899849779903889e-03
1.407650206238031387e-02, 4.307309631258249283e-03, 1.962056942284107208e-02, 2.811257727444171906e-03
5.114780738949775696e-03, 2.705961000174283981e-03, 1.543875597417354584e-02, 1.867155078798532486e-03
1.400648429989814758e-02, 4.246363881975412369e-03, 1.879740320146083832e-02, 2.041443483904004097e-03
5.972965154796838760e-04, 1.810772693715989590e-03, 1.046196836978197098e-02, 1.038256799802184105e-03
1.915857940912246704e-02, 5.087485536932945251e-03, 3.150340914726257324e-02, 1.691417209804058075e-02
1.876046881079673767e-02, 5.025089718401432037e-03, 2.541559189558029175e-02, 8.288586512207984924e-03
6.252913735806941986e-04, 1.846849685534834862e-03, 1.060719974339008331e-02, 1.049640122801065445e-03
1.964328624308109283e-02, 6.621057633310556412e-03, 3.040914051234722137e-02, 1.607266254723072052e-02
4.039224702864885330e-03, 1.034604385495185852e-03, 5.498716142028570175e-03, 3.461265587247908115e-04
4.060775041580200195e-03, 1.022748299874365330e-03, 5.484545603394508362e-03, 3.360012487974017859e-04
1.833692006766796112e-02, 6.041205022484064102e-03, 2.889571338891983032e-02, 9.873006492853164673e-03
4.135144501924514771e-02, 2.363483048975467682e-02, 4.395056515932083130e-02, 2.197928726673126221e-02
2.043557539582252502e-02, 4.461017437279224396e-03, 3.684543073177337646e-02, 8.216323330998420715e-03
1.406574808061122894e-02, 4.309436772018671036e-03, 1.907392404973506927e-02, 2.082752762362360954e-03
6.239439244382083416e-04, 1.860651420429348946e-03, 1.052542589604854584e-02, 1.118065556511282921e-03
4.948273766785860062e-03, 2.405842998996376991e-03, 1.580750197172164917e-02, 1.689228694885969162e-03
1.717081479728221893e-02, 5.868656560778617859e-03, 2.398831211030483246e-02, 1.084725651890039444e-02
4.032498225569725037e-03, 1.038083224557340145e-03, 5.507842637598514557e-03, 3.484034969005733728e-04
1.161464396864175797e-02, 2.081693848595023155e-03, 1.807134971022605896e-02, 2.198884263634681702e-03
3.766119014471769333e-03, 1.063463278114795685e-03, 5.247152410447597504e-03, 3.900198789779096842e-04
6.078318110667169094e-04, 1.819422352127730846e-03, 1.038840692490339279e-02, 1.190112554468214512e-03
4.818897228688001633e-03, 1.150197582319378853e-03, 5.173255689442157745e-03, 2.608866197988390923e-04
1.849011145532131195e-02, 5.023902282118797302e-03, 2.578048966825008392e-02, 7.974412292242050171e-03
2.080165222287178040e-02, 5.121329799294471741e-03, 3.619147092103958130e-02, 8.941567502915859222e-03
2.901798672974109650e-02, 8.425859734416007996e-03, 3.627224266529083252e-02, 8.648052811622619629e-03
1.870604418218135834e-02, 4.834611434489488602e-03, 3.157855942845344543e-02, 1.788459345698356628e-02
1.420155446976423264e-02, 6.194748450070619583e-03, 2.311377786099910736e-02, 2.333719749003648758e-03
1.966038346290588379e-02, 6.718708202242851257e-03, 2.999381534755229950e-02, 1.583198644220829010e-02
3.729242132976651192e-03, 1.067457604221999645e-03, 5.303905811160802841e-03, 3.923462063539773226e-04
