# '﻿k', 'ca', 'no3', 'nh4'
4.199403338134288788e-03, 1.010666601359844208e-03, 5.725920200347900391e-03, 4.692396323662251234e-04
2.558822929859161377e-02, 7.359509356319904327e-03, 3.873075172305107117e-02, 3.295740112662315369e-03
1.082550641149282455e-02, 2.752577187493443489e-03, 1.657751388847827911e-02, 1.393852988258004189e-03
4.268692340701818466e-03, 1.016332884319126606e-03, 5.681214854121208191e-03, 4.723792662844061852e-04
1.310528349131345749e-02, 3.242815379053354263e-03, 1.982870884239673615e-02, 1.670970581471920013e-03
6.996848387643694878e-04, 1.920106704346835613e-03, 1.132230274379253387e-02, 9.485231130383908749e-04
2.159082330763339996e-02, 6.142770405858755112e-03, 3.388471156358718872e-02, 3.021882381290197372e-03
4.171959590166807175e-03, 1.022222102619707584e-03, 5.741853266954421997e-03, 4.778772708959877491e-04
7.089488208293914795e-04, 1.942763803526759148e-03, 1.121020875871181488e-02, 9.513796539977192879e-04
7.048569968901574612e-04, 1.948491437360644341e-03, 1.119607314467430115e-02, 9.521555039100348949e-04
3.077331930398941040e-02, 8.619792759418487549e-03, 4.453573748469352722e-02, 4.154747352004051208e-03
2.601519972085952759e-02, 7.584441918879747391e-03, 4.040277749300003052e-02, 3.522877581417560577e-03
3.089895658195018768e-02, 8.114774711430072784e-03, 4.349393025040626526e-02, 3.749588970094919205e-03
4.337885882705450058e-03, 1.015046844258904457e-03, 5.629228893667459488e-03, 4.741687444038689137e-04
2.629344165325164795e-02, 7.536098826676607132e-03, 3.942014649510383606e-02, 3.399427980184555054e-03
2.069322764873504639e-02, 5.080872215330600739e-03, 3.027052991092205048e-02, 2.497288631275296211e-03
1.347121037542819977e-02, 3.323421347886323929e-03, 2.036679536104202271e-02, 1.709759817458689213e-03
2.063973248004913330e-02, 5.322451237589120865e-03, 2.993059530854225159e-02, 2.735085552558302879e-03
1.416866946965456009e-02, 3.569687483832240105e-03, 2.178950235247612000e-02, 1.836294308304786682e-03
1.113971322774887085e-02, 2.714885631576180458e-03, 1.637441851198673248e-02, 1.368995057418942451e-03
1.618095859885215759e-02, 4.609267693012952805e-03, 2.569065988063812256e-02, 2.287450712174177170e-03
2.023483067750930786e-02, 5.093850195407867432e-03, 2.974426932632923126e-02, 2.494272077456116676e-03
4.188443068414926529e-03, 1.010972424410283566e-03, 5.732918158173561096e-03, 4.691034264396876097e-04
3.927335515618324280e-02, 8.965277113020420074e-03, 4.477973282337188721e-02, 3.571623936295509338e-03
2.094106934964656830e-02, 5.363799165934324265e-03, 3.044859319925308228e-02, 2.731146058067679405e-03
1.625382155179977417e-02, 4.177157301455736160e-03, 2.542125433683395386e-02, 2.102940576151013374e-03
1.371599175035953522e-02, 3.419495653361082077e-03, 2.076582051813602448e-02, 1.765410415828227997e-03
7.033987203612923622e-04, 1.940761925652623177e-03, 1.120365969836711884e-02, 9.472210658714175224e-04
2.747854217886924744e-02, 7.510359399020671844e-03, 4.244134202599525452e-02, 3.508564317598938942e-03
6.726982537657022476e-04, 1.979346852749586105e-03, 1.105270069092512131e-02, 9.526442736387252808e-04
6.784072611480951309e-04, 1.971191260963678360e-03, 1.105475891381502151e-02, 9.532612748444080353e-04
3.705540671944618225e-02, 8.582836017012596130e-03, 4.473670199513435364e-02, 3.331957384943962097e-03
1.403745170682668686e-02, 3.661446971818804741e-03, 2.158639393746852875e-02, 1.829379354603588581e-03
1.123671978712081909e-02, 2.670590300112962723e-03, 1.589653454720973969e-02, 1.395754632540047169e-03
2.128720656037330627e-02, 5.607851315289735794e-03, 3.125418350100517273e-02, 2.855582395568490028e-03
1.705067418515682220e-02, 4.398201126605272293e-03, 2.676060795783996582e-02, 2.238908782601356506e-03
2.042844519019126892e-02, 4.995545838028192520e-03, 2.993031591176986694e-02, 2.463986864313483238e-03
