# '﻿k', 'ca', 'no3', 'nh4'
4.399674013257026672e-03, 9.736948413774371147e-04, 5.984141491353511810e-03, 5.493221106007695198e-04
3.036728501319885254e-02, 9.906031191349029541e-03, 4.227937012910842896e-02, 3.819160163402557373e-03
1.162802055478096008e-02, 2.482188865542411804e-03, 1.721115969121456146e-02, 1.277503906749188900e-03
4.645933397114276886e-03, 9.669802384451031685e-04, 5.780764389783143997e-03, 5.656331777572631836e-04
1.357130613178014755e-02, 3.100578673183917999e-03, 1.963325217366218567e-02, 1.619791146367788315e-03
1.014959998428821564e-03, 1.773794298060238361e-03, 1.187388412654399872e-02, 1.068001147359609604e-03
2.399993501603603363e-02, 6.881343666464090347e-03, 3.755266964435577393e-02, 3.949863836169242859e-03
4.697564523667097092e-03, 9.153146529570221901e-04, 5.879094358533620834e-03, 5.404640687629580498e-04
9.095001732930541039e-04, 1.752559444867074490e-03, 1.189991459250450134e-02, 1.063805189915001392e-03
8.914022473618388176e-04, 1.750671071931719780e-03, 1.191104855388402939e-02, 1.066501368768513203e-03
3.718429058790206909e-02, 1.222475338727235794e-02, 4.458544403314590454e-02, 4.106557928025722504e-03
3.135159239172935486e-02, 1.111760083585977554e-02, 4.323013126850128174e-02, 3.850565757602453232e-03
3.550189360976219177e-02, 1.399791985750198364e-02, 4.430812969803810120e-02, 3.937681671231985092e-03
4.792175255715847015e-03, 9.469887008890509605e-04, 5.700594745576381683e-03, 5.474177305586636066e-04
3.079198300838470459e-02, 9.751616977155208588e-03, 4.239569604396820068e-02, 3.779201069846749306e-03
1.898776739835739136e-02, 5.331959575414657593e-03, 2.926926128566265106e-02, 2.574285026639699936e-03
1.361934840679168701e-02, 3.166373353451490402e-03, 2.003051713109016418e-02, 1.676997402682900429e-03
2.021072618663311005e-02, 5.709588993340730667e-03, 3.022806346416473389e-02, 2.838140353560447693e-03
1.406347379088401794e-02, 3.322295378893613815e-03, 2.145919576287269592e-02, 1.847319770604372025e-03
1.160194724798202515e-02, 2.503835130482912064e-03, 1.678019389510154724e-02, 1.351960119791328907e-03
1.548558380454778671e-02, 3.951195161789655685e-03, 2.459215186536312103e-02, 2.170369727537035942e-03
1.789738982915878296e-02, 5.153062287718057632e-03, 2.770051360130310059e-02, 2.387524815276265144e-03
4.391665570437908173e-03, 9.713298059068620205e-04, 5.995264276862144470e-03, 5.473309429362416267e-04
3.872137889266014099e-02, 1.293710339814424515e-02, 4.470033943653106689e-02, 5.588102620095014572e-03
2.025520987808704376e-02, 5.753626581281423569e-03, 3.012281656265258789e-02, 2.834911225363612175e-03
1.616441644728183746e-02, 4.045505542308092117e-03, 2.494660578668117523e-02, 2.176024019718170166e-03
1.427588146179914474e-02, 3.320771735161542892e-03, 2.149511687457561493e-02, 1.858492032624781132e-03
8.604080067016184330e-04, 1.752061303704977036e-03, 1.180006656795740128e-02, 1.055901986546814442e-03
3.563284128904342651e-02, 1.187622826546430588e-02, 4.414549097418785095e-02, 4.269213415682315826e-03
9.134437423199415207e-04, 1.706386450678110123e-03, 1.140275225043296814e-02, 9.991644183173775673e-04
7.861760677769780159e-04, 1.718067564070224762e-03, 1.146776601672172546e-02, 1.008612685836851597e-03
3.811895102262496948e-02, 1.303681544959545135e-02, 4.467176273465156555e-02, 5.601889919489622116e-03
1.334712095558643341e-02, 3.314870409667491913e-03, 1.968687027692794800e-02, 1.850512810051441193e-03
1.198198180645704269e-02, 2.762331161648035049e-03, 1.670637354254722595e-02, 1.496296143159270287e-03
2.134317532181739807e-02, 5.868199747055768967e-03, 3.200375661253929138e-02, 2.923181280493736267e-03
1.634460501372814178e-02, 4.213484004139900208e-03, 2.545271441340446472e-02, 2.204153919592499733e-03
1.864975504577159882e-02, 5.134478211402893066e-03, 2.912458777427673340e-02, 2.583069493994116783e-03
3.756140172481536865e-02, 1.277660671621561050e-02, 4.465227946639060974e-02, 5.644115153700113297e-03
4.317821003496646881e-03, 9.802558925002813339e-04, 6.071174982935190201e-03, 5.517258541658520699e-04
3.245704248547554016e-02, 1.080401614308357239e-02, 4.313624277710914612e-02, 3.941469360142946243e-03
1.182595547288656235e-02, 2.492252737283706665e-03, 1.732418499886989594e-02, 1.275701099075376987e-03
1.773427799344062805e-02, 5.045991856604814529e-03, 2.738276124000549316e-02, 2.366339322179555893e-03
4.636262543499469757e-03, 9.670697618275880814e-04, 5.807961802929639816e-03, 5.669365637004375458e-04
1.626627519726753235e-02, 4.530344624072313309e-03, 2.428017556667327881e-02, 2.039849059656262398e-03
7.959809154272079468e-04, 1.785487402230501175e-03, 1.195864100009202957e-02, 1.067709992639720440e-03
1.288779079914093018e-02, 3.228794550523161888e-03, 1.896891556680202484e-02, 1.824812148697674274e-03
1.134694926440715790e-02, 2.513750689104199409e-03, 1.680593751370906830e-02, 1.356654218398034573e-03
1.413501054048538208e-02, 3.228053217753767967e-03, 2.137296833097934723e-02, 1.824103062972426414e-03
8.336229948326945305e-04, 1.719867810606956482e-03, 1.165632903575897217e-02, 1.046615303494036198e-03
2.224313095211982727e-02, 7.157049607485532761e-03, 3.400664776563644409e-02, 3.367306431755423546e-03
1.787080988287925720e-02, 4.770609084516763687e-03, 2.644241601228713989e-02, 2.244737930595874786e-03
9.139965986832976341e-04, 1.759028295055031776e-03, 1.195813063532114029e-02, 1.070292782969772816e-03
2.060248516499996185e-02, 5.881309509277343750e-03, 3.087161853909492493e-02, 2.952403388917446136e-03
4.645933397114276886e-03, 9.669802384451031685e-04, 5.780764389783143997e-03, 5.656331777572631836e-04
4.643987864255905151e-03, 9.684505639597773552e-04, 5.801901686936616898e-03, 5.645888741128146648e-04
2.071745879948139191e-02, 5.686699878424406052e-03, 3.059916570782661438e-02, 2.660041674971580505e-03
3.651240095496177673e-02, 1.160080078989267349e-02, 4.446456581354141235e-02, 5.141802132129669189e-03
2.335099317133426666e-02, 6.878272164613008499e-03, 3.736643120646476746e-02, 3.720824839547276497e-03
1.431400235742330551e-02, 3.303138539195060730e-03, 2.160590700805187225e-02, 1.860113232396543026e-03
