# '﻿k', 'ca', 'no3', 'nh4'
4.765895195305347443e-03, 9.965896606445312500e-04, 5.050392355769872665e-03, 5.542872822843492031e-04
2.854314073920249939e-02, 6.355883087962865829e-03, 3.998600319027900696e-02, 4.087238106876611710e-03
9.552116505801677704e-03, 3.135398961603641510e-03, 1.523436512798070908e-02, 1.457426697015762329e-03
4.996022209525108337e-03, 9.842087747529149055e-04, 4.818543326109647751e-03, 5.481789703480899334e-04
1.193310320377349854e-02, 2.678955672308802605e-03, 1.747127436101436615e-02, 1.645993790589272976e-03
4.427444655448198318e-04, 1.768161426298320293e-03, 1.098112948238849640e-02, 9.492015233263373375e-04
2.551181241869926453e-02, 6.960471160709857941e-03, 3.873849287629127502e-02, 4.277652129530906677e-03
4.332772456109523773e-03, 9.913507383316755295e-04, 5.135805811733007431e-03, 5.578194977715611458e-04
5.865769344381988049e-04, 1.811099820770323277e-03, 1.117816753685474396e-02, 9.706206619739532471e-04
5.701055633835494518e-04, 1.802076236344873905e-03, 1.119520328938961029e-02, 9.681407827883958817e-04
2.836585044860839844e-02, 6.381395272910594940e-03, 4.342485219240188599e-02, 5.199877545237541199e-03
2.743710018694400787e-02, 6.052868440747261047e-03, 4.019451513886451721e-02, 4.086253698915243149e-03
3.093389794230461121e-02, 7.618221919983625412e-03, 4.275056347250938416e-02, 6.659817881882190704e-03
5.333327222615480423e-03, 9.678322821855545044e-04, 4.650034941732883453e-03, 5.435476195998489857e-04
2.888867631554603577e-02, 6.460155826061964035e-03, 4.018031060695648193e-02, 3.904005978256464005e-03
2.014652080833911896e-02, 4.413434304296970367e-03, 3.054000809788703918e-02, 2.650999464094638824e-03
1.219137478619813919e-02, 2.739385701715946198e-03, 1.788568869233131409e-02, 1.668198150582611561e-03
2.357844263315200806e-02, 5.630449391901493073e-03, 3.264443203806877136e-02, 2.825896954163908958e-03
1.395716425031423569e-02, 3.121629357337951660e-03, 2.085384912788867950e-02, 1.607789425179362297e-03
1.010548230260610580e-02, 3.162736771628260612e-03, 1.533686090260744095e-02, 1.528727356344461441e-03
1.728479750454425812e-02, 3.716964041814208031e-03, 2.685266360640525818e-02, 1.918646972626447678e-03
2.145057357847690582e-02, 4.524262621998786926e-03, 3.093037940561771393e-02, 2.562117762863636017e-03
4.658872727304697037e-03, 1.000668155029416084e-03, 5.098727066069841385e-03, 5.557722761295735836e-04
3.036261908710002899e-02, 4.837836604565382004e-03, 4.419478401541709900e-02, 3.987027797847986221e-03
2.325770445168018341e-02, 5.571783520281314850e-03, 3.218539059162139893e-02, 2.780795097351074219e-03
1.736952178180217743e-02, 3.535532159730792046e-03, 2.598479390144348145e-02, 1.900949748232960701e-03
1.405534241348505020e-02, 2.922485582530498505e-03, 2.033843286335468292e-02, 1.696376013569533825e-03
5.608909996226429939e-04, 1.814378309063613415e-03, 1.111775822937488556e-02, 9.629712440073490143e-04
2.515125460922718048e-02, 5.381626076996326447e-03, 4.050780832767486572e-02, 4.072735086083412170e-03
5.589039064943790436e-04, 1.765220775268971920e-03, 1.115164253860712051e-02, 9.558853926137089729e-04
4.804747004527598619e-04, 1.773567288182675838e-03, 1.117283478379249573e-02, 9.612992871552705765e-04
2.976430580019950867e-02, 4.757755436003208160e-03, 4.405324161052703857e-02, 3.907537087798118591e-03
1.465100143104791641e-02, 3.346525831148028374e-03, 2.245422266423702240e-02, 1.612582360394299030e-03
9.906732477247714996e-03, 2.728691557422280312e-03, 1.527765765786170959e-02, 1.586867147125303745e-03
2.499694749712944031e-02, 5.864117294549942017e-03, 3.404472023248672485e-02, 2.966378815472126007e-03
1.816205866634845734e-02, 3.711409866809844971e-03, 2.748654782772064209e-02, 1.955227460712194443e-03
1.972589455544948578e-02, 4.376982338726520538e-03, 3.038303367793560028e-02, 2.583853434771299362e-03
2.999870851635932922e-02, 4.680374637246131897e-03, 4.399318620562553406e-02, 3.858373966068029404e-03
4.549505189061164856e-03, 1.008276129141449928e-03, 5.199479870498180389e-03, 5.604677135124802589e-04
2.488864213228225708e-02, 5.033159628510475159e-03, 3.765142709016799927e-02, 3.935599699616432190e-03
9.759021922945976257e-03, 3.161361441016197205e-03, 1.533346902579069138e-02, 1.464212080463767052e-03
2.138018421828746796e-02, 4.504757467657327652e-03, 3.078997507691383362e-02, 2.513872226700186729e-03
4.961590748280286789e-03, 9.873070521280169487e-04, 4.837960936129093170e-03, 5.496612866409122944e-04
1.991178654134273529e-02, 4.248512908816337585e-03, 2.891717664897441864e-02, 1.903070369735360146e-03
5.298339528962969780e-04, 1.828456646762788296e-03, 1.135085988789796829e-02, 9.890912333503365517e-04
1.417108625173568726e-02, 3.259763354435563087e-03, 2.166035771369934082e-02, 1.588109065778553486e-03
9.050818160176277161e-03, 3.157241502776741982e-03, 1.499858777970075607e-02, 1.503781299106776714e-03
1.375959161669015884e-02, 2.899463754147291183e-03, 2.026483975350856781e-02, 1.675977138802409172e-03
5.604329635389149189e-04, 1.752773066982626915e-03, 1.104770414531230927e-02, 9.311837493441998959e-04
2.322188951075077057e-02, 5.905804224312305450e-03, 3.436386212706565857e-02, 3.420503810048103333e-03
2.152605168521404266e-02, 4.514200147241353989e-03, 3.083593025803565979e-02, 2.205210272222757339e-03
6.095932330936193466e-04, 1.808809582144021988e-03, 1.118513103574514389e-02, 9.720442467369139194e-04
2.401003427803516388e-02, 5.670853424817323685e-03, 3.317150846123695374e-02, 2.853788901120424271e-03
4.996022209525108337e-03, 9.842087747529149055e-04, 4.818543326109647751e-03, 5.481789703480899334e-04
5.051381886005401611e-03, 9.830162161961197853e-04, 4.800016991794109344e-03, 5.479212268255650997e-04
2.385054156184196472e-02, 5.062403157353401184e-03, 3.288416564464569092e-02, 2.929059788584709167e-03
2.631022594869136810e-02, 4.622995853424072266e-03, 4.256245121359825134e-02, 4.417599644511938095e-03
2.562743611633777618e-02, 7.290987763553857803e-03, 3.803964704275131226e-02, 5.120574962347745895e-03
1.403526775538921356e-02, 2.957786666229367256e-03, 2.047610282897949219e-02, 1.711093937046825886e-03
5.755969323217868805e-04, 1.775590470060706139e-03, 1.113793253898620605e-02, 9.494979749433696270e-04
1.009294856339693069e-02, 3.244543448090553284e-03, 1.545130182057619095e-02, 1.551489927805960178e-03
2.085015922784805298e-02, 4.412872251123189926e-03, 3.035657852888107300e-02, 2.252220408990979195e-03
4.982431419193744659e-03, 9.845560416579246521e-04, 4.823650233447551727e-03, 5.481736152432858944e-04
1.002531033009290695e-02, 2.735818736255168915e-03, 1.536670885980129242e-02, 1.586342230439186096e-03
4.620517604053020477e-03, 1.001992844976484776e-03, 5.128553137183189392e-03, 5.567204207181930542e-04
4.740178410429507494e-04, 1.883968245238065720e-03, 1.155475899577140808e-02, 1.051771454513072968e-03
5.473332013934850693e-03, 9.706246783025562763e-04, 4.671134520322084427e-03, 5.419691442511975765e-04
2.183062769472599030e-02, 4.626031499356031418e-03, 3.131827339529991150e-02, 2.310186624526977539e-03
2.580031380057334900e-02, 6.866451818495988846e-03, 3.874265030026435852e-02, 4.033271688967943192e-03
2.726111747324466705e-02, 6.065957248210906982e-03, 3.850653767585754395e-02, 3.611855441704392433e-03
2.278685756027698517e-02, 5.764072760939598083e-03, 3.360298275947570801e-02, 3.153796074911952019e-03
1.760113425552845001e-02, 3.778466489166021347e-03, 2.729130350053310394e-02, 1.950686913914978504e-03
2.334658615291118622e-02, 5.558716133236885071e-03, 3.218052908778190613e-02, 2.761397743597626686e-03
4.530603531748056412e-03, 1.006664242595434189e-03, 5.207783542573451996e-03, 5.598867428489029408e-04
2.729498036205768585e-02, 7.765309885144233704e-03, 3.966471180319786072e-02, 6.125823594629764557e-03
2.865236625075340271e-02, 6.393927149474620819e-03, 3.994920104742050171e-02, 3.981970250606536865e-03
5.067765247076749802e-03, 9.836119133979082108e-04, 4.797657020390033722e-03, 5.482203559949994087e-04
2.587807923555374146e-02, 6.301384884864091873e-03, 3.837989643216133118e-02, 3.576820017769932747e-03
5.317518021911382675e-03, 9.726772550493478775e-04, 4.677883815020322800e-03, 5.455000209622085094e-04
1.041351258754730225e-02, 3.244011895731091499e-03, 1.562317274510860443e-02, 1.597701571881771088e-03
1.359193772077560425e-02, 2.900716383010149002e-03, 1.975770667195320129e-02, 1.664466923102736473e-03
9.939440526068210602e-03, 2.993377391248941422e-03, 1.542063057422637939e-02, 1.492530107498168945e-03
2.672364562749862671e-02, 6.397118791937828064e-03, 3.421483933925628662e-02, 2.677463926374912262e-03
1.022895798087120056e-02, 3.214426571503281593e-03, 1.547117251902818680e-02, 1.598325208760797977e-03
1.857508160173892975e-02, 3.752992954105138779e-03, 2.802453190088272095e-02, 2.049207920208573341e-03
4.425799474120140076e-03, 9.833968942984938622e-04, 4.925408400595188141e-03, 5.562730366364121437e-04
2.607185393571853638e-02, 4.395204130560159683e-03, 4.182710871100425720e-02, 4.388508386909961700e-03
2.473642863333225250e-02, 5.307476967573165894e-03, 4.027969390153884888e-02, 4.104502499103546143e-03
2.723542228341102600e-02, 6.101757753640413284e-03, 3.835090622305870056e-02, 3.648641519248485565e-03
3.041718341410160065e-02, 4.665248095989227295e-03, 4.405339807271957397e-02, 3.828488057479262352e-03
1.855530217289924622e-02, 4.214428365230560303e-03, 2.869039401412010193e-02, 2.001208020374178886e-03
1.837073825299739838e-02, 3.994083032011985779e-03, 2.812162972986698151e-02, 1.994773978367447853e-03
