# '﻿k', 'ca', 'no3', 'nh4'
4.061335697770118713e-03, 1.011427724733948708e-03, 5.994286853820085526e-03, 5.303868674673140049e-04
2.827590890228748322e-02, 7.554464973509311676e-03, 4.120887070894241333e-02, 3.605704288929700851e-03
1.084403414279222488e-02, 2.704100683331489563e-03, 1.606561988592147827e-02, 1.405146787874400616e-03
4.052759613841772079e-03, 1.036359113641083241e-03, 6.011232268065214157e-03, 5.343517987057566643e-04
1.367337536066770554e-02, 3.357640700414776802e-03, 2.093379944562911987e-02, 1.617665053345263004e-03
7.357738213613629341e-04, 1.825357088819146156e-03, 1.116549875587224960e-02, 9.566613007336854935e-04
2.469393424689769745e-02, 6.349105853587388992e-03, 3.678850829601287842e-02, 3.086971817538142204e-03
4.031538031995296478e-03, 1.017644302919507027e-03, 6.019012536853551865e-03, 5.273647257126867771e-04
7.237134850583970547e-04, 1.836630865000188351e-03, 1.120663993060588837e-02, 9.451765217818319798e-04
7.195214857347309589e-04, 1.839984091930091381e-03, 1.121407188475131989e-02, 9.450229117646813393e-04
3.156987205147743225e-02, 8.204111829400062561e-03, 4.464816674590110779e-02, 3.893172834068536758e-03
2.801463752985000610e-02, 7.761107292026281357e-03, 4.156309738755226135e-02, 3.726780880242586136e-03
2.839981578290462494e-02, 7.684287149459123611e-03, 4.338620230555534363e-02, 3.646902740001678467e-03
4.054225981235504150e-03, 1.037411508150398731e-03, 6.022461690008640289e-03, 5.350275314413011074e-04
2.877962589263916016e-02, 7.612397894263267517e-03, 4.150446131825447083e-02, 3.645065240561962128e-03
2.129147201776504517e-02, 5.264100152999162674e-03, 3.109223209321498871e-02, 2.567195100709795952e-03
1.405934244394302368e-02, 3.393873805180191994e-03, 2.132154628634452820e-02, 1.642962335608899593e-03
2.292577922344207764e-02, 5.776413250714540482e-03, 3.402882814407348633e-02, 2.791996812447905540e-03
1.412960886955261230e-02, 3.496798919513821602e-03, 2.125964500010013580e-02, 1.708270865492522717e-03
1.102852821350097656e-02, 2.693606773391366005e-03, 1.631277613341808319e-02, 1.377906533889472485e-03
1.702688075602054596e-02, 4.297222942113876343e-03, 2.587905898690223694e-02, 2.116773277521133423e-03
2.094722539186477661e-02, 5.171946715563535690e-03, 3.080401197075843811e-02, 2.554512349888682365e-03
4.061176907271146774e-03, 1.011407701298594475e-03, 5.996241699904203415e-03, 5.304883234202861786e-04
4.390515014529228210e-02, 7.282096426934003830e-03, 4.480527713894844055e-02, 3.626795019954442978e-03
2.322039753198623657e-02, 5.859636701643466949e-03, 3.432803973555564880e-02, 2.844884293153882027e-03
1.651428267359733582e-02, 4.133453592658042908e-03, 2.527845837175846100e-02, 2.045738277956843376e-03
1.404992956668138504e-02, 3.445793176069855690e-03, 2.119383588433265686e-02, 1.682041445747017860e-03
7.256445242092013359e-04, 1.831427915021777153e-03, 1.118955295532941818e-02, 9.432307560928165913e-04
2.970577776432037354e-02, 8.154936134815216064e-03, 4.286514595150947571e-02, 4.028974100947380066e-03
7.114086765795946121e-04, 1.859179814346134663e-03, 1.120850723236799240e-02, 9.435152169317007065e-04
7.022368954494595528e-04, 1.853472087532281876e-03, 1.118656434118747711e-02, 9.409979102201759815e-04
4.134323447942733765e-02, 7.193031720817089081e-03, 4.479783400893211365e-02, 3.710643388330936432e-03
1.494716759771108627e-02, 3.709142329171299934e-03, 2.294493652880191803e-02, 1.798672252334654331e-03
1.182704418897628784e-02, 2.800657181069254875e-03, 1.763349026441574097e-02, 1.529146684333682060e-03
2.327973023056983948e-02, 5.922370590269565582e-03, 3.479468822479248047e-02, 2.848712960258126259e-03
1.723934523761272430e-02, 4.381723236292600632e-03, 2.656811475753784180e-02, 2.178116701543331146e-03
2.092423848807811737e-02, 5.175019614398479462e-03, 3.049496188759803772e-02, 2.524590585380792618e-03
4.068862274289131165e-02, 7.372376043349504471e-03, 4.479190707206726074e-02, 3.791186492890119553e-03
4.030867479741573334e-03, 1.014758367091417313e-03, 6.022977177053689957e-03, 5.301545024849474430e-04
2.631167881190776825e-02, 7.117631379514932632e-03, 3.916293010115623474e-02, 3.593145869672298431e-03
1.092628110200166702e-02, 2.708076266571879387e-03, 1.608394086360931396e-02, 1.408788608387112617e-03
2.086907066404819489e-02, 5.152028519660234451e-03, 3.068131394684314728e-02, 2.545983064919710159e-03
4.049443639814853668e-03, 1.036620931699872017e-03, 6.012359168380498886e-03, 5.340192583389580250e-04
1.947954483330249786e-02, 4.935425240546464920e-03, 2.935689501464366913e-02, 2.454318106174468994e-03
7.214258657768368721e-04, 1.853339839726686478e-03, 1.124537549912929535e-02, 9.477846324443817139e-04
1.484950352460145950e-02, 3.675763029605150223e-03, 2.264828793704509735e-02, 1.778840902261435986e-03
1.108786556869745255e-02, 2.688927343115210533e-03, 1.645564660429954529e-02, 1.392449485138058662e-03
1.408955361694097519e-02, 3.437106031924486160e-03, 2.115875296294689178e-02, 1.681768917478621006e-03
7.106207776814699173e-04, 1.842529512941837311e-03, 1.117977406829595566e-02, 9.420555434189736843e-04
2.286520414054393768e-02, 5.587337538599967957e-03, 3.391240164637565613e-02, 2.759899478405714035e-03
1.995260454714298248e-02, 4.954787902534008026e-03, 2.953276969492435455e-02, 2.431649016216397285e-03
7.298391428776085377e-04, 1.842040685005486012e-03, 1.122466288506984711e-02, 9.491107193753123283e-04
2.342333830893039703e-02, 5.942746531218290329e-03, 3.494146093726158142e-02, 2.879546955227851868e-03
4.052759613841772079e-03, 1.036359113641083241e-03, 6.011232268065214157e-03, 5.343517987057566643e-04
4.051862284541130066e-03, 1.037052250467240810e-03, 6.011810619384050369e-03, 5.341675132513046265e-04
2.281351014971733093e-02, 5.826767534017562866e-03, 3.337923064827919006e-02, 2.891043899580836296e-03
3.128056973218917847e-02, 7.998851127922534943e-03, 4.448330774903297424e-02, 4.217562265694141388e-03
2.457914315164089203e-02, 6.433094386011362076e-03, 3.654221817851066589e-02, 3.164336783811450005e-03
1.409211661666631699e-02, 3.451805328950285912e-03, 2.121043764054775238e-02, 1.687085372395813465e-03
7.131274323910474777e-04, 1.838046358898282051e-03, 1.118890382349491119e-02, 9.426284814253449440e-04
1.104746572673320770e-02, 2.711190609261393547e-03, 1.622106134891510010e-02, 1.411771983839571476e-03
1.985855214297771454e-02, 4.993362352252006531e-03, 3.013664856553077698e-02, 2.500290749594569206e-03
4.053411073982715607e-03, 1.036229659803211689e-03, 6.011361721903085709e-03, 5.344385863281786442e-04
1.188788283616304398e-02, 2.814532257616519928e-03, 1.768843643367290497e-02, 1.531673246063292027e-03
4.058823920786380768e-03, 1.012127497233450413e-03, 5.997709464281797409e-03, 5.304830265231430531e-04
7.482495275326073170e-04, 1.812516711652278900e-03, 1.108331046998500824e-02, 9.486459894105792046e-04
4.062603227794170380e-03, 1.040318747982382774e-03, 5.999627057462930679e-03, 5.344532546587288380e-04
2.054401300847530365e-02, 5.096140317618846893e-03, 3.033514134585857391e-02, 2.489619189873337746e-03
2.521837688982486725e-02, 6.568767130374908447e-03, 3.746628761291503906e-02, 3.188572358340024948e-03
2.534323930740356445e-02, 6.676754914224147797e-03, 3.781571984291076660e-02, 3.160606836900115013e-03
2.222375944256782532e-02, 5.454430356621742249e-03, 3.306572139263153076e-02, 2.685579471290111542e-03
1.706300862133502960e-02, 4.311224911361932755e-03, 2.598931454122066498e-02, 2.126989420503377914e-03
2.353005483746528625e-02, 5.933968815952539444e-03, 3.478175401687622070e-02, 2.890494884923100471e-03
4.034801851958036423e-03, 1.016670721583068371e-03, 6.019339431077241898e-03, 5.307514220476150513e-04
2.566296420991420746e-02, 6.759181153029203415e-03, 3.786439821124076843e-02, 3.233292372897267342e-03
2.837514318525791168e-02, 7.559355348348617554e-03, 4.122182354331016541e-02, 3.612802131101489067e-03
4.050076473504304886e-03, 1.037101610563695431e-03, 6.011619232594966888e-03, 5.340219358913600445e-04
2.522864565253257751e-02, 6.559658329933881760e-03, 3.742945194244384766e-02, 3.144809976220130920e-03
4.055532161146402359e-03, 1.036647590808570385e-03, 6.009238306432962418e-03, 5.348218255676329136e-04
1.120626367628574371e-02, 2.726820530369877815e-03, 1.654709689319133759e-02, 1.396033796481788158e-03
1.393036544322967529e-02, 3.428017022088170052e-03, 2.091399580240249634e-02, 1.662252820096910000e-03
1.141739170998334885e-02, 2.759371884167194366e-03, 1.661028712987899780e-02, 1.423856359906494617e-03
2.308567985892295837e-02, 5.788290873169898987e-03, 3.434565663337707520e-02, 2.844649134203791618e-03
1.115712616592645645e-02, 2.721930155530571938e-03, 1.651111990213394165e-02, 1.398287946358323097e-03
1.739762164652347565e-02, 4.428422078490257263e-03, 2.674520388245582581e-02, 2.221908653154969215e-03
4.047741182148456573e-03, 1.016517169773578644e-03, 6.010350771248340607e-03, 5.254470743238925934e-04
3.047902509570121765e-02, 8.040722459554672241e-03, 4.417877644300460815e-02, 4.280998837202787399e-03
3.001953288912773132e-02, 8.227380923926830292e-03, 4.297085106372833252e-02, 4.107904154807329178e-03
2.535003237426280975e-02, 6.698695011436939240e-03, 3.771421685814857483e-02, 3.195425728335976601e-03
4.162974283099174500e-02, 7.413750980049371719e-03, 4.479667171835899353e-02, 3.782221814617514610e-03
1.690798997879028320e-02, 4.349522758275270462e-03, 2.609789557754993439e-02, 2.170410007238388062e-03
1.673931069672107697e-02, 4.293961916118860245e-03, 2.576862461864948273e-02, 2.148740924894809723e-03
2.322389930486679077e-02, 5.812521092593669891e-03, 3.445088118314743042e-02, 2.857366576790809631e-03
1.426901202648878098e-02, 3.525756765156984329e-03, 2.148072794079780579e-02, 1.723282504826784134e-03
