# '﻿k', 'ca', 'no3', 'nh4'
3.728201845660805702e-03, 9.589569526724517345e-04, 6.040694657713174820e-03, 5.496399244293570518e-04
2.872561104595661163e-02, 7.319849450141191483e-03, 4.249795898795127869e-02, 3.823313396424055099e-03
1.079701725393533707e-02, 2.747984603047370911e-03, 1.530093234032392502e-02, 1.420858316123485565e-03
3.679366083815693855e-03, 9.664995013736188412e-04, 6.037142593413591385e-03, 5.521906423382461071e-04
1.364605966955423355e-02, 3.326607635244727135e-03, 2.027542889118194580e-02, 1.807458116672933102e-03
9.102586773224174976e-04, 1.899272436276078224e-03, 1.139087229967117310e-02, 1.074184197932481766e-03
2.617898955941200256e-02, 6.693494971841573715e-03, 3.908236324787139893e-02, 3.028530161827802658e-03
3.597010625526309013e-03, 9.896106785163283348e-04, 6.295769475400447845e-03, 5.642242613248527050e-04
7.446144591085612774e-04, 1.853679073974490166e-03, 1.103062462061643600e-02, 1.026122947223484516e-03
7.361811585724353790e-04, 1.852125977165997028e-03, 1.102813147008419037e-02, 1.021452946588397026e-03
3.018763102591037750e-02, 7.979742251336574554e-03, 4.462866485118865967e-02, 4.226968158036470413e-03
2.864486724138259888e-02, 7.622981444001197815e-03, 4.301591962575912476e-02, 4.032224416732788086e-03
2.849772758781909943e-02, 7.643651217222213745e-03, 4.354420304298400879e-02, 4.169868305325508118e-03
3.625412704423069954e-03, 9.768063900992274284e-04, 6.009193137288093567e-03, 5.503210122697055340e-04
2.855916135013103485e-02, 7.273802068084478378e-03, 4.238415509462356567e-02, 3.789415815845131874e-03
2.100525051355361938e-02, 5.109441466629505157e-03, 3.042416460812091827e-02, 2.423302503302693367e-03
1.369646377861499786e-02, 3.362522926181554794e-03, 2.041157335042953491e-02, 1.817798474803566933e-03
2.165141329169273376e-02, 5.652313586324453354e-03, 3.315828368067741394e-02, 2.650465350598096848e-03
1.381445303559303284e-02, 3.391921520233154297e-03, 2.067376859486103058e-02, 1.803374267183244228e-03
1.104786247014999390e-02, 2.715188777074217796e-03, 1.574838720262050629e-02, 1.403787289746105671e-03
1.659685559570789337e-02, 3.983372822403907776e-03, 2.482805587351322174e-02, 2.099472563713788986e-03
2.021873928606510162e-02, 4.865414928644895554e-03, 2.924892120063304901e-02, 2.388380700722336769e-03
3.727938747033476830e-03, 9.587392560206353664e-04, 6.042723078280687332e-03, 5.494129145517945290e-04
3.500629961490631104e-02, 8.351735770702362061e-03, 4.480298236012458801e-02, 3.931768704205751419e-03
2.180021069943904877e-02, 5.669031757861375809e-03, 3.329403325915336609e-02, 2.653072122484445572e-03
1.650038361549377441e-02, 3.939325921237468719e-03, 2.427325770258903503e-02, 2.046723850071430206e-03
1.337241753935813904e-02, 3.358905203640460968e-03, 2.067799121141433716e-02, 1.867269864305853844e-03
7.376942085102200508e-04, 1.850097440183162689e-03, 1.101326104253530502e-02, 1.015661167912185192e-03
2.992050535976886749e-02, 7.917646318674087524e-03, 4.415495693683624268e-02, 4.063451196998357773e-03
6.983173661865293980e-04, 1.850484753958880901e-03, 1.099693682044744492e-02, 1.010229927487671375e-03
6.988355307839810848e-04, 1.846643979661166668e-03, 1.097184699028730392e-02, 1.008264138363301754e-03
3.218062967061996460e-02, 7.989884354174137115e-03, 4.479595646262168884e-02, 3.843271406367421150e-03
1.494722440838813782e-02, 3.604235360398888588e-03, 2.252894081175327301e-02, 1.842852681875228882e-03
1.174100209027528763e-02, 2.783220261335372925e-03, 1.682223193347454071e-02, 1.540772966109216213e-03
2.131039649248123169e-02, 5.584311205893754959e-03, 3.250891342759132385e-02, 2.613047603517770767e-03
1.737417094409465790e-02, 4.101910628378391266e-03, 2.556384354829788208e-02, 2.137455157935619354e-03
2.075457200407981873e-02, 5.027712322771549225e-03, 3.014827519655227661e-02, 2.380207879468798637e-03
3.155505284667015076e-02, 7.539323996752500534e-03, 4.478922486305236816e-02, 3.725278424099087715e-03
3.732103854417800903e-03, 9.573062998242676258e-04, 6.048392038792371750e-03, 5.477903177961707115e-04
2.861546911299228668e-02, 7.624925579875707626e-03, 4.302182793617248535e-02, 3.847336629405617714e-03
1.085446495562791824e-02, 2.750423038378357887e-03, 1.532683242112398148e-02, 1.424768473953008652e-03
2.005525119602680206e-02, 4.843076691031455994e-03, 2.903615683317184448e-02, 2.383303362876176834e-03
3.683720948174595833e-03, 9.657743503339588642e-04, 6.038348190486431122e-03, 5.523161380551755428e-04
2.015748433768749237e-02, 4.788908641785383224e-03, 2.971892803907394409e-02, 2.434781985357403755e-03
7.308353669941425323e-04, 1.851415494456887245e-03, 1.105036679655313492e-02, 1.018030219711363316e-03
1.465161237865686417e-02, 3.512555966153740883e-03, 2.206122316420078278e-02, 1.818675780668854713e-03
1.096183899790048599e-02, 2.717252122238278389e-03, 1.579414866864681244e-02, 1.402012538164854050e-03
1.332096848636865616e-02, 3.349507693201303482e-03, 2.052659913897514343e-02, 1.854293397627770901e-03
7.046686951071023941e-04, 1.839720993302762508e-03, 1.098256465047597885e-02, 1.004053512588143349e-03
2.258032560348510742e-02, 5.721701774746179581e-03, 3.460785374045372009e-02, 2.643530257046222687e-03
2.062694542109966278e-02, 4.895376972854137421e-03, 2.967373467981815338e-02, 2.410490298643708229e-03
7.492991862818598747e-04, 1.857112511061131954e-03, 1.105176471173763275e-02, 1.031642314046621323e-03
2.153736166656017303e-02, 5.628358107060194016e-03, 3.300851583480834961e-02, 2.634120872244238853e-03
3.679366083815693855e-03, 9.664995013736188412e-04, 6.037142593413591385e-03, 5.521906423382461071e-04
3.678384469822049141e-03, 9.665676043368875980e-04, 6.037669721990823746e-03, 5.520303384400904179e-04
2.194470725953578949e-02, 5.567050538957118988e-03, 3.248099237680435181e-02, 2.702747937291860580e-03
2.930012904107570648e-02, 7.962920702993869781e-03, 4.469321295619010925e-02, 4.001238383352756500e-03
2.565097436308860779e-02, 6.812054198235273361e-03, 3.820413351058959961e-02, 3.010619198903441429e-03
1.338689122349023819e-02, 3.367572324350476265e-03, 2.066308259963989258e-02, 1.868109917268157005e-03
7.192103657871484756e-04, 1.840719953179359436e-03, 1.098933257162570953e-02, 1.007266575470566750e-03
1.085034292191267014e-02, 2.731519984081387520e-03, 1.541645172983407974e-02, 1.404926530085504055e-03
1.959088817238807678e-02, 4.607030656188726425e-03, 2.888311818242073059e-02, 2.401984995231032372e-03
3.680263413116335869e-03, 9.663258679211139679e-04, 6.037741899490356445e-03, 5.522293504327535629e-04
1.178368087857961655e-02, 2.793739549815654755e-03, 1.682848297059535980e-02, 1.544493483379483223e-03
3.728877520188689232e-03, 9.584013605490326881e-04, 6.044218782335519791e-03, 5.490549956448376179e-04
8.251896942965686321e-04, 1.842164900153875351e-03, 1.122096274048089981e-02, 1.062198658473789692e-03
3.614109707996249199e-03, 9.776330552995204926e-04, 6.013440899550914764e-03, 5.490469629876315594e-04
2.071719989180564880e-02, 4.923162050545215607e-03, 2.977987565100193024e-02, 2.411365043371915817e-03
2.622479200363159180e-02, 6.731925997883081436e-03, 3.948175907135009766e-02, 3.066786564886569977e-03
2.590681985020637512e-02, 6.420501042157411575e-03, 3.778599202632904053e-02, 2.779199276119470596e-03
2.218368276953697205e-02, 5.710117984563112259e-03, 3.412323817610740662e-02, 2.632427494972944260e-03
1.668391749262809753e-02, 4.002125002443790436e-03, 2.494647167623043060e-02, 2.108996966853737831e-03
2.174773812294006348e-02, 5.664559546858072281e-03, 3.317626938223838806e-02, 2.642663661390542984e-03
3.731635166332125664e-03, 9.573316783644258976e-04, 6.049305666238069534e-03, 5.479466053657233715e-04
2.707730978727340698e-02, 6.764792837202548981e-03, 3.794493153691291809e-02, 2.740526106208562851e-03
2.853463217616081238e-02, 7.267456036061048508e-03, 4.238528013229370117e-02, 3.787506138905882835e-03
3.679750487208366394e-03, 9.663726086728274822e-04, 6.037424318492412567e-03, 5.519021651707589626e-04
2.549384534358978271e-02, 6.539053749293088913e-03, 3.750253468751907349e-02, 2.782249357551336288e-03
3.634117078036069870e-03, 9.749969467520713806e-04, 6.011466030031442642e-03, 5.501019768416881561e-04
1.105533074587583542e-02, 2.731909975409507751e-03, 1.581571996212005615e-02, 1.426492584869265556e-03
1.327043492347002029e-02, 3.307319711893796921e-03, 2.012225426733493805e-02, 1.832784735597670078e-03
1.115048117935657501e-02, 2.716725924983620644e-03, 1.602810434997081757e-02, 1.477404963225126266e-03
2.261941879987716675e-02, 5.669707432389259338e-03, 3.420437499880790710e-02, 2.594995079562067986e-03
1.100197993218898773e-02, 2.723500598222017288e-03, 1.583132334053516388e-02, 1.425584428943693638e-03
1.749511435627937317e-02, 4.178074654191732407e-03, 2.618866227567195892e-02, 2.180171897634863853e-03
3.674442181363701820e-03, 9.819465922191739082e-04, 6.199309136718511581e-03, 5.610913503915071487e-04
2.897379174828529358e-02, 8.119885809719562531e-03, 4.461823031306266785e-02, 4.037048202008008957e-03
3.014321438968181610e-02, 7.948560640215873718e-03, 4.420207068324089050e-02, 4.070279188454151154e-03
2.601074241101741791e-02, 6.400153040885925293e-03, 3.789820522069931030e-02, 2.784000243991613388e-03
3.325705230236053467e-02, 8.258141577243804932e-03, 4.479587078094482422e-02, 3.957095090299844742e-03
1.734530366957187653e-02, 4.144744947552680969e-03, 2.612267807126045227e-02, 2.151179593056440353e-03
1.721523888409137726e-02, 4.113085567951202393e-03, 2.595661580562591553e-02, 2.131748944520950317e-03
2.265983819961547852e-02, 5.672160536050796509e-03, 3.419775515794754028e-02, 2.593654207885265350e-03
1.403196807950735092e-02, 3.432227764278650284e-03, 2.110888622701168060e-02, 1.829645130783319473e-03
1.110784430056810379e-02, 2.746016252785921097e-03, 1.589876040816307068e-02, 1.440905965864658356e-03
3.040709532797336578e-02, 7.993604987859725952e-03, 4.459768533706665039e-02, 4.275708924978971481e-03
3.004343062639236450e-02, 7.916881702840328217e-03, 4.413248971104621887e-02, 4.057462792843580246e-03
3.730326425284147263e-03, 9.553725831210613251e-04, 6.078477017581462860e-03, 5.490509793162345886e-04
7.043976220302283764e-04, 1.840669196099042892e-03, 1.098341681063175201e-02, 1.004419405944645405e-03
2.002539299428462982e-02, 4.827341530472040176e-03, 2.898724563419818878e-02, 2.382430015131831169e-03
1.728303357958793640e-02, 4.134045448154211044e-03, 2.598824352025985718e-02, 2.151988912373781204e-03
3.596847131848335266e-02, 8.079011924564838409e-03, 4.480417817831039429e-02, 4.005589056760072708e-03
3.733496880158782005e-03, 9.568161913193762302e-04, 6.050887983292341232e-03, 5.473603378050029278e-04
3.043246828019618988e-02, 7.968942634761333466e-03, 4.460991546511650085e-02, 4.302741028368473053e-03
1.339334808290004730e-02, 3.343079006299376488e-03, 2.046353183686733246e-02, 1.826115534640848637e-03
3.071804717183113098e-02, 8.104947395622730255e-03, 4.386546835303306580e-02, 4.139882512390613556e-03
3.336223959922790527e-02, 7.845311425626277924e-03, 4.480071738362312317e-02, 3.900708863511681557e-03
2.615545317530632019e-02, 6.864654365926980972e-03, 3.978089243173599243e-02, 3.164266003295779228e-03
2.174110338091850281e-02, 5.665122997015714645e-03, 3.322507441043853760e-02, 2.648153575137257576e-03
2.263186872005462646e-02, 5.599998869001865387e-03, 3.300285339355468750e-02, 2.638299483805894852e-03
2.680181339383125305e-02, 6.698554847389459610e-03, 3.784397244453430176e-02, 2.727336017414927483e-03
2.197628840804100037e-02, 5.584808066487312317e-03, 3.256278485059738159e-02, 2.710904693230986595e-03
2.878695353865623474e-02, 7.705750409513711929e-03, 4.237717390060424805e-02, 3.431140678003430367e-03
1.482669729739427567e-02, 3.556503914296627045e-03, 2.231800369918346405e-02, 1.834204304032027721e-03
1.156328339129686356e-02, 2.730406122282147408e-03, 1.664551347494125366e-02, 1.530197565443813801e-03
1.640903018414974213e-02, 3.941056318581104279e-03, 2.452261373400688171e-02, 2.076035598292946815e-03
3.685661358758807182e-03, 9.654071182012557983e-04, 6.039176136255264282e-03, 5.521131679415702820e-04
1.167249865829944611e-02, 2.781669842079281807e-03, 1.670549996197223663e-02, 1.537085860036313534e-03
3.038419783115386963e-02, 8.033626712858676910e-03, 4.459748789668083191e-02, 4.290810320526361465e-03
2.888164296746253967e-02, 7.583844941109418869e-03, 4.329458624124526978e-02, 3.828624263405799866e-03
