# '﻿k', 'ca', 'no3', 'nh4'
3.748496528714895248e-03, 1.054578577168285847e-03, 5.474630277603864670e-03, 4.814682761207222939e-04
2.953390590846538544e-02, 6.794459652155637741e-03, 4.185977950692176819e-02, 3.407976124435663223e-03
1.005775481462478638e-02, 2.674770308658480644e-03, 1.552944909781217575e-02, 1.285463222302496433e-03
3.767266171053051949e-03, 1.042372663505375385e-03, 5.376420449465513229e-03, 4.782511969096958637e-04
1.416869182139635086e-02, 3.446912160143256187e-03, 2.019128017127513885e-02, 1.709794509224593639e-03
8.562400471419095993e-04, 1.922141877003014088e-03, 1.077774260193109512e-02, 9.282337268814444542e-04
2.426203899085521698e-02, 5.724749062210321426e-03, 3.566489368677139282e-02, 3.355264896526932716e-03
3.622648306190967560e-03, 1.088824705220758915e-03, 5.741614382714033127e-03, 4.971597227267920971e-04
8.399209473282098770e-04, 1.903217285871505737e-03, 1.052096299827098846e-02, 8.855516789481043816e-04
8.352776058018207550e-04, 1.909775659441947937e-03, 1.051423233002424240e-02, 8.880262612365186214e-04
2.876345627009868622e-02, 6.046712398529052734e-03, 4.456657171249389648e-02, 3.314870409667491913e-03
3.004703111946582794e-02, 6.895515136420726776e-03, 4.300081729888916016e-02, 3.427677787840366364e-03
2.811245806515216827e-02, 6.576205603778362274e-03, 4.382586479187011719e-02, 3.302830038592219353e-03
3.777450183406472206e-03, 1.052815816365182400e-03, 5.352013744413852692e-03, 4.783099575433880091e-04
3.000459074974060059e-02, 6.905576214194297791e-03, 4.205186292529106140e-02, 3.436167258769273758e-03
1.833901368081569672e-02, 4.501795396208763123e-03, 2.769814990460872650e-02, 2.537927590310573578e-03
1.416840497404336929e-02, 3.425418399274349213e-03, 2.035226486623287201e-02, 1.714079990051686764e-03
2.087844721972942352e-02, 5.445220973342657089e-03, 3.185409307479858398e-02, 3.036848735064268112e-03
1.274638064205646515e-02, 3.132634563371539116e-03, 1.944973692297935486e-02, 1.636803266592323780e-03
1.106901373714208603e-02, 2.792173065245151520e-03, 1.603748649358749390e-02, 1.305361278355121613e-03
1.666726730763912201e-02, 4.215206950902938843e-03, 2.496287599205970764e-02, 2.108644461259245872e-03
1.847784966230392456e-02, 4.528004676103591919e-03, 2.835123799741268158e-02, 2.462991978973150253e-03
3.723423462361097336e-03, 1.057428424246609211e-03, 5.507221445441246033e-03, 4.826982039958238602e-04
4.202000796794891357e-02, 6.559715606272220612e-03, 4.479897022247314453e-02, 3.094272688031196594e-03
2.114489488303661346e-02, 5.454978905618190765e-03, 3.197259083390235901e-02, 3.050044178962707520e-03
1.633873954415321350e-02, 3.994928207248449326e-03, 2.413624897599220276e-02, 1.995688769966363907e-03
1.369124837219715118e-02, 3.382764291018247604e-03, 2.018316648900508881e-02, 1.683112466707825661e-03
8.354018209502100945e-04, 1.906302175484597683e-03, 1.050093863159418106e-02, 8.855249616317451000e-04
2.792209014296531677e-02, 6.307226140052080154e-03, 4.337799921631813049e-02, 3.184902481734752655e-03
8.236485882662236691e-04, 1.957862172275781631e-03, 1.039259880781173706e-02, 8.919297251850366592e-04
8.150016074068844318e-04, 1.945713767781853676e-03, 1.040240749716758728e-02, 8.904981659725308418e-04
3.894380852580070496e-02, 6.337878759950399399e-03, 4.478303343057632446e-02, 2.847850322723388672e-03
1.391548849642276764e-02, 3.455437719821929932e-03, 2.088643424212932587e-02, 1.695913961157202721e-03
1.167398970574140549e-02, 2.840315690264105797e-03, 1.638450659811496735e-02, 1.344959833659231663e-03
2.113216184079647064e-02, 5.499318707734346390e-03, 3.270478546619415283e-02, 3.173249540850520134e-03
1.704532094299793243e-02, 4.109224770218133926e-03, 2.502239122986793518e-02, 2.073297975584864616e-03
1.812823116779327393e-02, 4.442800767719745636e-03, 2.715222537517547607e-02, 2.515819389373064041e-03
3.683482483029365540e-02, 6.205389276146888733e-03, 4.476647451519966125e-02, 2.667537657544016838e-03
3.695566207170486450e-03, 1.059712027199566364e-03, 5.544486921280622482e-03, 4.831682890653610229e-04
2.641666866838932037e-02, 6.049389950931072235e-03, 3.972138091921806335e-02, 2.952757291495800018e-03
1.015214249491691589e-02, 2.696460578590631485e-03, 1.558985840529203415e-02, 1.292149769142270088e-03
1.838031597435474396e-02, 4.481965210288763046e-03, 2.815876342356204987e-02, 2.432248787954449654e-03
3.765778383240103722e-03, 1.042082905769348145e-03, 5.378774832934141159e-03, 4.780215094797313213e-04
1.867129839956760406e-02, 4.538134206086397171e-03, 2.856723591685295105e-02, 2.431869506835937500e-03
8.329352713190019131e-04, 1.936067827045917511e-03, 1.051409076899290085e-02, 8.947849273681640625e-04
1.362352352589368820e-02, 3.386503551155328751e-03, 2.037578076124191284e-02, 1.660511363297700882e-03
1.101055461913347244e-02, 2.794847823679447174e-03, 1.596566103398799896e-02, 1.314716064371168613e-03
1.368057355284690857e-02, 3.381842747330665588e-03, 2.017589844763278961e-02, 1.687379204668104649e-03
8.169687353074550629e-04, 1.927050994709134102e-03, 1.045564655214548111e-02, 8.847437566146254539e-04
2.098936960101127625e-02, 5.364331882447004318e-03, 3.242398798465728760e-02, 3.093256382271647453e-03
1.860355958342552185e-02, 4.613074939697980881e-03, 2.895182371139526367e-02, 2.506469842046499252e-03
8.412497118115425110e-04, 1.905438140965998173e-03, 1.053569279611110687e-02, 8.873558836057782173e-04
2.137664146721363068e-02, 5.557968281209468842e-03, 3.248919174075126648e-02, 3.136319108307361603e-03
3.767266171053051949e-03, 1.042372663505375385e-03, 5.376420449465513229e-03, 4.782511969096958637e-04
3.766826819628477097e-03, 1.042201765812933445e-03, 5.372658371925354004e-03, 4.779987793881446123e-04
2.141219377517700195e-02, 5.394304636865854263e-03, 3.238909691572189331e-02, 3.057390451431274414e-03
2.708305604755878448e-02, 5.460829474031925201e-03, 4.440231621265411377e-02, 2.584187313914299011e-03
2.339116111397743225e-02, 5.613572429865598679e-03, 3.426780551671981812e-02, 3.088249824941158295e-03
1.371384691447019577e-02, 3.397743916139006615e-03, 2.023398131132125854e-02, 1.690809964202344418e-03
8.261071634478867054e-04, 1.911458326503634453e-03, 1.049545034766197205e-02, 8.848639554344117641e-04
1.019027084112167358e-02, 2.678418764844536781e-03, 1.561557501554489136e-02, 1.288299681618809700e-03
1.885386742651462555e-02, 4.676591139286756516e-03, 2.849778346717357635e-02, 2.419891767203807831e-03
3.767400979995727539e-03, 1.042160321958363056e-03, 5.377188324928283691e-03, 4.783286422025412321e-04
1.166866254061460495e-02, 2.842488465830683708e-03, 1.640273258090019226e-02, 1.344206626527011395e-03
3.711507422849535942e-03, 1.058884081430733204e-03, 5.523058585822582245e-03, 4.831696278415620327e-04
8.589109638705849648e-04, 1.891397289000451565e-03, 1.072857435792684555e-02, 9.204868692904710770e-04
3.776949364691972733e-03, 1.050063408911228180e-03, 5.319747142493724823e-03, 4.772990359924733639e-04
1.902732066810131073e-02, 4.733980633318424225e-03, 2.958389557898044586e-02, 2.568061929196119308e-03
2.510737255215644836e-02, 5.879453383386135101e-03, 3.669025748968124390e-02, 3.372564213350415230e-03
2.486783638596534729e-02, 6.286311894655227661e-03, 3.777270764112472534e-02, 3.657037392258644104e-03
2.053857408463954926e-02, 5.258459597826004028e-03, 3.180064633488655090e-02, 3.005425678566098213e-03
1.682507619261741638e-02, 4.254097584635019302e-03, 2.520851045846939087e-02, 2.123887185007333755e-03
2.159929648041725159e-02, 5.524681415408849716e-03, 3.243253752589225769e-02, 3.124181414023041725e-03
3.685790812596678734e-03, 1.060983398929238319e-03, 5.555421579629182816e-03, 4.838106397073715925e-04
2.467794157564640045e-02, 6.344383582472801208e-03, 3.699276596307754517e-02, 3.555315313860774040e-03
2.963072434067726135e-02, 6.795995403081178665e-03, 4.181835800409317017e-02, 3.410497447475790977e-03
3.766990965232253075e-03, 1.042617019265890121e-03, 5.373830907046794891e-03, 4.779266892001032829e-04
2.556241862475872040e-02, 6.250531412661075592e-03, 3.716841340065002441e-02, 3.761939005926251411e-03
3.777304664254188538e-03, 1.051864936016499996e-03, 5.354935768991708755e-03, 4.783940967172384262e-04
1.069328002631664276e-02, 2.711704699322581291e-03, 1.559729222208261490e-02, 1.284163794480264187e-03
1.349707506597042084e-02, 3.349143313243985176e-03, 1.984438672661781311e-02, 1.662871101871132851e-03
1.025273278355598450e-02, 2.584244590252637863e-03, 1.495476160198450089e-02, 1.223828527145087719e-03
