# '﻿k', 'ca', 'no3', 'nh4'
3.069617785513401031e-03, 1.016681431792676449e-03, 6.524023134261369705e-03, 4.899696796201169491e-04
2.654779516160488129e-02, 6.944683380424976349e-03, 4.092291742563247681e-02, 3.243798157200217247e-03
1.098042912781238556e-02, 2.757037524133920670e-03, 1.581718400120735168e-02, 1.395205850712954998e-03
3.670240985229611397e-03, 9.817476384341716766e-04, 6.228361744433641434e-03, 4.797175060957670212e-04
1.206388697028160095e-02, 3.038273658603429794e-03, 1.882472261786460876e-02, 1.668847282417118549e-03
8.246261277236044407e-04, 1.879714895039796829e-03, 1.093977317214012146e-02, 9.086240897886455059e-04
2.532259747385978699e-02, 6.245182827115058899e-03, 3.607615455985069275e-02, 3.142536850646138191e-03
3.726286813616752625e-03, 9.872469818219542503e-04, 6.291872821748256683e-03, 5.014197668060660362e-04
7.251036586239933968e-04, 1.884212600998580456e-03, 1.118176523596048355e-02, 9.163122740574181080e-04
7.237628451548516750e-04, 1.890531973913311958e-03, 1.115815248340368271e-02, 9.166127420030534267e-04
2.663008309900760651e-02, 7.979763671755790710e-03, 4.456548020243644714e-02, 3.886806778609752655e-03
2.812278643250465393e-02, 6.427090149372816086e-03, 4.196882620453834534e-02, 4.345157183706760406e-03
2.568855881690979004e-02, 6.892833393067121506e-03, 4.297256469726562500e-02, 3.208260750398039818e-03
3.842156380414962769e-03, 9.871133370324969292e-04, 6.155358627438545227e-03, 4.843327915295958519e-04
2.687433734536170959e-02, 6.952766794711351395e-03, 4.115168005228042603e-02, 3.277952084317803383e-03
2.131171897053718567e-02, 5.090484861284494400e-03, 3.137665614485740662e-02, 2.606589347124099731e-03
1.285472232848405838e-02, 3.201611572876572609e-03, 1.949892006814479828e-02, 1.714672893285751343e-03
2.243457734584808350e-02, 5.781896878033876419e-03, 3.332616016268730164e-02, 2.819556277245283127e-03
1.289234682917594910e-02, 3.174073528498411179e-03, 2.021328546106815338e-02, 1.808931119740009308e-03
1.066995132714509964e-02, 2.745781093835830688e-03, 1.577580906450748444e-02, 1.372125349007546902e-03
1.683354936540126801e-02, 4.278043285012245178e-03, 2.588986791670322418e-02, 2.293223747983574867e-03
2.068753354251384735e-02, 4.979918245226144791e-03, 3.061812929809093475e-02, 2.562980400398373604e-03
