# '﻿k', 'ca', 'no3', 'nh4'
1.251174369826912880e-03, 9.672940941527485847e-04, 8.756464347243309021e-03, 2.217279979959130287e-03
2.671513520181179047e-02, 6.011680699884891510e-03, 3.231061622500419617e-02, 1.411331165581941605e-02
6.953788455575704575e-03, 2.390496199950575829e-03, 1.799403317272663116e-02, 1.317639369517564774e-03
1.653356128372251987e-03, 8.474701899103820324e-04, 7.926505990326404572e-03, 1.675125095061957836e-03
1.314347982406616211e-02, 2.831460442394018173e-03, 1.840301230549812317e-02, 2.014320809394121170e-03
2.290746662765741348e-03, 2.456923713907599449e-03, 1.225851569324731827e-02, 1.787131302990019321e-03
2.144741639494895935e-02, 8.287086151540279388e-03, 2.729226648807525635e-02, 2.874932950362563133e-03
1.435761805623769760e-03, 1.187750254757702351e-03, 7.006056606769561768e-03, 1.826434745453298092e-03
1.377678127028048038e-03, 2.792828716337680817e-03, 1.219632942229509354e-02, 2.630714094266295433e-03
1.284008845686912537e-03, 2.732537453994154930e-03, 1.219994854182004929e-02, 2.574385143816471100e-03
2.633064240217208862e-02, 5.692886654287576675e-03, 3.359666094183921814e-02, 4.155177250504493713e-02
2.607661113142967224e-02, 5.821453873068094254e-03, 3.430882468819618225e-02, 2.543882839381694794e-02
2.452762611210346222e-02, 5.419034510850906372e-03, 2.336701005697250366e-02, 1.490835193544626236e-02
1.601941534318029881e-03, 7.914858288131654263e-04, 7.706029806286096573e-03, 1.641259645111858845e-03
2.679088339209556580e-02, 6.088051013648509979e-03, 3.236934170126914978e-02, 1.282096002250909805e-02
1.255429070442914963e-02, 4.893376491963863373e-03, 2.386535517871379852e-02, 3.710049204528331757e-03
1.313034165650606155e-02, 2.902401844039559364e-03, 1.786637865006923676e-02, 2.012386918067932129e-03
1.225646026432514191e-02, 8.748997934162616730e-03, 2.141815051436424255e-02, 3.653789637610316277e-03
1.026160921901464462e-02, 2.914224518463015556e-03, 1.595989987254142761e-02, 1.821229234337806702e-03
7.556608412414789200e-03, 2.766985213384032249e-03, 1.953876391053199768e-02, 1.650667865760624409e-03
1.235774345695972443e-02, 3.422014182433485985e-03, 1.988166756927967072e-02, 2.987960819154977798e-03
1.034614350646734238e-02, 4.489406477659940720e-03, 2.444806694984436035e-02, 3.875119145959615707e-03
1.241552527062594891e-03, 9.617813630029559135e-04, 8.793721906840801239e-03, 2.243024529889225960e-03
3.344314545392990112e-02, 2.804166637361049652e-02, 3.738804161548614502e-02, 4.479527473449707031e-02
1.236917823553085327e-02, 8.717808872461318970e-03, 2.095887809991836548e-02, 3.698231652379035950e-03
1.073868293315172195e-02, 3.020645817741751671e-03, 1.810889318585395813e-02, 3.119870554655790329e-03
1.289430074393749237e-02, 2.712842542678117752e-03, 1.447219122201204300e-02, 1.490263850428164005e-03
1.396158011630177498e-03, 2.741810865700244904e-03, 1.224797219038009644e-02, 2.755599329248070717e-03
2.783584222197532654e-02, 5.466233007609844208e-03, 3.805990889668464661e-02, 4.149486124515533447e-02
1.096826628781855106e-03, 1.993772340938448906e-03, 1.159619353711605072e-02, 2.314174314960837364e-03
1.074361847713589668e-03, 2.261808840557932854e-03, 1.159021351486444473e-02, 2.544903894886374474e-03
3.360137715935707092e-02, 2.696381323039531708e-02, 3.773397207260131836e-02, 4.479881003499031067e-02
8.962484076619148254e-03, 3.303232137113809586e-03, 1.955489814281463623e-02, 3.460008883848786354e-03
1.061070058494806290e-02, 2.506651449948549271e-03, 1.850550249218940735e-02, 1.751954434439539909e-03
1.297879870980978012e-02, 7.681106217205524445e-03, 2.471132203936576843e-02, 3.070477861911058426e-03
8.712639100849628448e-03, 3.788598347455263138e-03, 1.846392080187797546e-02, 3.923276439309120178e-03
1.231948100030422211e-02, 4.755056463181972504e-03, 2.304103411734104156e-02, 4.017930012196302414e-03
3.407809883356094360e-02, 2.779961563646793365e-02, 3.798938170075416565e-02, 4.480165243148803711e-02
1.237945514731109142e-03, 1.011525280773639679e-03, 9.076791815459728241e-03, 2.042095176875591278e-03
2.702294103801250458e-02, 5.835283547639846802e-03, 3.794617205858230591e-02, 3.892213851213455200e-02
6.831652950495481491e-03, 2.418345306068658829e-03, 1.785295642912387848e-02, 1.276073628105223179e-03
1.009451970458030701e-02, 4.454473964869976044e-03, 2.409488707780838013e-02, 3.973658662289381027e-03
1.678402302786707878e-03, 8.593503152951598167e-04, 7.848621346056461334e-03, 1.676664920523762703e-03
7.766222115606069565e-03, 6.071444600820541382e-03, 2.053658477962017059e-02, 3.928631544113159180e-03
1.261748373508453369e-03, 2.218615263700485229e-03, 1.208942383527755737e-02, 2.301780041307210922e-03
8.388094604015350342e-03, 3.716591512784361839e-03, 2.006505988538265228e-02, 3.203336847946047783e-03
7.773414719849824905e-03, 2.779980422928929329e-03, 1.773039810359477997e-02, 1.582744647748768330e-03
1.222852151840925217e-02, 2.549515105783939362e-03, 1.534528750926256180e-02, 1.601276569999754429e-03
1.092523802071809769e-03, 2.785824239253997803e-03, 1.167331263422966003e-02, 2.581999870017170906e-03
1.532422471791505814e-02, 8.342936635017395020e-03, 2.327046543359756470e-02, 3.511173650622367859e-03
7.547998800873756409e-03, 5.659742280840873718e-03, 2.456149831414222717e-02, 4.728205036371946335e-03
1.329867984168231487e-03, 2.876757178455591202e-03, 1.223684661090373993e-02, 2.527321456000208855e-03
1.345165725797414780e-02, 8.476594462990760803e-03, 2.193947508931159973e-02, 3.085691248998045921e-03
1.653356128372251987e-03, 8.474701899103820324e-04, 7.926505990326404572e-03, 1.675125095061957836e-03
1.678248750977218151e-03, 8.437844226136803627e-04, 8.023116737604141235e-03, 1.576636335812509060e-03
1.080256327986717224e-02, 5.785773508250713348e-03, 2.566246874630451202e-02, 4.149633925408124924e-03
2.881248854100704193e-02, 9.891605935990810394e-03, 3.770092874765396118e-02, 4.470039904117584229e-02
2.286370284855365753e-02, 7.937341928482055664e-03, 2.853004261851310730e-02, 4.983533173799514771e-03
1.254180166870355606e-02, 2.598598133772611618e-03, 1.520031597465276718e-02, 1.530813286080956459e-03
