# '﻿k', 'ca', 'no3', 'nh4'
6.201288197189569473e-03, 8.808148559182882309e-04, 8.022355847060680389e-03, 1.510975300334393978e-03
2.684490941464900970e-02, 2.616145648062229156e-03, 2.580713480710983276e-02, 5.058337002992630005e-03
5.409043747931718826e-03, 2.234213287010788918e-03, 1.507677696645259857e-02, 2.601350424811244011e-03
7.385858800262212753e-03, 9.017359116114675999e-04, 7.401325739920139313e-03, 1.505443826317787170e-03
9.907194413244724274e-03, 3.827537177130579948e-03, 1.683580502867698669e-02, 2.004306297749280930e-03
6.643971428275108337e-04, 2.092745853587985039e-03, 1.066873036324977875e-02, 2.445907564833760262e-03
1.918469183146953583e-02, 3.655603155493736267e-03, 2.234211936593055725e-02, 1.661120331846177578e-03
7.605271879583597183e-03, 1.236513839103281498e-03, 6.641538348048925400e-03, 1.268941094167530537e-03
1.065927208401262760e-03, 2.464451594278216362e-03, 1.172005385160446167e-02, 2.788006560876965523e-03
1.076089916750788689e-03, 2.496578264981508255e-03, 1.145259942859411240e-02, 2.816984197124838829e-03
4.414068162441253662e-02, 3.224698454141616821e-02, 3.796936199069023132e-02, 4.229554533958435059e-02
3.213288262486457825e-02, 2.381397644057869911e-03, 2.933593653142452240e-02, 7.338999304920434952e-03
4.103280976414680481e-02, 3.280508099123835564e-03, 3.659896180033683777e-02, 4.844552371650934219e-03
7.301056757569313049e-03, 8.962285355664789677e-04, 6.995979230850934982e-03, 1.110241166315972805e-03
2.850899286568164825e-02, 2.730017527937889099e-03, 2.675399929285049438e-02, 4.907570779323577881e-03
1.833073236048221588e-02, 5.053596105426549911e-03, 3.037154488265514374e-02, 3.728010691702365875e-03
1.044507883489131927e-02, 3.966142889112234116e-03, 1.742040924727916718e-02, 2.191794337704777718e-03
1.230477634817361832e-02, 4.089784808456897736e-03, 2.169250883162021637e-02, 3.223945619538426399e-03
1.288345828652381897e-02, 3.372355829924345016e-03, 2.238246239721775055e-02, 2.281554741784930229e-03
7.215981371700763702e-03, 2.307710703462362289e-03, 1.443690061569213867e-02, 3.065960016101598740e-03
1.904881186783313751e-02, 3.837486263364553452e-03, 2.917139232158660889e-02, 3.145795548334717751e-03
1.640111766755580902e-02, 4.521517083048820496e-03, 2.822860889136791229e-02, 4.167097620666027069e-03
6.224900018423795700e-03, 8.993174415081739426e-04, 8.031181991100311279e-03, 1.523828948847949505e-03
4.480943083763122559e-02, 4.481000080704689026e-02, 3.970996290445327759e-02, 4.481000080704689026e-02
1.241545006632804871e-02, 4.141618497669696808e-03, 2.175910584628582001e-02, 3.336319001391530037e-03
1.325191929936408997e-02, 4.384242929518222809e-03, 2.464630454778671265e-02, 3.498309524729847908e-03
1.243836898356676102e-02, 3.217790508642792702e-03, 2.054192125797271729e-02, 2.311674412339925766e-03
9.889776119962334633e-04, 2.323952270671725273e-03, 1.166042871773242950e-02, 2.662362763658165932e-03
4.060779511928558350e-02, 2.237688191235065460e-02, 2.964411862194538116e-02, 4.313438385725021362e-02
1.451578806154429913e-03, 2.197534078732132912e-03, 1.035339664667844772e-02, 2.424053149297833443e-03
1.175542944110929966e-03, 2.481037750840187073e-03, 1.064390875399112701e-02, 2.665051026269793510e-03
4.480925947427749634e-02, 4.481000080704689026e-02, 3.915520757436752319e-02, 4.481000080704689026e-02
9.362345561385154724e-03, 3.276885021477937698e-03, 1.822317391633987427e-02, 3.812457434833049774e-03
5.748477298766374588e-03, 2.425018697977066040e-03, 1.489913184195756912e-02, 1.115249004215002060e-03
1.258132047951221466e-02, 3.675780259072780609e-03, 2.366714365780353546e-02, 3.221756778657436371e-03
1.387445442378520966e-02, 4.158721771091222763e-03, 2.618294022977352142e-02, 3.743174718692898750e-03
1.912501826882362366e-02, 5.509214010089635849e-03, 3.049673326313495636e-02, 3.993845079094171524e-03
4.480938240885734558e-02, 4.481000080704689026e-02, 3.889515623450279236e-02, 4.481000080704689026e-02
6.306980270892381668e-03, 8.811714360490441322e-04, 8.242079988121986389e-03, 1.577969058416783810e-03
3.434548899531364441e-02, 6.780427880585193634e-03, 2.949842624366283417e-02, 2.942074090242385864e-02
5.469081457704305649e-03, 2.229475183412432671e-03, 1.524849887937307358e-02, 2.543012844398617744e-03
1.627606712281703949e-02, 4.597284831106662750e-03, 2.817041426897048950e-02, 4.259220324456691742e-03
7.456968538463115692e-03, 9.107674704864621162e-04, 7.309340406209230423e-03, 1.456232857890427113e-03
1.261059567332267761e-02, 5.797959398478269577e-03, 2.599891461431980133e-02, 4.034678917378187180e-03
1.116524450480937958e-03, 2.412749920040369034e-03, 1.107091084122657776e-02, 2.713498193770647049e-03
8.867084048688411713e-03, 3.285186132416129112e-03, 1.657696254551410675e-02, 3.746309084817767143e-03
6.534611806273460388e-03, 2.122631762176752090e-03, 1.519757509231567383e-02, 2.174910390749573708e-03
1.257752440869808197e-02, 3.534534713253378868e-03, 2.095289714634418488e-02, 2.275156555697321892e-03
1.048559788614511490e-03, 2.523969626054167747e-03, 1.090083830058574677e-02, 2.771313535049557686e-03
1.450860220938920975e-02, 4.242105409502983093e-03, 2.131934650242328644e-02, 2.949705813080072403e-03
1.191506534814834595e-02, 5.095391534268856049e-03, 2.384319715201854706e-02, 4.868818912655115128e-03
1.123661058954894543e-03, 2.598018385469913483e-03, 1.146072894334793091e-02, 2.906122244894504547e-03
