# '﻿k', 'ca', 'no3', 'nh4'
7.280461490154266357e-03, 1.285192091017961502e-03, 7.397586479783058167e-03, 2.792716550175100565e-04
2.517052553594112396e-02, 7.660026196390390396e-03, 4.053841158747673035e-02, 7.803471758961677551e-03
1.081401202827692032e-02, 2.330075250938534737e-03, 1.829812675714492798e-02, 1.204312313348054886e-03
7.798790931701660156e-03, 1.241432270035147667e-03, 7.238597143441438675e-03, 2.621325838845223188e-04
1.508915517479181290e-02, 3.932775463908910751e-03, 2.438041381537914276e-02, 9.947695070877671242e-04
2.289134776219725609e-03, 1.856439397670328617e-03, 1.500401087105274200e-02, 1.140364678576588631e-03
2.303709276020526886e-02, 7.642903365194797516e-03, 3.730056062340736389e-02, 6.936833728104829788e-03
7.894015870988368988e-03, 9.723594412207603455e-04, 7.628881372511386871e-03, 3.695355262607336044e-04
2.175789093598723412e-03, 1.816596486605703831e-03, 1.268837321549654007e-02, 7.635924266651272774e-04
2.150359563529491425e-03, 1.802101614885032177e-03, 1.266332995146512985e-02, 7.848286186344921589e-04
4.126175120472908020e-02, 1.053952705115079880e-02, 4.449474439024925232e-02, 3.099739737808704376e-02
2.754045091569423676e-02, 8.410871960222721100e-03, 4.203484579920768738e-02, 8.614343591034412384e-03
3.412195667624473572e-02, 8.328543044626712799e-03, 4.387532919645309448e-02, 1.682398281991481781e-02
8.122982457280158997e-03, 1.241901074536144733e-03, 7.452701684087514877e-03, 2.615262928884476423e-04
2.518535405397415161e-02, 7.552741095423698425e-03, 4.089156910777091980e-02, 7.638117298483848572e-03
1.831020973622798920e-02, 1.265777647495269775e-02, 3.543964028358459473e-02, 2.689843531697988510e-03
1.521428022533655167e-02, 3.955364692956209183e-03, 2.411678805947303772e-02, 1.011462532915174961e-03
1.929985918104648590e-02, 1.268340647220611572e-02, 3.785128891468048096e-02, 4.409765824675559998e-03
1.677329093217849731e-02, 5.031837616115808487e-03, 2.584676072001457214e-02, 9.320784593001008034e-04
1.300061680376529694e-02, 2.581816865131258965e-03, 1.871030963957309723e-02, 9.585563093423843384e-04
1.663269661366939545e-02, 4.678765311837196350e-03, 2.726521156728267670e-02, 1.228219480253756046e-03
1.739237084984779358e-02, 1.077384036034345627e-02, 3.657204285264015198e-02, 2.484035911038517952e-03
7.235172670334577560e-03, 1.280654221773147583e-03, 7.353119086474180222e-03, 2.761907817330211401e-04
4.481000080704689026e-02, 4.481000080704689026e-02, 4.426947236061096191e-02, 4.481000080704689026e-02
1.937670260667800903e-02, 1.267489232122898102e-02, 3.792784363031387329e-02, 4.377707373350858688e-03
1.981447450816631317e-02, 5.328835919499397278e-03, 2.815352566540241241e-02, 1.517114345915615559e-03
1.627035811543464661e-02, 4.494609311223030090e-03, 2.231616154313087463e-02, 1.172576914541423321e-03
2.200504066422581673e-03, 1.749080605804920197e-03, 1.186303142458200455e-02, 6.729466258548200130e-04
3.651062771677970886e-02, 6.020714994519948959e-03, 4.382194578647613525e-02, 2.136770449578762054e-02
2.426677150651812553e-03, 1.503749168477952480e-03, 1.182201970368623734e-02, 7.040798082016408443e-04
2.320824656635522842e-03, 1.662180642597377300e-03, 1.161538437008857727e-02, 6.836755783297121525e-04
4.480999708175659180e-02, 4.481000080704689026e-02, 4.392283409833908081e-02, 4.481000080704689026e-02
1.806522160768508911e-02, 5.614914465695619583e-03, 2.393199875950813293e-02, 1.298265997320413589e-03
1.142362505197525024e-02, 2.300765132531523705e-03, 1.816132664680480957e-02, 7.313588866963982582e-04
1.919488795101642609e-02, 1.277693826705217361e-02, 3.743706271052360535e-02, 4.510448779910802841e-03
1.660593412816524506e-02, 5.597775336354970932e-03, 2.972924895584583282e-02, 1.359912683255970478e-03
1.766549609601497650e-02, 1.319645531475543976e-02, 3.471308946609497070e-02, 2.710031345486640930e-03
4.481000080704689026e-02, 4.481000080704689026e-02, 4.350815713405609131e-02, 4.481000080704689026e-02
7.092026993632316589e-03, 1.247015781700611115e-03, 7.410149089992046356e-03, 2.858299994841217995e-04
3.092313557863235474e-02, 7.358643691986799240e-03, 4.239917173981666565e-02, 9.215179830789566040e-03
1.094766985625028610e-02, 2.316982718184590340e-03, 1.843092963099479675e-02, 1.199184218421578407e-03
1.713084615767002106e-02, 1.056712400168180466e-02, 3.655284643173217773e-02, 2.370169386267662048e-03
7.894747890532016754e-03, 1.227961736731231213e-03, 7.222603540867567062e-03, 2.635134442243725061e-04
1.688191853463649750e-02, 6.683492567390203476e-03, 3.629675135016441345e-02, 1.587502774782478809e-03
1.946886302903294563e-03, 1.718376064673066139e-03, 1.249680761247873306e-02, 8.304259390570223331e-04
1.746930181980133057e-02, 5.428677424788475037e-03, 2.341095171868801117e-02, 1.181803527288138866e-03
1.219964306801557541e-02, 2.566672861576080322e-03, 1.955354213714599609e-02, 1.271176617592573166e-03
1.603736355900764465e-02, 4.249614663422107697e-03, 2.247003652155399323e-02, 1.168195274658501148e-03
2.325895475223660469e-03, 1.848927582614123821e-03, 1.192416064441204071e-02, 7.732116500847041607e-04
1.904004067182540894e-02, 9.980056434869766235e-03, 3.647467866539955139e-02, 5.149918608367443085e-03
1.852657645940780640e-02, 1.049813348799943924e-02, 3.641805052757263184e-02, 2.615830628201365471e-03
2.131336135789752007e-03, 1.806460553780198097e-03, 1.299227029085159302e-02, 8.065456058830022812e-04
1.966956816613674164e-02, 1.343082450330257416e-02, 3.810149431228637695e-02, 4.238220397382974625e-03
7.798790931701660156e-03, 1.241432270035147667e-03, 7.238597143441438675e-03, 2.621325838845223188e-04
